artiste,distance_naive,n_tokens_corpus,rang_naif,distance_controlee,rang_controle,ecart_de_rang
ISK,0.039339329092972,53505,1,0.822208747953439,2,1
Niro,0.0431577844621287,140156,2,0.8848701455507472,42,40
Sadek,0.044973142563405344,117259,3,0.9549529415862784,124,121
Ninho,0.046256690394212985,94373,4,0.8510019909351682,14,10
SCH,0.04734240491226216,72639,5,0.8596704334112615,21,16
Zkr,0.04734352707044254,81076,6,0.8317254858525018,5,-1
Lacrim,0.04829281259578022,121702,7,0.8926126755455763,48,41
Nahir,0.04891118762013069,47664,8,0.8596684074457627,20,12
Mister You,0.04898354592681753,88053,9,0.9631452208543488,138,129
Sofiane,0.049631481187333515,83616,10,0.911417166338224,62,52
PLK,0.05050214009499698,90822,11,0.8748183068863302,31,20
Deen Burbigo,0.05087718819974629,51326,12,0.9489286403008427,109,97
S-Crew,0.05122995477133929,79283,13,0.9691416929911574,148,135
GLK,0.05174785369046131,60217,14,0.8585994958618168,18,4
S.Pri Noir,0.051988470985234736,50438,15,0.9377133936940157,93,78
Hugo TSR,0.052021752932699616,47542,16,0.9076755737956096,58,42
Bekar,0.05205093928823956,47794,17,0.9196672851172364,76,59
Beeby,0.05208609114460805,67035,18,0.9689409539897346,147,129
Guizmo,0.05256830551877134,158968,19,0.9837925806497262,164,145
​DA Uzi,0.05267062346337115,73309,20,0.8607613741342675,23,3
JuL,0.05271220630566986,571017,21,0.9536130354021791,122,101
Hornet La Frappe,0.052998783893157375,61400,22,0.9166038518276964,72,50
Vald,0.053073788245988185,138255,23,0.9127569554509232,65,42
Jarod,0.05446125374698396,111334,24,0.9946933893311948,184,160
Sam’s,0.05510811155879647,56250,25,0.9521904851025422,118,93
Vin’s,0.0551889306316975,47756,26,0.9954867271434175,186,160
Seth Gueko,0.056023213269366656,114750,27,0.9031998713099311,55,28
La Fouine,0.056533805187022335,174700,28,0.9853489876447503,167,139
Dosseh,0.05685162120455667,102146,29,0.9492121501223094,113,84
Alonzo,0.057690188232160544,88719,30,0.9407595209336322,97,67
YL,0.0581081670865462,78312,31,0.8859667430737797,43,12
Niaks,0.05814503762740564,23525,32,0.9155557130684562,70,38
Lacraps,0.058656240100868895,67831,33,1.0218352051500037,225,192
Nekfeu,0.05903839253658738,106205,34,1.0044504055319896,198,164
4Keus,0.05918942235484481,35747,35,0.8748959085321213,32,-3
Timal,0.059357501857644435,52806,36,0.8703308835092329,27,-9
Zikxo,0.05965245096889371,71951,37,0.9495236253908481,114,77
Souffrance,0.05982826300066946,29019,38,0.9232338166424772,82,44
Zesau,0.060006650269052164,29117,39,0.955196745055688,125,86
Elh Kmer,0.06011182431001438,36736,40,0.9221696006855367,81,41
Worms-T,0.06025149151009446,18067,41,0.8535615107100216,16,-25
Ademo,0.060574240718849426,25767,42,0.9180495501437723,75,33
Sopico,0.06060747112699261,52826,43,0.9178502248027333,74,31
13 Block,0.06073552688394934,57838,44,0.9698641401276741,149,105
OrelSan,0.060980746745915027,66155,45,0.9602057832556482,135,90
Sexion d’Assaut,0.06106660626632765,172669,46,0.990390798153284,178,132
Bigflo & Oli,0.06117319615317496,104402,47,1.0211816771656979,223,176
F430,0.061221929010988774,27762,48,0.9210000509403239,79,31
Werenoi,0.0612686070301669,24283,49,0.8443103893064703,9,-40
Swift Guad,0.06151980696165915,150756,50,1.037267743763523,256,206
Lujipeka,0.06258287276236829,38067,51,0.9811661625801993,162,111
Niska,0.06277333622019032,58464,52,0.8890236963627887,46,-6
Jeff Le Nerf,0.06316258347269943,25861,53,0.991979926524055,182,129
TSR Crew,0.06357615972770336,51406,54,1.0641777009686417,296,242
Maes,0.06367436612328614,52599,55,0.8493651692539287,12,-43
Intouchable,0.06386902158833596,22957,56,0.9573395020140842,129,73
Landy,0.06389171261588023,31473,57,0.9034553362633868,56,-1
Casseurs Flowters,0.06419785628588892,31932,58,0.9242782747920443,85,27
Bolémvn,0.06427714055885203,39630,59,0.9874581484654759,171,112
Népal,0.0643134209950652,25351,60,0.9575684725168104,130,70
Svinkels,0.06487757489071999,61738,61,0.8813083847932901,37,-24
Georgio,0.06493861759777397,110859,62,1.1058580716805197,344,282
Lesram,0.06501286970031517,29096,63,0.8464658448792522,10,-53
Kaaris,0.06570974309549904,105050,64,0.9449056070180682,103,39
Bosh,0.06571226934286489,29066,65,0.8793037037400696,34,-31
Djadja & Dinaz,0.06574668774106596,86047,66,0.8801229587256835,35,-31
Beendo Z,0.065885679221932,34434,67,0.8161629310218202,1,-66
Rimkus,0.06589438479973464,16421,68,0.8286146351304102,4,-64
Limsa d’Aulnay,0.06606970861756456,26554,69,0.9115222435176449,63,-6
UZI (FRA),0.06612774486446182,27109,70,0.8490640207276132,11,-59
Nakk Mendosa,0.06637583555387239,20970,71,0.9714188202784202,150,79
Lartiste,0.06661346205590624,60886,72,0.9785273935259906,156,84
Fababy,0.06688496125430721,41032,73,1.0440885148196557,269,196
404Billy,0.06701907395757711,52197,74,1.0407317094768969,264,190
Panama Bende,0.06749715321232941,23352,75,0.927982862455564,89,14
Booba,0.06753660638496717,108411,76,1.0098367448190013,205,129
Hayce Lemsi,0.06784971821978336,138090,77,1.026245920026295,236,159
