rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
0,mfw,cosine_delta,GLK,0.6820854149094987,-3.0990940493439045,0.025288710587722973
0,mfw,burrows_delta,Beendo Z,0.6867053644256721,-2.1605888529090667,0.00020162262953637988
0,char,cosine_delta,Beendo Z,0.7933865311287,-2.5382693711656326,0.014280602914507057
0,char,burrows_delta,L’Animalerie,0.7644985597546686,-2.1386949542843374,0.020230670640561277
1,mfw,cosine_delta,Werenoi,0.6992868021204504,-2.913343015446847,0.009744312277162992
1,mfw,burrows_delta,Lacrim,0.6711299164926104,-2.284640825015532,0.015031224123265963
1,char,cosine_delta,Beendo Z,0.7885029019638592,-2.558605988328455,0.025586431331733106
1,char,burrows_delta,Zkr,0.7607485244438867,-2.086340855632224,0.004338468560481035
2,mfw,cosine_delta,SCH,0.6723078334727995,-3.261127733134707,0.06185432156514381
2,mfw,burrows_delta,Zkr,0.6853399074667693,-2.1208486325321725,0.013462979810416886
2,char,cosine_delta,SCH,0.8096110275085009,-2.265639070126477,0.004346441925560884
2,char,burrows_delta,L’Animalerie,0.7629967853370269,-2.020544802712621,0.007864975029441501
3,mfw,cosine_delta,Rimkus,0.7299643801200997,-2.696262063325101,0.0029328223506071005
3,mfw,burrows_delta,SCH,0.6832775329367976,-2.179691337313188,0.006264396318352183
3,char,cosine_delta,Maes,0.8085113266196825,-2.4148057006381674,0.006145684349034841
3,char,burrows_delta,L’Animalerie,0.7670307860471853,-2.0769311691972967,0.012735790333026964
4,mfw,cosine_delta,Beendo Z,0.7074184963147061,-2.8436149729793088,0.002970783221901363
4,mfw,burrows_delta,Lacrim,0.6768712079832011,-2.122195136543888,0.009406866459364949
4,char,cosine_delta,Beendo Z,0.799908968526237,-2.4587354694902532,0.0030434257579843305
4,char,burrows_delta,L’Animalerie,0.7547402831973371,-2.118089622480799,0.002900795185944882
5,mfw,cosine_delta,Lemon Haze,0.7329360813155587,-2.693491570156894,0.009808854433554948
5,mfw,burrows_delta,Nahir,0.6553914879924191,-2.4268664223295704,0.024223748548852786
5,char,cosine_delta,Kerchak,0.798750475617791,-2.5153331814559836,0.01956771040165073
5,char,burrows_delta,Zkr,0.7445290854983104,-2.3010049107909527,0.013733518456968352
6,mfw,cosine_delta,Rimkus,0.7097051775027364,-2.9800377680613894,0.04682395908620929
6,mfw,burrows_delta,Zkr,0.6379574251428298,-2.6580328921723426,0.05334677911648411
6,char,cosine_delta,Zkr,0.7639714561872075,-2.9107412843025946,0.04568732522164187
6,char,burrows_delta,Zkr,0.734476707343238,-2.456537815103501,0.04015842574488493
7,mfw,cosine_delta,Werenoi,0.7314808523316837,-2.7421045561263515,0.0014695378983566876
7,mfw,burrows_delta,Zkr,0.6600002595119836,-2.382812531426332,0.03487219520525098
7,char,cosine_delta,JuL,0.8130418588644462,-2.3270754809696492,0.0011680910362047436
7,char,burrows_delta,L’Animalerie,0.7641036474127576,-1.9951415115609061,0.0008512534951000683
8,mfw,cosine_delta,SCH,0.7062748352395418,-2.882954254678133,0.004529437810066206
8,mfw,burrows_delta,ISK,0.679312462917852,-2.2497205731647387,0.005527840913790216
8,char,cosine_delta,ISK,0.7680216007670944,-2.8377721053856373,0.048617352408282244
8,char,burrows_delta,ISK,0.7532262245433872,-2.2823276010437765,0.0001697741953059495
9,mfw,cosine_delta,SCH,0.6835340222615278,-3.0889958695727975,0.03671737595660329
9,mfw,burrows_delta,Zkr,0.6482639197898609,-2.533206038300501,0.030939805888351657
9,char,cosine_delta,Zkr,0.7841119922729773,-2.640128144795729,0.01058444220332444
9,char,burrows_delta,Zkr,0.7524957160689991,-2.23038950953935,0.01999124971029298
10,mfw,cosine_delta,Rimkus,0.7166093062018091,-2.7658331230359585,0.009378004839986298
10,mfw,burrows_delta,S-Pion,0.6790156282138241,-2.128497995006035,0.004374076412571148
10,char,cosine_delta,Beendo Z,0.7800166787213614,-2.6976387250494365,0.015974089899500776
10,char,burrows_delta,L’Animalerie,0.766161904588999,-2.0238430923797917,0.005272505649331016
11,mfw,cosine_delta,Rimkus,0.7007864733090541,-2.944561230571333,0.0407833123200414
11,mfw,burrows_delta,Zkr,0.6926162441579088,-2.005198506239952,0.006383252488802227
11,char,cosine_delta,ISK,0.8038803181214953,-2.400693421388618,0.0009039709722208356
11,char,burrows_delta,Zkr,0.7486843440998174,-2.270765729678564,0.009304720815059064
12,mfw,cosine_delta,Rimkus,0.6975008747981788,-3.0067287656391826,0.03226525419069526
12,mfw,burrows_delta,ISK,0.6914202758459216,-2.0669509311415197,0.010722712528776213
12,char,cosine_delta,Djadja & Dinaz,0.8158602401176552,-2.243971535210152,0.0005408296401373525
12,char,burrows_delta,L’Animalerie,0.7623380322638821,-2.1576015069447165,0.011273275379563241
13,mfw,cosine_delta,Lemon Haze,0.740346164872633,-2.537291332434655,0.002515201151005453
