artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes
L’Animalerie,6.339285714285714,56,1,1
Zkr,6.6,100,1,2
Werenoi,7.770491803278689,61,1,2
Rimkus,7.918918918918919,111,1,2
ISK,8.268817204301076,93,1,2
Beendo Z,8.311111111111112,90,1,2
Grems,9.0,1,9,1
Lemon Haze,9.03191489361702,94,1,2
S-Crew,9.333333333333334,42,1,1
Leck,9.969696969696969,33,4,1
UZI (FRA),10.425925925925926,54,2,2
Kerchak,10.618181818181819,55,1,1
GLK,10.623188405797102,69,1,2
Panama Bende,10.857142857142858,42,2,1
Fresh laDouille,10.859649122807017,57,2,1
Maes,10.875,64,1,2
Beeby,11.0,5,4,1
SCH,11.0,84,1,2
Dibson,11.045454545454545,44,2,1
Lacrim,11.25,52,1,2
Ademo,11.272727272727273,11,3,1
Hayce Lemsi,11.3,30,2,1
S-Pion,11.307692307692308,52,1,2
Roshi,12.121951219512194,41,2,2
Guizmo,12.318181818181818,22,3,1
Nahir,12.551724137931034,58,1,2
Vin’s,12.583333333333334,24,2,1
Mister You,12.793103448275861,29,2,2
Nakk Mendosa,12.833333333333334,18,1,1
Seth Gueko,12.923076923076923,26,4,2
Niro,12.975609756097562,41,1,2
Nekfeu,13.166666666666666,18,3,1
SDM,13.25925925925926,27,2,1
Vald,13.285714285714286,7,6,1
Sofiane,13.4375,32,2,2
Bigflo & Oli,13.5,8,2,1
Graya,13.723076923076922,65,3,2
Aketo,13.818181818181818,11,4,1
​DA Uzi,13.903225806451612,62,3,2
Soso Maness,13.935483870967742,31,2,2
ASHE 22,14.0,59,5,2
YL,14.161290322580646,31,2,2
Lesram,14.45679012345679,81,2,2
L’Entourage,14.533333333333333,15,4,1
Saké (FRA),14.678571428571429,28,6,1
Sam’s,14.88,25,2,1
Koba LaD,14.88888888888889,36,3,2
Caballero,14.909090909090908,11,9,1
Deen Burbigo,14.96,25,5,1
Mister V,15.0,17,2,2
Grödash,15.0,3,7,1
Hooss,15.0,6,10,2
Zola,15.096774193548388,62,4,2
Worms-T,15.128205128205128,78,3,2
Jarod,15.444444444444445,9,6,1
Sopico,15.555555555555555,9,3,1
Hugo TSR,15.555555555555555,27,5,1
Djadja & Dinaz,15.78125,32,1,2
Lomepal,16.0,3,9,1
Mani Deïz,16.0,6,10,1
Sneazzy,16.0,9,8,1
Rohff,16.0,6,10,1
S.Pri Noir,16.166666666666668,6,12,1
Octobre Rouge,16.333333333333332,3,10,1
Despo Rutti,16.333333333333332,6,2,1
Limsa d’Aulnay,16.4,5,9,2
RK,16.458333333333332,24,4,2
Hatik,16.533333333333335,15,4,2
Sefyu,16.666666666666668,3,13,1
JuL,16.666666666666668,18,1,2
Népal,16.8,5,6,1
Gradur,16.8,5,9,1
Swift Guad,16.916666666666668,12,5,1
Zesau,17.0,2,17,1
Zikxo,17.142857142857142,21,6,2
Dosseh,17.2,5,9,1
Volts Face,17.272727272727273,11,6,1
404Billy,17.4,5,11,2
PSO Thug,17.5,2,16,1
Sadek,17.642857142857142,14,3,2
Dika,17.736842105263158,38,4,2
PLK,17.76923076923077,13,8,2
Lacraps,17.8,5,9,1
Kofs,17.846153846153847,13,6,2
Casseurs Flowters,18.0,5,6,1
Souffrance,18.0,6,14,2
MMZ,18.0,1,18,1
Intouchable,18.0,22,5,1
Gambino La MG,18.09090909090909,22,10,1
Timal,18.1,20,2,2
Aladin 135,18.2,5,11,1
Hornet La Frappe,18.2,10,9,2
Youri,18.285714285714285,7,13,1
Denzo,18.333333333333332,9,13,1
PRIME,18.333333333333332,6,13,1
Gambi,18.666666666666668,24,4,1
TSR Crew,19.0,1,19,1
Ninho,19.0,11,4,2
Moha La Squale,19.5,2,19,1
Furax Barbarossa,19.5,2,19,1
4Keus,19.5,8,15,1
Naps,19.571428571428573,7,11,1
AM La Scampia,19.61111111111111,18,13,2
BFG,19.818181818181817,11,13,1
So La Lune,19.875,8,15,1
Kodes,20.0,1,20,1
Alpha Wann,20.0,3,14,1
Sniper,20.0,1,20,1
Gazo,20.0,3,17,1
​​okis,20.318181818181817,22,16,1
Niaks,20.5,14,14,2
KaNoé (BEL),20.5,2,20,1
Alonzo,20.5,4,16,2
5 Majeur,20.61111111111111,18,16,1
Bosh,20.666666666666668,6,17,1
Niska,20.9,10,10,2
Benab,21.0,1,21,1
Lartiste,21.0,1,21,1
Shtar Academy,21.153846153846153,13,18,1
Kalash Criminel,21.333333333333332,3,20,1
F430,21.5,2,18,1
1995,22.0,1,22,1
Mysa,22.0,1,22,1
Landy,22.333333333333332,3,21,1
Svinkels,22.5,2,20,1
Zbig,22.5,2,20,1
Elh Kmer,22.6,5,19,1
100 Blaze,22.666666666666668,3,21,1
Mokobé,22.8,20,16,1
Heuss L’enfoiré,22.833333333333332,6,18,1
High Five Crew,23.0,1,23,1
L.I.O. Petrodollars,23.0,1,23,1
MRC,23.0,1,23,1
Diddi Trix,23.166666666666668,6,21,1
Houari,23.333333333333332,3,22,1
Meryl,23.333333333333332,3,21,1
Davodka,24.0,1,24,1
Kaaris,25.0,1,25,1
Leto,25.0,1,25,1
Jeff Le Nerf,25.0,1,25,1
