forme_pleine,forme_elidee,ratio_forme_pleine,ratio_forme_elidee,ratio_cumule,artefact_de_transcription
je,j',0.20252853785662295,1.2160961791915423,0.9920530413835225,True
se,s',0.220529987058991,1.0541852294062757,0.7751234257886085,False
ne,n',0.3502721264569357,0.8104246642877364,0.6100642825611174,False
me,m',0.38346208494205114,0.9644311025958285,0.7067566534622195,False
ce,c',0.4082788690097234,1.068887453090051,0.9384893825688735,True
te,t',0.5868250369965391,1.3534430052370185,1.1495086997981874,True
que,qu',0.6117712728258926,1.07433904733346,0.8517688556564667,True
de,d',0.6180131411056522,1.404644519202303,0.9546579714900413,True
le,l',0.9161453686502123,1.1137147636001075,1.0124060986147736,False
la,l',1.0073913616939105,1.1137147636001075,1.0495811448534451,False
