titre,projet,date_sortie,page_genius
Sport,Sport,2021-11-11,True
15.80€,Akimbo,2021-12-10,False
Chacal,Akimbo,2021-12-10,False
Calmants,Akimbo,2021-12-10,True
Phone,Akimbo,2021-12-10,True
Short,Akimbo,2021-12-10,True
Travail (feat. T$ONPA),Akimbo,2021-12-10,True
It's Mikeysem (Freestyle),Akimbo,2021-12-10,True
Mojo (Freestyle),Akimbo,2021-12-10,False
"91° (feat. T$ONPA, Sonbe & Zake)","91° (feat. T$ONPA, Sonbe & Zake)",2022-04-22,False
Uber,Prochains Heritiers,2022-04-29,False
La Planque,Prochains Heritiers,2022-04-29,False
Mojo,Prochains Heritiers,2022-04-29,False
La Piqure,Prochains Heritiers,2022-04-29,False
Kandisha,Prochains Heritiers,2022-04-29,False
Gang,Prochains Heritiers,2022-04-29,False
Demdem,Prochains Heritiers,2022-04-29,False
Affaires,Prochains Heritiers,2022-04-29,False
Mona Lisa,Prochains Heritiers,2022-04-29,False
10K,Prochains Heritiers,2022-04-29,False
Double face,Double face,2023-07-06,True
