solo,groupe,n_rappeurs,rep,mots_requete,rang_groupe,n_candidats,sep_groupe,sep_top1,top1,top1_est_groupe
Booba,Lunatic,2,0,24060,8,392,-2.0971244588194327,-2.693439957427078,Joe Lucazz,False
Booba,Lunatic,2,1,24090,3,392,-2.8726453336788604,-3.3768255184394746,Mac Tyer,False
Booba,Lunatic,2,2,24059,1,392,-3.1918881752063717,-3.1918881752063717,Lunatic,True
Booba,Lunatic,2,3,24535,21,392,-1.6659275910857556,-3.2312242360168995,Escobar Macson,False
Booba,Lunatic,2,4,24282,19,392,-1.662283880134939,-2.7830150407994902,Mac Tyer,False
Booba,Lunatic,2,5,23900,56,392,-1.0693362557176447,-3.010142471371783,Riski,False
Booba,Lunatic,2,6,24175,45,392,-1.1633887071285691,-2.9557869522908184,Benash,False
Booba,Lunatic,2,7,23904,40,392,-1.2570267802795154,-2.9490620330502777,Riski,False
Booba,Lunatic,2,8,24404,7,392,-2.165946568097443,-3.0764311191180855,Hayce Lemsi,False
Booba,Lunatic,2,9,24034,3,392,-2.4191547242775875,-3.1604468378827266,Escobar Macson,False
Kool Shen,Suprême NTM,2,0,24066,18,392,-1.6366620654250266,-2.88128194576977,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,1,24013,48,392,-1.2323151290390495,-2.6881713439169164,Octobre Rouge,False
Kool Shen,Suprême NTM,2,2,24158,12,392,-1.8786826479953918,-2.9374996926277284,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,3,24288,12,392,-1.9644210657822718,-2.7214552939419017,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,4,24045,12,392,-1.873125870450051,-2.8928948827037884,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,5,24458,29,392,-1.4679259225479706,-2.4645147411478647,Princess Aniès,False
Kool Shen,Suprême NTM,2,6,24412,51,392,-1.1844296780373929,-2.6455731535668874,Princess Aniès,False
Kool Shen,Suprême NTM,2,7,24556,32,392,-1.4601580464604005,-2.63790860199051,Princess Aniès,False
Kool Shen,Suprême NTM,2,8,24474,25,392,-1.6418381081189422,-2.9722005420155213,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,9,24160,66,392,-1.0833301823758144,-2.643784341984098,Jeff Le Nerf,False
Gringe,Casseurs Flowters,2,0,17917,1,392,-3.826343640382009,-3.826343640382009,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,1,17917,9,392,-2.348512016385515,-3.071863648033266,5 Majeur,False
Gringe,Casseurs Flowters,2,2,17917,3,392,-2.7434292889652196,-3.792145268907213,OrelSan,False
Gringe,Casseurs Flowters,2,3,17917,1,392,-3.692528538255784,-3.692528538255784,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,4,17917,1,392,-4.22544723947807,-4.22544723947807,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,5,17917,1,392,-3.8730550403334676,-3.8730550403334676,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,6,17917,1,392,-3.791386528787426,-3.791386528787426,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,7,17917,1,392,-5.161219442598181,-5.161219442598181,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,8,17917,2,392,-2.882509079573675,-3.0228168667171307,5 Majeur,False
Gringe,Casseurs Flowters,2,9,17917,1,392,-3.659688603647909,-3.659688603647909,Casseurs Flowters,True
Kery James,Ideal J,2,0,24656,16,392,-1.9872765434369586,-2.6684569721789915,Rocé (FRA),False
Kery James,Ideal J,2,1,24156,16,392,-1.9483854913136205,-2.6821347896099335,IAM,False
Kery James,Ideal J,2,2,24478,16,392,-1.963810420399535,-2.4998139352084476,Rocé (FRA),False
Kery James,Ideal J,2,3,24192,1,392,-2.7501143094156104,-2.7501143094156104,Ideal J,True
Kery James,Ideal J,2,4,24423,16,392,-2.0321203563133223,-2.847171566129256,Rocé (FRA),False
Kery James,Ideal J,2,5,24203,2,392,-2.681122941582532,-2.8684488530381227,Rocé (FRA),False
Kery James,Ideal J,2,6,24186,2,392,-2.4841261046573444,-2.6051674340910966,Keny Arkana,False
Kery James,Ideal J,2,7,24783,7,392,-2.13469256834179,-2.9264779311650093,Rocé (FRA),False
Kery James,Ideal J,2,8,24106,9,392,-2.186686358536885,-2.610546611443667,Fayçal,False
Kery James,Ideal J,2,9,24265,10,392,-2.234504246310932,-2.668078542912221,Keny Arkana,False
Rockin’ Squat,Assassin (FRA),2,0,24127,1,392,-3.5291076265340227,-3.5291076265340227,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,1,24338,1,392,-3.3863676005031773,-3.3863676005031773,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,2,24050,1,392,-3.4265004314214327,-3.4265004314214327,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,3,24388,1,392,-3.4568923266768294,-3.4568923266768294,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,4,24243,1,392,-3.479958483593877,-3.479958483593877,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,5,23926,2,392,-2.8060721114784672,-3.0085490928708913,Rocé (FRA),False
Rockin’ Squat,Assassin (FRA),2,6,24821,1,392,-3.8458768327994277,-3.8458768327994277,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,7,24792,1,392,-3.672616070004569,-3.672616070004569,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,8,24056,1,392,-3.2919765772958107,-3.2919765772958107,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,9,24053,1,392,-3.4468360943659877,-3.4468360943659877,Assassin (FRA),True
Akhenaton,IAM,3,0,24443,1,392,-3.035836385739148,-3.035836385739148,IAM,True
Akhenaton,IAM,3,1,24021,3,392,-2.583829735310967,-2.9996403389393187,Fayçal,False
Akhenaton,IAM,3,2,24378,2,392,-2.70643868966999,-2.8675889534476364,Fayçal,False
Akhenaton,IAM,3,3,24249,1,392,-2.8730884944772446,-2.8730884944772446,IAM,True
Akhenaton,IAM,3,4,24520,3,392,-2.539855098121861,-2.6050370390792157,Fayçal,False
Akhenaton,IAM,3,5,25361,2,392,-2.755706202721025,-3.0402047811264317,Fayçal,False
Akhenaton,IAM,3,6,24212,1,392,-3.2531005443055263,-3.2531005443055263,IAM,True
Akhenaton,IAM,3,7,23951,1,392,-2.8874282110447056,-2.8874282110447056,IAM,True
Akhenaton,IAM,3,8,24005,3,392,-2.507101336801025,-2.797640025524932,Fayçal,False
Akhenaton,IAM,3,9,23999,2,392,-2.7517072861339233,-3.2378794003393714,Fayçal,False
Nekfeu,S-Crew,3,0,23986,4,392,-2.7106192836194927,-3.1095131563887395,5 Majeur,False
Nekfeu,S-Crew,3,1,24030,59,392,-1.1319209815910511,-2.5492135408465115,Fayçal,False
Nekfeu,S-Crew,3,2,25121,5,392,-2.3305565492795846,-2.68874675817975,5 Majeur,False
Nekfeu,S-Crew,3,3,25182,9,392,-2.358320210364702,-3.6666700387502864,L’Entourage,False
Nekfeu,S-Crew,3,4,27164,6,392,-2.595742334197589,-3.9179987048014313,L’Entourage,False
Nekfeu,S-Crew,3,5,24506,8,392,-2.1711718590644815,-2.910363074687343,L’Entourage,False
Nekfeu,S-Crew,3,6,25833,1,392,-3.3589718674634645,-3.3589718674634645,S-Crew,True
Nekfeu,S-Crew,3,7,26943,1,392,-3.4556292453312416,-3.4556292453312416,S-Crew,True
Nekfeu,S-Crew,3,8,26826,1,392,-3.466613512928713,-3.466613512928713,S-Crew,True
Nekfeu,S-Crew,3,9,24247,1,392,-3.1312562707298133,-3.1312562707298133,S-Crew,True
Tunisiano,Sniper,3,0,24443,5,392,-2.2123226335758144,-2.856694067810483,Rocé (FRA),False
Tunisiano,Sniper,3,1,24151,5,392,-2.3693874364129104,-3.015620565133722,Fayçal,False
Tunisiano,Sniper,3,2,24213,33,392,-1.4401809531981788,-2.9150502011778174,Fayçal,False
Tunisiano,Sniper,3,3,24056,69,392,-1.0089758924510837,-2.9093400010296775,Casey (FRA),False
Tunisiano,Sniper,3,4,24303,35,392,-1.4592756216951308,-2.9609497231430044,Fayçal,False
Tunisiano,Sniper,3,5,24659,7,392,-2.2464611299075252,-2.7554754553580563,Rocé (FRA),False
Tunisiano,Sniper,3,6,24396,42,392,-1.325838368351515,-2.957836009746875,Fayçal,False
Tunisiano,Sniper,3,7,24584,8,392,-2.1171251526218935,-3.0036398395623785,Fayçal,False
Tunisiano,Sniper,3,8,24321,40,392,-1.2391417245397984,-2.85769198272531,Fayçal,False
Tunisiano,Sniper,3,9,24443,71,392,-0.994033891404685,-2.8858288003822214,Fayçal,False
Jazzy Bazz,L’Entourage,5,0,23916,53,392,-1.163275481596276,-3.0792024881456292,Lonepsi,False
Jazzy Bazz,L’Entourage,5,1,23999,32,392,-1.452725177914994,-2.846891686474851,VII,False
Jazzy Bazz,L’Entourage,5,2,24076,84,392,-0.8794757864983717,-3.4377764260648376,Lonepsi,False
Jazzy Bazz,L’Entourage,5,3,24260,68,392,-0.9800950528134875,-2.9767702163641374,Lonepsi,False
Jazzy Bazz,L’Entourage,5,4,24043,110,392,-0.644768689960474,-3.68197934178887,Lonepsi,False
Jazzy Bazz,L’Entourage,5,5,24145,58,392,-1.0664882479704263,-2.8300652938489432,Rochdi,False
Jazzy Bazz,L’Entourage,5,6,23903,68,392,-0.9465692113547244,-3.2217543791543495,Lonepsi,False
Jazzy Bazz,L’Entourage,5,7,24045,93,392,-0.7066622927811831,-3.423405044838095,Lonepsi,False
Jazzy Bazz,L’Entourage,5,8,24033,46,392,-1.3026309787445585,-3.245291411944392,Fayçal,False
Jazzy Bazz,L’Entourage,5,9,24270,55,392,-1.1545903837837763,-3.0731059009502317,Lonepsi,False
Deen Burbigo,L’Entourage,5,0,23985,32,392,-1.3460004023955139,-3.426164695819652,Jeff Le Nerf,False
Deen Burbigo,L’Entourage,5,1,23992,19,392,-1.8069227720503058,-3.02157951907533,Hugo TSR,False
Deen Burbigo,L’Entourage,5,2,24197,6,392,-2.3926097982217343,-3.2316283229007485,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,3,24504,31,392,-1.4820456264242683,-3.4866565287856837,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,4,24324,27,392,-1.437609934290173,-2.995524284280995,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,5,23926,17,392,-1.9147133386132869,-2.6053532077683057,Mani Deïz,False
Deen Burbigo,L’Entourage,5,6,23932,3,392,-2.781554112295435,-3.091696035884713,5 Majeur,False
Deen Burbigo,L’Entourage,5,7,24471,10,392,-2.1060753461406714,-3.0493325362465082,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,8,24344,8,392,-2.3164041023138124,-3.2258147240362844,Hugo TSR,False
Deen Burbigo,L’Entourage,5,9,23904,5,392,-2.5354821525215687,-3.109787110923137,L’Animalerie,False
Nekfeu,1995,6,0,23986,21,392,-1.6364134718171757,-2.6554740345205916,Chiens de Paille,False
Nekfeu,1995,6,1,24180,35,392,-1.402413690663782,-2.2526183408992266,Lonepsi,False
Nekfeu,1995,6,2,24277,3,392,-2.387109895422652,-2.5975906242137676,S-Crew,False
Nekfeu,1995,6,3,24250,72,392,-0.9154729507627725,-2.8558553143665,Scylla,False
Nekfeu,1995,6,4,27157,14,392,-1.8820880901350718,-3.0000718391767984,Lucio Bukowski,False
Nekfeu,1995,6,5,24406,25,392,-1.5419287145998875,-3.140886061957856,La Caution,False
Nekfeu,1995,6,6,25020,35,392,-1.3736465915101363,-3.098250373875242,Fayçal,False
Nekfeu,1995,6,7,24383,21,392,-1.6686549942295406,-6.608619866960904,S-Crew,False
Nekfeu,1995,6,8,24514,59,392,-1.067868290158632,-2.6691621993405192,La Caution,False
Nekfeu,1995,6,9,24230,22,392,-1.7588790379290393,-3.037783072378598,5 Majeur,False
Alpha Wann,1995,6,0,24441,18,392,-1.7815971571386748,-3.214414760047217,L’Animalerie,False
Alpha Wann,1995,6,1,24478,35,392,-1.3236154623938763,-2.940350057350816,Freeze Corleone,False
Alpha Wann,1995,6,2,24141,13,392,-1.9089079830106845,-2.7541095328391125,Triptik,False
Alpha Wann,1995,6,3,24321,6,392,-2.606454236010772,-3.204055028143309,Souffrance,False
Alpha Wann,1995,6,4,25377,3,392,-2.708352039328086,-3.3683090207072386,X-Men,False
Alpha Wann,1995,6,5,24330,8,392,-2.1176480876730115,-3.0029409880773654,X-Men,False
Alpha Wann,1995,6,6,24292,11,392,-2.1549520484869684,-2.8123972568964555,Freeze Corleone,False
Alpha Wann,1995,6,7,23993,3,392,-2.5448109572754665,-2.757544220909846,X-Men,False
Alpha Wann,1995,6,8,24286,4,392,-2.5078386550720517,-3.6019028666112574,X-Men,False
Alpha Wann,1995,6,9,23985,22,392,-1.6910133376136345,-3.4879829628175725,X-Men,False
Black M,Sexion d’Assaut,8,0,23956,51,392,-1.1686144154229514,-3.801197177309261,Ridsa,False
Black M,Sexion d’Assaut,8,1,24281,156,392,-0.2452243376908291,-3.152781021750729,Franglish,False
Black M,Sexion d’Assaut,8,2,24203,42,392,-1.2747808853830596,-2.9191245169041693,Franglish,False
Black M,Sexion d’Assaut,8,3,24276,46,392,-1.1834011491134886,-3.052514317042964,Ridsa,False
Black M,Sexion d’Assaut,8,4,24006,29,392,-1.4389704750767423,-2.9470892811708924,Franglish,False
Black M,Sexion d’Assaut,8,5,24026,47,392,-1.1335525367807828,-3.573567660316119,Franglish,False
Black M,Sexion d’Assaut,8,6,24210,46,392,-1.2083129761460314,-3.6097623798905296,Franglish,False
Black M,Sexion d’Assaut,8,7,24254,168,392,-0.11604038619252006,-4.255284956504274,Franglish,False
Black M,Sexion d’Assaut,8,8,24509,227,392,0.20773564695313218,-3.398186402976919,Ridsa,False
Black M,Sexion d’Assaut,8,9,23956,85,392,-0.7030505926131082,-3.42851904309783,Ridsa,False
Lefa,Sexion d’Assaut,8,0,24561,308,392,0.8754480326995969,-2.826197895221306,UZI (FRA),False
Lefa,Sexion d’Assaut,8,1,24348,116,392,-0.5555668001795896,-2.9059371746326215,Spider ZED,False
Lefa,Sexion d’Assaut,8,2,24394,287,392,0.6559862255784811,-4.1448809387167,Spider ZED,False
Lefa,Sexion d’Assaut,8,3,24164,124,392,-0.5325278849784518,-2.8593785803797678,​nelick,False
Lefa,Sexion d’Assaut,8,4,24412,213,392,0.035100441094506295,-3.3160724246725777,Lycos,False
Lefa,Sexion d’Assaut,8,5,24023,172,392,-0.249437818603859,-2.578167637965513,Lycos,False
Lefa,Sexion d’Assaut,8,6,23940,92,392,-0.7972826361161062,-2.9252054890701347,Dadju,False
Lefa,Sexion d’Assaut,8,7,24380,223,392,0.14823216041346693,-2.420927401349154,BFG,False
Lefa,Sexion d’Assaut,8,8,24105,114,392,-0.541049859208427,-2.892727450834586,Spider ZED,False
Lefa,Sexion d’Assaut,8,9,23977,147,392,-0.3545620741261421,-2.639434468656313,BFG,False
