solo,groupe,n_rappeurs,rang_median,rang_min,rang_max,sep_moy,sep_top1_moy,taux_rang1,n_candidats
Gringe,Casseurs Flowters,2,1.0,1,9,-3.620411941840726,-3.8116494817140456,0.7,392
Rockin’ Squat,Assassin (FRA),2,1.0,1,2,-3.4342204154673603,-3.4544681136066027,0.9,392
Akhenaton,IAM,3,2.0,1,3,-2.7894091984325415,-2.959744417402353,0.4,392
Nekfeu,S-Crew,3,4.5,1,59,-2.671080211457013,-3.225497617010729,0.4,392
Alpha Wann,1995,6,9.5,3,35,-2.1345189964003226,-3.114400669440019,0.0,392
Kery James,Ideal J,2,9.5,1,16,-2.2402839340308534,-2.7126410945192356,0.1,392
Booba,Lunatic,2,13.5,1,56,-1.956472247442612,-3.0428262341603007,0.1,392
Deen Burbigo,L’Entourage,5,13.5,3,32,-2.0119417585266772,-3.1243536965721357,0.0,392
Nekfeu,1995,6,23.5,3,72,-1.563447572722869,-3.1916311727690005,0.0,392
Kool Shen,Suprême NTM,2,27.0,12,66,-1.542288871623231,-2.7485284539664985,0.0,392
Tunisiano,Sniper,3,34.0,5,71,-1.6412742804158538,-2.9118126646069546,0.0,392
Black M,Sexion d’Assaut,8,49.0,29,227,-0.8264212107466381,-3.413802675696368,0.0,392
Jazzy Bazz,L’Entourage,5,63.0,32,110,-1.029728130341827,-3.1816242189574337,0.0,392
Lefa,Sexion d’Assaut,8,159.5,92,308,-0.13156602134265244,-2.9508929461498674,0.0,392
