artiste,annee_rupture,rep,rang_periode_apres,n_candidats,sep_cible,sep_top1,trouve_rang1,mots_avant,mots_apres,groupe,libelle
Ateyaba,2016.0,0,1,393,-4.655649011618975,-4.655649011618975,True,24252,12096,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,1,1,393,-5.02130223586557,-5.02130223586557,True,24363,12045,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,2,1,393,-5.348112334229124,-5.348112334229124,True,23924,12024,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,3,1,393,-4.907377467551037,-4.907377467551037,True,24160,12316,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,4,1,393,-5.331653055242009,-5.331653055242009,True,23972,12220,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,5,1,393,-5.118529097970909,-5.118529097970909,True,24686,12452,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,6,1,393,-5.157585184001787,-5.157585184001787,True,24168,12004,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,7,1,393,-4.798449875408032,-4.798449875408032,True,24181,12042,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,8,1,393,-4.532175904743024,-4.532175904743024,True,24128,12311,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,9,1,393,-4.89790452158536,-4.89790452158536,True,24196,12300,changement d'identité,Joke → Ateyaba
Gims,2019.0,0,19,393,-1.8946992471677044,-3.6871401872238554,False,23979,12000,changement d'identité,Maître Gims → Gims
Gims,2019.0,1,3,393,-2.6241440857184157,-5.341934105308218,False,24523,12121,changement d'identité,Maître Gims → Gims
Gims,2019.0,2,13,393,-2.170334602886835,-3.8439264206760257,False,23906,12158,changement d'identité,Maître Gims → Gims
Gims,2019.0,3,10,393,-2.552838630408891,-3.65982990829621,False,24099,12191,changement d'identité,Maître Gims → Gims
Gims,2019.0,4,5,393,-2.646194726328327,-4.3421522763914036,False,24435,12135,changement d'identité,Maître Gims → Gims
Gims,2019.0,5,4,393,-3.0249040842988775,-3.6884070643674303,False,24189,12272,changement d'identité,Maître Gims → Gims
Gims,2019.0,6,6,393,-2.7960884083084103,-3.8123245259800047,False,24254,12044,changement d'identité,Maître Gims → Gims
Gims,2019.0,7,1,393,-4.4040795581916425,-4.4040795581916425,True,24053,12140,changement d'identité,Maître Gims → Gims
Gims,2019.0,8,2,393,-3.854459712660671,-4.054273733500071,False,23892,12148,changement d'identité,Maître Gims → Gims
Gims,2019.0,9,5,393,-3.12285896485431,-3.6193293428420947,False,24514,12469,changement d'identité,Maître Gims → Gims
Disiz,2012.0,0,19,393,-1.843680367156391,-3.270554504911691,False,24047,12025,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,1,1,393,-3.5412713371798104,-3.5412713371798104,True,24821,12439,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,2,1,393,-2.788613947862992,-2.788613947862992,True,24901,12222,changement d'identité,Disiz la Peste → Disiz
