rep,variante,features,metric,top1,sep_top1
0,LRFAF (corpus publié),mfw,cosine_delta,SCH,-2.8412704160704307
0,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.302303863899243
0,"Genius, invités inclus",mfw,cosine_delta,SCH,-2.906767556571461
0,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.2577955629582482
0,"Genius, invités retirés",mfw,cosine_delta,SCH,-2.885949602008021
0,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.273491673735344
0,LRFAF (corpus publié),char,cosine_delta,Nahir,-2.4229265797892925
0,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.165671149161271
0,"Genius, invités inclus",char,cosine_delta,SCH,-2.300827112340341
0,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.182654280656711
0,"Genius, invités retirés",char,cosine_delta,SCH,-2.326018322041765
0,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.177385544744298
1,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.8292002412295036
1,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.5224915361901963
1,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.853016965401751
1,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.45144560135817
1,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.8157029201073427
1,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.455403625867556
1,LRFAF (corpus publié),char,cosine_delta,UZI (FRA),-2.5736151072229476
1,LRFAF (corpus publié),char,burrows_delta,Guizmo,-2.040056922527955
1,"Genius, invités inclus",char,cosine_delta,UZI (FRA),-2.6305126902890406
1,"Genius, invités inclus",char,burrows_delta,Guizmo,-2.076682775130182
1,"Genius, invités retirés",char,cosine_delta,UZI (FRA),-2.6384548633027847
1,"Genius, invités retirés",char,burrows_delta,Guizmo,-2.053011718710928
2,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.7858983361962086
2,LRFAF (corpus publié),mfw,burrows_delta,ISK,-2.083498848683225
2,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.884554543236983
2,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.149288992662921
2,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.8397196660985147
2,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.1565541230256198
2,LRFAF (corpus publié),char,cosine_delta,Roshi,-2.3468550112981483
2,LRFAF (corpus publié),char,burrows_delta,ISK,-2.121087446228913
2,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.368392717791006
2,"Genius, invités inclus",char,burrows_delta,ISK,-2.145649463709829
2,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.3797222949187264
2,"Genius, invités retirés",char,burrows_delta,ISK,-2.1767030278721284
3,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.8617232034025846
