artiste,intervenant,titres,sur,part,motif
100 Blaze,1,5,51,0.09803921568627451,récurrent
100 Blaze,2,5,51,0.09803921568627451,récurrent
100 Blaze,100blaze,4,51,0.0784313725490196,récurrent
113,rimk,65,80,0.8125,répertoire
113,ap,60,80,0.75,répertoire
113,mokobe,21,80,0.2625,récurrent
113,rohff,7,80,0.0875,récurrent
113,ogb,5,80,0.0625,récurrent
113,manukey,4,80,0.05,récurrent
13 Block,zefor,89,99,0.898989898989899,répertoire
13 Block,oldpee,88,99,0.8888888888888888,répertoire
13 Block,zed,87,99,0.8787878787878788,répertoire
13 Block,detess,46,99,0.46464646464646464,répertoire
13 Block,stavo,43,99,0.43434343434343436,répertoire
1995,nekfeu,32,38,0.8421052631578947,répertoire
1995,fonkyflav,28,38,0.7368421052631579,répertoire
1995,sneazzy,26,38,0.6842105263157895,répertoire
1995,alphawann,25,38,0.6578947368421053,répertoire
1995,darrylzeuja,24,38,0.631578947368421,répertoire
1995,arenojaz,4,38,0.10526315789473684,récurrent
1995,sneazzywest,4,38,0.10526315789473684,récurrent
2zer,2zer,7,49,0.14285714285714285,récurrent
2zer,nekfeu,4,49,0.08163265306122448,récurrent
3010,3010,37,219,0.1689497716894977,récurrent
404Billy,404billy,7,107,0.06542056074766354,récurrent
4Keus,tiakola,58,59,0.9830508474576272,répertoire
4Keus,bne,53,59,0.8983050847457628,répertoire
4Keus,hk,35,59,0.5932203389830508,répertoire
4Keus,djeffi,31,59,0.5254237288135594,répertoire
4Keus,djeffijack,25,59,0.423728813559322,répertoire
4Keus,tag,5,59,0.0847457627118644,récurrent
5 Majeur,vidji,15,18,0.8333333333333334,répertoire
5 Majeur,heskis,14,18,0.7777777777777778,répertoire
5 Majeur,nekfeu,14,18,0.7777777777777778,répertoire
5 Majeur,keroue,11,18,0.6111111111111112,répertoire
5 Majeur,hunam,9,18,0.5,répertoire
A2H,a2h,46,237,0.1940928270042194,récurrent
AM La Scampia,amlascampia,7,37,0.1891891891891892,récurrent
ASHE 22,ashe22,16,83,0.1927710843373494,récurrent
ASHE 22,ashe,10,83,0.12048192771084337,récurrent
ASHE 22,tag,9,83,0.10843373493975904,récurrent
Abd Al Malik,abdalmalik,14,91,0.15384615384615385,récurrent
Abd Al Malik,matteofalkone,8,91,0.08791208791208792,récurrent
Abd Al Malik,wallen,6,91,0.06593406593406594,récurrent
Abou Debeing,aboudebeing,21,68,0.3088235294117647,récurrent
Abou Debeing,dadju,6,68,0.08823529411764706,récurrent
Abou Tall,aboutall,7,52,0.1346153846153846,récurrent
Ademo,ademo,12,46,0.2608695652173913,récurrent
Ademo,nos,5,46,0.10869565217391304,récurrent
Aketo,aketo,7,36,0.19444444444444445,récurrent
Akhenaton,akhenaton,57,163,0.3496932515337423,récurrent
Akhenaton,shurikn,10,163,0.06134969325153374,récurrent
Al Peco,alpeco,9,32,0.28125,récurrent
Aladin 135,aladin135,20,100,0.2,récurrent
Ali (FRA),ali,12,48,0.25,récurrent
Alibi Montana,alibimontana,14,49,0.2857142857142857,récurrent
Alibi Montana,alibi,11,49,0.22448979591836735,récurrent
Alkpote,alkpote,101,237,0.42616033755274263,répertoire
Alonzo,alonzo,51,171,0.2982456140350877,récurrent
Alonzo,tag,16,171,0.0935672514619883,récurrent
Alpha 5.20,alpha520,59,116,0.5086206896551724,répertoire
Alpha 5.20,shone,11,116,0.09482758620689655,récurrent
Alpha 5.20,oroskoraricim,9,116,0.07758620689655173,récurrent
Alpha 5.20,ker,8,116,0.06896551724137931,récurrent
Alpha 5.20,balastikdogg,6,116,0.05172413793103448,récurrent
Alpha Wann,alphawann,23,74,0.3108108108108108,récurrent
Alpha Wann,infinit,4,74,0.05405405405405406,récurrent
Alrima,alrima,8,89,0.0898876404494382,récurrent
Assassin (FRA),rockinsquat,24,61,0.39344262295081966,récurrent
Assassin (FRA),solo,9,61,0.14754098360655737,récurrent
Ateyaba,joke,16,132,0.12121212121212122,récurrent
Axiom,axiom,4,34,0.11764705882352941,récurrent
Barack,barackadama,19,71,0.2676056338028169,récurrent
Barack,barack,5,71,0.07042253521126761,récurrent
Beat de Boul,zoxea,13,18,0.7222222222222222,répertoire
Beat de Boul,danydan,9,18,0.5,répertoire
Beat de Boul,censnino,8,18,0.4444444444444444,répertoire
Beat de Boul,melopheelo,8,18,0.4444444444444444,répertoire
Beat de Boul,sirdoums,7,18,0.3888888888888889,récurrent
Beat de Boul,lim,5,18,0.2777777777777778,récurrent
Beat de Boul,boulox,4,18,0.2222222222222222,récurrent
Beeby,beeby,21,180,0.11666666666666667,récurrent
Beendo Z,tag,9,51,0.17647058823529413,récurrent
Beendo Z,beendoz,8,51,0.1568627450980392,récurrent
Bekar,bekar,9,88,0.10227272727272728,récurrent
Benab,benab,14,82,0.17073170731707318,récurrent
Benab,tag,14,82,0.17073170731707318,récurrent
Benash,benash,5,37,0.13513513513513514,récurrent
Benjamin Epps,benjaminepps,8,38,0.21052631578947367,récurrent
Beny,benylebrownies,7,55,0.12727272727272726,récurrent
Beny,beny,4,55,0.07272727272727272,récurrent
Bigflo & Oli,oli,112,119,0.9411764705882353,répertoire
Bigflo & Oli,bigflo,108,119,0.907563025210084,répertoire
Bisso Na Bisso,passi,20,23,0.8695652173913043,répertoire
Bisso Na Bisso,benj,17,23,0.7391304347826086,répertoire
Bisso Na Bisso,calbo,16,23,0.6956521739130435,répertoire
Bisso Na Bisso,doc,16,23,0.6956521739130435,répertoire
Bisso Na Bisso,gkill,14,23,0.6086956521739131,répertoire
Bisso Na Bisso,lino,14,23,0.6086956521739131,répertoire
Bisso Na Bisso,mpassi,14,23,0.6086956521739131,répertoire
Bisso Na Bisso,mystik,11,23,0.4782608695652174,répertoire
Black Kent,blackkent,20,121,0.1652892561983471,récurrent
Black M,blackm,41,121,0.33884297520661155,récurrent
Bolémvn,bolemvn,12,82,0.14634146341463414,récurrent
Bolémvn,tag,6,82,0.07317073170731707,récurrent
Booba,booba,65,238,0.27310924369747897,récurrent
Bosh,bosh,7,60,0.11666666666666667,récurrent
BraSco (FRA),brasco,10,31,0.3225806451612903,récurrent
Busta Flex,bustaflex,26,127,0.2047244094488189,récurrent
Butter Bullets,sidisid,28,103,0.27184466019417475,récurrent
Caballero,caballero,15,74,0.20270270270270271,récurrent
Caballero,jeanjass,4,74,0.05405405405405406,récurrent
Caballero,sima,4,74,0.05405405405405406,récurrent
Caballero,ysha,4,74,0.05405405405405406,récurrent
Canardo,canardo,31,110,0.2818181818181818,récurrent
Casey (FRA),casey,7,47,0.14893617021276595,récurrent
Casseurs Flowters,orelsan,37,48,0.7708333333333334,répertoire
Casseurs Flowters,gringe,36,48,0.75,répertoire
Chiens de Paille,sako,19,52,0.36538461538461536,récurrent
Chiens de Paille,akhenaton,7,52,0.1346153846153846,récurrent
Chilla,chilla,9,67,0.13432835820895522,récurrent
Cookiesan,cookiesan,6,61,0.09836065573770492,récurrent
Cuizinier,cuizinier,19,31,0.6129032258064516,répertoire
Cuizinier,thegenevanheathen,9,31,0.2903225806451613,récurrent
Cuizinier,tekilatex,4,31,0.12903225806451613,récurrent
Cuizinier,tidoberman,4,31,0.12903225806451613,récurrent
D. Ace,dace,16,111,0.14414414414414414,récurrent
DTF,rkm,95,96,0.9895833333333334,répertoire
DTF,rti,93,96,0.96875,répertoire
Dabs,dabs,11,72,0.1527777777777778,récurrent
Dabs,tag,9,72,0.125,récurrent
Daddy Lord C,daddylordc,7,20,0.35,récurrent
Dadju,dadju,21,96,0.21875,récurrent
Dadoo,dadoo,8,22,0.36363636363636365,récurrent
Damso,damso,19,123,0.15447154471544716,récurrent
Dandyguel,dandyguel,11,70,0.15714285714285714,récurrent
Dany Dan,danydan,26,74,0.35135135135135137,récurrent
Davodka,davodka,32,102,0.3137254901960784,récurrent
Deen Burbigo,deenburbigo,23,83,0.27710843373493976,récurrent
Deen Burbigo,nekfeu,5,83,0.060240963855421686,récurrent
Demi Portion,demiportion,38,182,0.2087912087912088,récurrent
Demon One,demonone,6,25,0.24,récurrent
Denzo,denzo,8,40,0.2,récurrent
Despo Rutti,desporutti,22,117,0.18803418803418803,récurrent
Diam’s,diams,14,101,0.13861386138613863,récurrent
Diam’s,transition,7,101,0.06930693069306931,récurrent
Dibson,dibson,10,64,0.15625,récurrent
Diddi Trix,didditrix,7,60,0.11666666666666667,récurrent
Dika,dika,17,33,0.5151515151515151,répertoire
Dika,tag,6,33,0.18181818181818182,récurrent
Dika,naps,5,33,0.15151515151515152,récurrent
Dika,graya,4,33,0.12121212121212122,récurrent
Dinos,dinos,28,183,0.15300546448087432,récurrent
Disiz,disiz,48,285,0.16842105263157894,récurrent
Djadja & Dinaz,djadja,136,177,0.768361581920904,répertoire
Djadja & Dinaz,dinaz,134,177,0.7570621468926554,répertoire
Djadja & Dinaz,tag,11,177,0.062146892655367235,récurrent
Doc Gynéco,docgyneco,11,62,0.1774193548387097,récurrent
Doc Gynéco,calbo,4,62,0.06451612903225806,récurrent
Don Choa,donchoa,9,39,0.23076923076923078,récurrent
Don Choa,leratluciano,4,39,0.10256410256410256,récurrent
Dooz Kawa,doozkawa,10,101,0.09900990099009901,récurrent
Dosseh,dosseh,48,171,0.2807017543859649,récurrent
Doums,doums,13,34,0.38235294117647056,récurrent
Dry,dry,26,64,0.40625,répertoire
Dry,lefa,6,64,0.09375,récurrent
Dry,maitregims,5,64,0.078125,récurrent
El Matador,elmatador,16,90,0.17777777777777778,récurrent
El Matador,brasco,8,90,0.08888888888888889,récurrent
Elams,elams,19,137,0.1386861313868613,récurrent
Elh Kmer,elhkmer,13,74,0.17567567567567569,récurrent
Escobar Macson,escobarmacson,11,34,0.3235294117647059,récurrent
Expression Direkt,weedy,21,37,0.5675675675675675,répertoire
Expression Direkt,letin,20,37,0.5405405405405406,répertoire
Expression Direkt,kertra,19,37,0.5135135135135135,répertoire
Expression Direkt,delta,14,37,0.3783783783783784,récurrent
F430,jet,60,63,0.9523809523809523,répertoire
F430,sensei,56,63,0.8888888888888888,répertoire
F430,tag,16,63,0.25396825396825395,récurrent
Fababy,fababy,26,102,0.2549019607843137,récurrent
Fabe,fabe,20,76,0.2631578947368421,récurrent
Fabe,koma,7,76,0.09210526315789473,récurrent
Faf Larage,faflarage,9,46,0.1956521739130435,récurrent
Faf Larage,scratches,5,46,0.10869565217391304,récurrent
Fayçal,faycal,13,62,0.20967741935483872,récurrent
Fixpen Sill,keroue,54,60,0.9,répertoire
Fixpen Sill,vidji,51,60,0.85,répertoire
Fixpen Sill,lomepal,4,60,0.06666666666666667,récurrent
Flynt,flynt,13,49,0.2653061224489796,récurrent
Flynt,nasme,4,49,0.08163265306122448,récurrent
Fonky Family,donchoa,46,68,0.6764705882352942,répertoire
Fonky Family,leratluciano,46,68,0.6764705882352942,répertoire
Fonky Family,menzo,39,68,0.5735294117647058,répertoire
Fonky Family,sat,39,68,0.5735294117647058,répertoire
Fonky Family,satlartificier,7,68,0.10294117647058823,récurrent
Franglish,franglish,17,91,0.18681318681318682,récurrent
Freeze Corleone,freezecorleone,39,153,0.2549019607843137,récurrent
Freeze Corleone,osirusjack,13,153,0.08496732026143791,récurrent
Freeze Corleone,norsacceberlusconi,8,153,0.05228758169934641,récurrent
Fresh laDouille,freshladouille,6,51,0.11764705882352941,récurrent
Furax Barbarossa,furax,10,129,0.07751937984496124,récurrent
GLK,glk,25,129,0.1937984496124031,récurrent
GLK,tag,13,129,0.10077519379844961,récurrent
Gambino La MG,gambinolamg,13,54,0.24074074074074073,récurrent
Gambino La MG,tag,8,54,0.14814814814814814,récurrent
Gazo,gazo,9,36,0.25,récurrent
Gaël Faye,gaelfaye,6,46,0.13043478260869565,récurrent
Georgio,georgio,39,178,0.21910112359550563,récurrent
Gims,maitregims,40,201,0.19900497512437812,récurrent
Gims,gims,36,201,0.1791044776119403,récurrent
Gradur,gradur,29,103,0.2815533980582524,récurrent
Grand Corps Malade,grandcorpsmalade,29,111,0.26126126126126126,récurrent
Graya,graya,11,39,0.28205128205128205,récurrent
Green Money,greenmoney,13,107,0.12149532710280374,récurrent
Grems,grems,27,168,0.16071428571428573,récurrent
Gringe,gringe,9,27,0.3333333333333333,récurrent
Grödash,grodash,29,64,0.453125,répertoire
Grödash,elegant,4,64,0.0625,récurrent
Guizmo,guizmo,29,228,0.12719298245614036,récurrent
Guy2Bezbar,guy2bezbar,13,58,0.22413793103448276,récurrent
Gérard Baste,gerardbaste,26,62,0.41935483870967744,répertoire
Gérard Baste,a2h,4,62,0.06451612903225806,récurrent
Gérard Baste,fancie,4,62,0.06451612903225806,récurrent
Gérard Baste,monsieurpoulpe,4,62,0.06451612903225806,récurrent
Gérard Baste,mrxavier,4,62,0.06451612903225806,récurrent
Gérard Baste,rhumg,4,62,0.06451612903225806,récurrent
H Magnum,hmagnum,32,87,0.367816091954023,récurrent
H Magnum,maitregims,9,87,0.10344827586206896,récurrent
Hamza,hamza,17,164,0.10365853658536585,récurrent
Hatik,hatik,15,143,0.1048951048951049,récurrent
Hayce Lemsi,haycelemsi,41,231,0.1774891774891775,récurrent
Heuss L’enfoiré,heusslenfoire,7,38,0.18421052631578946,récurrent
High Five Crew,assassam,19,26,0.7307692307692307,répertoire
High Five Crew,lechad,19,26,0.7307692307692307,répertoire
High Five Crew,spiderzed,17,26,0.6538461538461539,répertoire
High Five Crew,edendillinger,12,26,0.46153846153846156,répertoire
Hippocampe Fou,hippocampefou,20,112,0.17857142857142858,récurrent
Hippocampe Fou,ceo,6,112,0.05357142857142857,récurrent
Hocus Pocus,20syl,37,54,0.6851851851851852,répertoire
Hocus Pocus,cambia,9,54,0.16666666666666666,récurrent
Hooss,hooss,28,161,0.17391304347826086,récurrent
Hornet La Frappe,hornetlafrappe,20,112,0.17857142857142858,récurrent
Hornet La Frappe,tag,9,112,0.08035714285714286,récurrent
Houari,houari,8,62,0.12903225806451613,récurrent
Hugo TSR,hugotsr,9,75,0.12,récurrent
Hugo TSR,hugoboss,5,75,0.06666666666666667,récurrent
Hyacinthe,hyacinthe,16,101,0.15841584158415842,récurrent
IAM,akhenaton,190,273,0.6959706959706959,répertoire
IAM,shurikn,185,273,0.6776556776556777,répertoire
IAM,freeman,34,273,0.12454212454212454,récurrent
ISK,isk,12,83,0.14457831325301204,récurrent
ISK,tag,5,83,0.060240963855421686,récurrent
Ideal J,keryjames,10,30,0.3333333333333333,récurrent
Ideal J,daddykery,6,30,0.2,récurrent
Intouchable,demonone,27,32,0.84375,répertoire
Intouchable,dry,23,32,0.71875,répertoire
J9ueve,j9ueve,8,43,0.18604651162790697,récurrent
Jack Uzi,jackuzi,5,87,0.05747126436781609,récurrent
Jarod,jarod,29,176,0.16477272727272727,récurrent
Jazzy Bazz,jazzybazz,17,64,0.265625,récurrent
Jazzy Bazz,alphawann,4,64,0.0625,récurrent
JeanJass,jeanjass,12,43,0.27906976744186046,récurrent
Jeff Le Nerf,jefflenerf,12,81,0.14814814814814814,récurrent
Joe Lucazz,joelucazz,13,53,0.24528301886792453,récurrent
Joey Starr,joeystarr,10,30,0.3333333333333333,récurrent
Jok’Air,jokair,43,128,0.3359375,récurrent
Jok’Air,chich,7,128,0.0546875,récurrent
Jorrdee,jorrdee,44,243,0.18106995884773663,récurrent
Josman,josman,13,112,0.11607142857142858,récurrent
JuL,jul,156,865,0.18034682080924855,récurrent
K-Reen,kreen,8,33,0.24242424242424243,récurrent
KIK,kikesa,11,146,0.07534246575342465,récurrent
Kaaris,kaaris,29,199,0.1457286432160804,récurrent
Kacem Wapalek,kacemwapalek,9,56,0.16071428571428573,récurrent
Kacem Wapalek,antonserra,7,56,0.125,récurrent
Kalash,kalash,33,95,0.3473684210526316,récurrent
Kalash,damso,6,95,0.06315789473684211,récurrent
Kalash Criminel,kalashcriminel,18,85,0.21176470588235294,récurrent
Kalash Criminel,tag,8,85,0.09411764705882353,récurrent
Kalash l’Afro,kalashlafro,6,19,0.3157894736842105,récurrent
Kamelancien,kamelancien,9,62,0.14516129032258066,récurrent
Kamelancien,kamelanc,6,62,0.0967741935483871,récurrent
Kamikaz,kamikaz,27,113,0.23893805309734514,récurrent
Kamikaz,malaa,8,113,0.07079646017699115,récurrent
KeBlack,keblack,16,97,0.16494845360824742,récurrent
KeBlack,naza,6,97,0.061855670103092786,récurrent
Keny Arkana,kenyarkana,16,138,0.11594202898550725,récurrent
Kerchak,kerchak,8,52,0.15384615384615385,récurrent
Kery James,keryjames,66,155,0.4258064516129032,répertoire
Klub des Loosers,fuzati,7,81,0.08641975308641975,récurrent
Koba LaD,kobalad,16,113,0.1415929203539823,récurrent
Koba LaD,tag,6,113,0.05309734513274336,récurrent
Kodes,kodes,7,43,0.16279069767441862,récurrent
Kofs,kofs,15,87,0.1724137931034483,récurrent
Kofs,tag,10,87,0.11494252873563218,récurrent
Kohndo,kohndo,11,69,0.15942028985507245,récurrent
Kool Shen,koolshen,12,47,0.2553191489361702,récurrent
Kool Shen,jefflenerf,4,47,0.0851063829787234,récurrent
Krisy,krisy,18,119,0.15126050420168066,récurrent
Kroc Blanc,krocblanc,13,34,0.38235294117647056,récurrent
Kroc Blanc,lemarechal,5,34,0.14705882352941177,récurrent
L.I.O. Petrodollars,liopetrodollars,5,26,0.19230769230769232,récurrent
La Brigade,acid,13,23,0.5652173913043478,répertoire
La Brigade,fredo,11,23,0.4782608695652174,répertoire
La Brigade,johndeido,11,23,0.4782608695652174,répertoire
La Brigade,2fray,8,23,0.34782608695652173,récurrent
La Brigade,base,8,23,0.34782608695652173,récurrent
La Brigade,dock,8,23,0.34782608695652173,récurrent
La Brigade,dvice,7,23,0.30434782608695654,récurrent
La Brigade,kfear,5,23,0.21739130434782608,récurrent
La Brigade,lekfear,5,23,0.21739130434782608,récurrent
La Caution,hitekk,50,56,0.8928571428571429,répertoire
La Caution,nikkfurie,50,56,0.8928571428571429,répertoire
La Cliqua,daddylordc,19,27,0.7037037037037037,répertoire
La Cliqua,rocca,17,27,0.6296296296296297,répertoire
La Cliqua,raphael,15,27,0.5555555555555556,répertoire
La Cliqua,egosyst,5,27,0.18518518518518517,récurrent
La Cliqua,docodnok,4,27,0.14814814814814814,récurrent
La Fouine,lafouine,91,307,0.2964169381107492,récurrent
La Fève,lafeve,11,143,0.07692307692307693,récurrent
La Rumeur,ekoue,53,127,0.41732283464566927,répertoire
La Rumeur,hame,44,127,0.3464566929133858,récurrent
La Rumeur,philippe,23,127,0.18110236220472442,récurrent
La Rumeur,lebavar,22,127,0.1732283464566929,récurrent
La Rumeur,mourad,20,127,0.15748031496062992,récurrent
Lacraps,lacraps,42,124,0.3387096774193548,récurrent
Lacrim,lacrim,62,216,0.28703703703703703,récurrent
Lacrim,tag,20,216,0.09259259259259259,récurrent
Lady Laistee,ladylaistee,14,53,0.2641509433962264,récurrent
Lady Laistee,scratches,4,53,0.07547169811320754,récurrent
Lala &ce,ce,17,66,0.25757575757575757,récurrent
Lala &ce,lala,17,66,0.25757575757575757,récurrent
Lala &ce,puccijr,4,66,0.06060606060606061,récurrent
Landy,landy,16,67,0.23880597014925373,récurrent
Landy,tag,5,67,0.07462686567164178,récurrent
Lartiste,lartiste,33,132,0.25,récurrent
Laylow,laylow,19,83,0.2289156626506024,récurrent
Laylow,dialogue,9,83,0.10843373493975904,récurrent
Laylow,trinity,6,83,0.07228915662650602,récurrent
Laylow,wit,5,83,0.060240963855421686,récurrent
Le 3ème Œil,bossone,25,43,0.5813953488372093,répertoire
Le 3ème Œil,jopopo,13,43,0.3023255813953488,récurrent
Le 3ème Œil,mombi,9,43,0.20930232558139536,récurrent
Le 3ème Œil,x2,4,43,0.09302325581395349,récurrent
Le Juiice,lejuiice,7,36,0.19444444444444445,récurrent
Le Juiice,tag,4,36,0.1111111111111111,récurrent
Le Klub des 7,cyanure,9,33,0.2727272727272727,récurrent
Le Klub des 7,fuzati,9,33,0.2727272727272727,récurrent
Le Klub des 7,gerardbaste,9,33,0.2727272727272727,récurrent
Le Klub des 7,lejouage,8,33,0.24242424242424243,récurrent
Le Klub des 7,jamesdelleck,7,33,0.21212121212121213,récurrent
Le Klub des 7,fredyk,5,33,0.15151515151515152,récurrent
Le Rat Luciano,leratluciano,28,76,0.3684210526315789,récurrent
Leck,leck,15,69,0.21739130434782608,récurrent
Leck,mansly,4,69,0.057971014492753624,récurrent
Lefa,lefa,21,136,0.15441176470588236,récurrent
Les Sages Poètes de la Rue,danydan,79,103,0.7669902912621359,répertoire
Les Sages Poètes de la Rue,melopheelo,79,103,0.7669902912621359,répertoire
Les Sages Poètes de la Rue,zoxea,77,103,0.7475728155339806,répertoire
Les Sages Poètes de la Rue,samples,6,103,0.05825242718446602,récurrent
Lesram,lesram,5,46,0.10869565217391304,récurrent
Leto,leto,27,135,0.2,récurrent
Leto,tag,9,135,0.06666666666666667,récurrent
Limsa d’Aulnay,limsa,8,51,0.1568627450980392,récurrent
Lino,lino,18,58,0.3103448275862069,récurrent
Lino,tkilla,5,58,0.08620689655172414,récurrent
Lomepal,lomepal,24,109,0.22018348623853212,récurrent
Lomepal,romeoelvis,6,109,0.05504587155963303,récurrent
Lonepsi,lonepsi,7,112,0.0625,récurrent
Lord Esperanza,lordesperanza,34,160,0.2125,récurrent
Lorenzo,lorenzo,31,113,0.2743362831858407,récurrent
Lucio Bukowski,luciobukowski,45,260,0.17307692307692307,récurrent
Luidji,luidji,13,86,0.1511627906976744,récurrent
Lujipeka,lujipeka,21,88,0.23863636363636365,récurrent
Lunatic,booba,56,57,0.9824561403508771,répertoire
Lunatic,ali,48,57,0.8421052631578947,répertoire
Lunatic,zoxea,5,57,0.08771929824561403,récurrent
Luni Sacks,lunisacks,14,42,0.3333333333333333,récurrent
Luni Sacks,majdonco,9,42,0.21428571428571427,récurrent
Luv Resval,luvresval,27,169,0.15976331360946747,récurrent
Luv Resval,savagetoddy,12,169,0.07100591715976332,récurrent
Lycos,lycos,14,78,0.1794871794871795,récurrent
L’Algérino,lalgerino,33,122,0.27049180327868855,récurrent
L’Animalerie,luciobukowski,11,23,0.4782608695652174,répertoire
L’Animalerie,missak,10,23,0.43478260869565216,répertoire
L’Animalerie,antonserra,8,23,0.34782608695652173,récurrent
L’Animalerie,kalams,8,23,0.34782608695652173,récurrent
