artist,mots_gardes,mots_retires,titres,nettoye,part_retiree
Shtar Academy,8404,8158,28,True,0.49257336070522884
L.I.O. Petrodollars,9980,5328,26,True,0.3480533054611968
Mani Deïz,11852,6103,32,True,0.33990531885268727
L’Animalerie,16878,8640,23,True,0.3385845285680696
Manu Key,25038,11597,61,True,0.31655520676948273
Princess Aniès,10791,4961,20,True,0.3149441340782123
Alibi Montana,23205,9767,49,True,0.29622103603057137
Alkpote,110647,41986,237,True,0.2750781285829408
Mister You,81531,30184,167,True,0.27018753077026364
Mister V,29320,9915,80,True,0.25270804128966484
Lomepal,57890,19464,109,True,0.2516224112521654
Dika,15002,4933,33,True,0.2474542262352646
Zesau,22295,7180,56,True,0.24359626802374895
Cuizinier,12368,3912,31,True,0.2402948402948403
Monsieur R,18266,5657,47,True,0.23646699828616813
Doums,12807,3932,34,True,0.23490053169245476
113,42363,12984,81,True,0.2345926608488265
Gazo,16416,5029,36,True,0.23450687806015388
Mafia Trece,16747,5064,31,True,0.23217642473981018
Seth Gueko,91323,27503,209,True,0.23145607863598874
Escobar Macson,13674,4089,34,True,0.23019760175646006
Prince Waly,9837,2907,30,True,0.22810734463276836
Lacraps,54840,16062,124,True,0.22653803841922654
Pit Baccardi,24985,7256,44,True,0.2250550541236314
Grödash,25464,7389,64,True,0.22491096703497399
Kalash l’Afro,11354,3277,19,True,0.22397648827831318
Mystik,44151,12663,82,True,0.22288520435104023
McFly & Carlito,10794,3051,37,True,0.22036836403033586
Nahir,37386,10495,80,True,0.21918923999081055
Mokobé,13248,3689,35,True,0.21780716773926906
Soolking,26499,7294,81,True,0.21584351788832007
Gambino La MG,21808,6000,54,True,0.21576524741081704
Alpha 5.20,44408,12170,116,True,0.21510127611439075
Lino,35433,9668,58,True,0.21436331788652135
Canardo,41841,11328,110,True,0.21305648027986232
Unité 2 Feu,29332,7878,47,True,0.21171728030099435
Rim’K,58556,15711,135,True,0.21154752447251135
Kery James,91565,24506,155,True,0.21112939493930438
S.Pri Noir,41513,11053,103,True,0.2102689951679793
Dany Dan,30411,8075,74,True,0.2098165566699579
Intouchable,21731,5571,32,True,0.20405098527580398
Neg’ Marrons,40784,10414,72,True,0.20340638306183836
