artist,titres,titres_ecartes,mots_avant,mots_apres,part_ecartee,sort_du_test
Shtar Academy,28,25,16420,381,0.9767965895249695,True
L’Animalerie,23,17,25371,4082,0.8391076425840527,True
Manu Key,61,35,34570,11152,0.6774081573618744,True
Princess Aniès,20,13,13720,4653,0.6608600583090378,True
Beat de Boul,18,9,15476,6064,0.6081674851382786,True
113,81,47,49600,19809,0.600625,False
Mokobé,35,17,16105,6856,0.574293697609438,True
Intouchable,32,17,25762,11274,0.5623786973061098,True
High Five Crew,26,12,17143,7611,0.5560286997608352,True
L.I.O. Petrodollars,26,11,15037,6866,0.5433929640220789,True
Mafia Trece,31,16,21671,10090,0.5344008121452632,True
Ärsenik (Group),37,19,28190,13201,0.5317133735367152,False
Alibi Montana,49,24,28515,13520,0.525863580571629,False
Mister You,167,76,109070,52081,0.5224993123682039,False
Gims,202,88,108752,52490,0.5173422097984405,False
Prince Waly,30,14,12774,6182,0.516048222952873,True
Unité 2 Feu,47,24,36985,17901,0.5159929701230228,False
Mystik,82,38,52061,25257,0.5148575709264133,False
Bisso Na Bisso,23,13,14178,6884,0.5144590210184794,True
Lady Laistee,53,26,27463,13425,0.5111604704511525,False
McFly & Carlito,37,14,13796,6750,0.5107277471730937,True
Joey Starr,30,14,13573,6692,0.5069623517276947,True
Alkpote,237,109,150553,75306,0.49980405571459885,False
Cuizinier,31,15,16246,8169,0.4971685337929337,True
Alpha 5.20,116,48,51684,26020,0.49655599411810236,False
Dany Dan,74,34,37476,19003,0.49292880777030634,False
Rim’K,135,60,70926,36671,0.48296816400191744,False
Nekfeu,137,43,108915,56320,0.4828995087912592,False
S-Crew,83,25,79701,41272,0.482164590155707,False
Kery James,155,74,111215,57635,0.48176954547498085,False
Neg’ Marrons,72,32,48968,25406,0.4811713772259435,False
Zesau,56,23,29256,15246,0.478876127973749,False
S.Pri Noir,103,44,51673,27518,0.4674588276275812,False
Mani Deïz,32,13,17847,9525,0.4662968566145571,True
Lomepal,109,28,75579,40586,0.46299898119848104,False
Sexion d’Assaut,208,90,195014,104880,0.46219245797737596,False
Sat l’Artificier,55,24,40944,22030,0.46194802657288003,False
Noyau Dur,14,6,12229,6625,0.4582549676997302,True
Seth Gueko,209,83,116429,63599,0.45375293097080627,False
Mister V,80,31,38736,21235,0.45180194134655105,False
Zoxea,47,19,26570,14706,0.4465186300338728,False
Gringe,27,8,18104,10069,0.44382456915598767,True
TLF,63,28,38368,21458,0.44073185988323604,False
Dadoo,22,9,13019,7287,0.44027959136646444,True
Doums,34,13,16452,9211,0.4401288597131048,True
Jok’Air,128,51,76872,43055,0.4399131022999272,False
Monsieur R,47,16,23135,13166,0.43090555435487354,False
Pit Baccardi,44,18,28539,16374,0.42625880374224745,False
Grödash,64,26,31939,18341,0.4257490841917405,False
Lino,58,25,44083,25339,0.4251979221014903,False
Canardo,110,39,52660,30327,0.424097987086973,False
Busta Flex,127,46,71370,41155,0.4233571528653496,False
Dika,33,12,19921,11503,0.4225691481351338,True
Shurik’n,66,25,36335,21075,0.4199807348286776,False
Mafia K’1 Fry,42,17,36985,21532,0.41781803433824527,False
Lacraps,124,48,70588,41208,0.4162180540601802,False
Kalash l’Afro,19,8,13356,7830,0.41374663072776285,True
Thabiti,34,14,15524,9214,0.40646740530791037,True
Kalash,95,31,38537,23014,0.40280769130965044,False
Dry,64,24,39379,23661,0.39914675334569183,False
Sam’s,103,39,60262,36260,0.39829411569479933,False
Dandyguel,70,22,34848,21009,0.397124655647383,False
Wallen,49,15,17493,10611,0.3934145086606071,True
Ol’ Kainry,166,59,95279,57851,0.3928252815415779,False
Flynt,49,15,31352,19046,0.39251084460321506,False
Alpha Wann,74,27,44282,26919,0.3921006277945892,False
Daddy Lord C,20,7,13955,8543,0.38781798638480836,True
Bigflo & Oli,119,39,105966,64903,0.38751108846233695,False
Saké (FRA),30,10,18039,11055,0.38716115083984703,True
Nakk Mendosa,102,36,67731,41570,0.38624854202654624,False
Ideal J,30,13,26372,16323,0.3810480812983468,False
Zek,58,22,32347,20102,0.3785513339722385,False
La Cliqua,27,10,20374,12676,0.37783449494453714,False
Stomy Bugsy,34,11,22095,13811,0.37492645394885715,False
Davodka,102,36,66648,41739,0.37373964710118834,False
Black M,121,40,72261,45355,0.37234469492534006,False
Booba,238,77,115917,72910,0.37101546796414675,False
Soprano,179,54,90696,57221,0.36909014730528356,False
Swift Guad,252,85,152412,96405,0.36747106527045115,False
Gazo,36,11,20891,13235,0.36647360107223204,False
Tunisiano,50,18,31240,19799,0.36622919334186943,False
Sinik,202,71,136791,86766,0.3657038840274579,False
Barack,71,25,35553,22559,0.3654825190560571,False
X-Men,38,13,25678,16321,0.36439753874912373,False
Le 3ème Œil,49,15,29411,18694,0.3643874740743259,False
Escobar Macson,34,13,17551,11162,0.364024841889351,True
4Keus,59,20,35841,22866,0.36201556876203234,False
Faf Larage,46,16,32405,20681,0.36179601913284987,False
L’Skadrille,40,15,29621,18909,0.3616353262887816,False
Graya,39,11,18845,12043,0.36094454762536476,False
H Magnum,87,29,45585,29134,0.36088625644400574,False
Suprême NTM,63,21,35309,22666,0.3580673482681469,False
R.E.D.K.,65,19,41730,26830,0.35705727294512346,False
Laylow,84,24,41141,26452,0.3570404219634914,False
Serane,80,25,30681,19761,0.35592060232717315,False
L’Algérino,122,41,61478,39601,0.3558508734831972,False
Ateyaba,135,37,56277,36251,0.3558469712315866,False
Médine,173,52,108754,70323,0.3533755080272909,False
Niska,108,35,59278,38420,0.35186747191200785,False
Kool Shen,47,14,28909,18757,0.35117091563181013,False
Despo Rutti,117,34,79632,51726,0.3504370102471368,False
Assassin (FRA),61,21,38045,24740,0.34971743987383364,False
Chiens de Paille,52,19,36316,23631,0.3492950765502809,False
Dosseh,171,54,104276,67854,0.34928459089339825,False
Sofiane,149,43,86582,56351,0.34916033355662834,False
Tiakola,24,8,14042,9168,0.347101552485401,True
Soolking,81,23,33131,21652,0.34647309166641516,False
SDM,54,18,31158,20412,0.34488734835355284,False
Rockin’ Squat,120,40,65301,42789,0.34474204070381775,False
Alonzo,171,52,90022,58988,0.34473795294483567,False
Hocus Pocus,54,19,26844,17590,0.34473252868424975,False
Le Rat Luciano,76,17,34902,22899,0.34390579336427707,False
Rocca,65,21,41494,27251,0.34325444642598935,False
Sultan,107,35,63087,41461,0.3427964556881766,False
La Fouine,315,99,197309,129734,0.34248311024839206,False
BraSco (FRA),31,11,18219,11982,0.34233492507821506,True
Lorenzo,113,32,33292,21906,0.3420040850654812,False
Les Sages Poètes de la Rue,103,31,66900,44092,0.34092675635276537,False
Deen Burbigo,83,24,51511,33979,0.3403544873910427,False
Népal,53,13,26098,17219,0.34021764119855924,False
Casseurs Flowters,48,15,33156,21904,0.3393654240559778,False
Joe Lucazz,53,15,26425,17502,0.3376726584673605,False
Zuukou Mayzie,75,20,27034,17916,0.3372789820226382,False
Fabe,76,23,48153,31975,0.33597075986958236,False
K-Reen,33,10,15138,10074,0.33452239397542605,True
Butter Bullets,103,31,43072,28690,0.33390601783060925,False
Stupeflip,156,41,50384,33564,0.33383613845665294,False
Lord Esperanza,160,43,81707,54550,0.3323705435274823,False
Akhenaton,163,51,106250,71211,0.3297788235294118,False
Fonky Family,69,20,57557,38616,0.32908247476414687,False
Octobre Rouge,60,19,39513,26596,0.3269050692177258,False
Fababy,102,30,62886,42389,0.3259390007314824,False
Freeze Corleone,153,44,78593,53252,0.3224332955861209,False
ASHE 22,83,25,37872,25726,0.3207118715673849,False
The Shin Sekaï,53,17,34765,23641,0.3199769883503524,False
Sniper,92,30,76722,52174,0.31996037642397224,False
Rimkus,25,7,16462,11205,0.31934151378933306,True
Abou Debeing,68,19,34600,23583,0.3184104046242775,False
Lacrim,216,64,125513,85843,0.31606287794889776,False
Nemir,51,13,20333,13947,0.3140707224708602,False
Jazzy Bazz,64,19,31754,21801,0.3134408263525855,False
La Caution,57,17,36058,24822,0.3116090742692329,False
JeanJass,43,11,18982,13111,0.3092930144347277,False
Ministère A.M.E.R.,25,8,15848,10967,0.3079883897021706,True
Triptik,42,13,23834,16506,0.3074599311907359,False
Nahir,80,24,47747,33144,0.3058412046830168,False
Gradur,103,31,57381,39941,0.3039333577316533,False
Still Fresh,98,25,47506,33079,0.3036879552056583,False
Roméo Elvis,88,20,49044,34161,0.3034621972106679,False
S-Pion,44,12,18182,12699,0.30156198438015624,False
Aketo,36,9,19711,13790,0.30039064481761457,False
Fayçal,62,15,33037,23133,0.2997850894451676,False
Doc Gynéco,62,15,24834,17396,0.29950873802045586,False
Demi Portion,182,47,94845,66521,0.2986346143708155,False
Georgio,178,46,112600,79098,0.29753108348134993,False
Hugo TSR,75,18,48527,34171,0.2958353081789519,False
Scred Connexion,66,18,45965,32369,0.2957902752093985,False
Youssoupha,161,39,93208,65783,0.2942344004806454,False
Gambino La MG,54,13,27799,19695,0.29152127774380376,False
Kamelancien,66,21,39214,27814,0.2907125006375274,False
Rohff,315,81,240348,170613,0.2901417943981227,False
Maska,87,22,46487,33006,0.2899950523802354,False
Disiz,286,69,158869,112961,0.2889676400052874,False
Naza,106,28,49087,34979,0.287408071383462,False
IAM,273,71,173793,124189,0.2854200111627051,False
Kalash Criminel,85,19,46387,33186,0.28458404294306594,False
Don Choa,39,10,25385,18176,0.28398660626354144,False
Salif,100,26,65194,46844,0.2814676197196061,False
