year,pageviews_mean,pageviews_median,pageviews_std,contributors_mean,contributors_median,contributors_std,ranking_mean,ranking_median,ranking_std,n_je_mean,n_je_median,n_je_std,n_profanity_mean,n_profanity_median,n_profanity_std,n_verlan_mean,n_verlan_median,n_verlan_std,n_french_words_mean,n_french_words_median,n_french_words_std,means_word_length_mean,means_word_length_median,means_word_length_std,n_unique_words_mean,n_unique_words_median,n_unique_words_std,n_words_mean,n_words_median,n_words_std,pageviews_corrected_mean,pageviews_corrected_median,pageviews_corrected_std,n_non_french_words_mean,n_non_french_words_median,n_non_french_words_std,n_argot_mean,n_argot_median,n_argot_std,n_onomatopee_mean,n_onomatopee_median,n_onomatopee_std,n_negative_mean,n_negative_median,n_negative_std,n_positive_mean,n_positive_median,n_positive_std,birthdate_artist_mean,birthdate_artist_median,birthdate_artist_std,age_artist_mean,age_artist_median,age_artist_std,pageview_mean_mean,pageview_mean_median,pageview_mean_std,pageviews_2_mean,pageviews_2_median,pageviews_2_std,n_sexe_mean,n_sexe_median,n_sexe_std,hate_mean,hate_median,hate_std,sexism_mean,sexism_median,sexism_std,n_lines_mean,n_lines_median,n_lines_std,sentiment2_mean,sentiment2_median,sentiment2_std,born_in_france_mean,born_in_france_median,born_in_france_std
1984,0.0,0.0,,9.0,9.0,,3466.0,3466.0,,20.0,20.0,,1.0,1.0,,5.0,5.0,,773.0,773.0,,3.53751537515375,3.53751537515375,,246.0,246.0,,813.0,813.0,,3.63580487348359,3.63580487348359,,40.0,40.0,,8.0,8.0,,0.0,0.0,,19.0,19.0,,29.0,29.0,,,,,,,,0.0,0.0,,,,,1.0,1.0,,0.217240662410341,0.217240662410341,,0.108526392914783,0.108526392914783,,87.0,87.0,,-0.208669201395977,-0.208669201395977,,,,
1989,0.0,0.0,0.0,4.0,4.0,2.5495097567963922,1771.8,1860.0,1133.0954063978902,15.4,10.0,10.13903348450926,2.2,1.0,2.7748873851023217,3.8,3.0,2.7748873851023217,589.2,589.0,88.47146432607522,4.016307347825726,3.88509316770186,0.3046267084403586,328.8,339.0,79.17512235544699,631.0,637.0,104.61596436490943,3.155484835668,3.155484835668,0.0,41.8,48.0,23.75289456045305,8.0,4.0,9.721111047611789,0.0,0.0,0.0,16.8,12.0,9.833615815151617,18.2,18.0,5.932958789676531,1966.0,1966.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,,,,0.4,0.0,0.5477225575051661,0.2994346911165926,0.29087668105408,0.07636985018019254,0.180841700633554,0.145438290713878,0.08885082434112417,78.8,81.0,10.059821071967432,-0.08108022069468841,-0.0790475050085469,0.1934149825273416,0.857142857142857,0.857142857142857,0.0
1990,2157.222222222222,0.0,6470.905424014166,5.666666666666667,4.5,4.270280332442714,1755.764705882353,1204.0,1721.7773349584058,15.333333333333334,12.0,10.906015609313432,0.7222222222222222,1.0,0.8264420947336312,3.9444444444444446,2.0,4.358524065110091,620.1666666666666,644.5,138.05337842341143,4.023618863251557,4.05408653846154,0.2596704505449505,293.3333333333333,281.0,56.77095363361961,636.3333333333334,664.0,137.36897500570367,3.9166758084748454,3.07853140546637,2.4407423834141855,16.166666666666668,9.0,12.334790586934558,4.555555555555555,4.0,3.791976393296807,0.5555555555555556,0.0,0.7838233761296739,21.833333333333332,19.5,11.673247443721603,26.0,24.0,10.560748636564828,1966.6,1966.0,1.3416407864998674,23.4,24.0,1.3416407864998738,1.09393268482812,1.09393268482812,0.0,1.083957790424006,0.0,3.1558517437885705,1.1666666666666667,1.0,1.504893977113651,0.23769958324146837,0.2361985401213785,0.04358655825667513,0.13019506672854947,0.1329056442239565,0.05500397013900175,76.11111111111111,80.0,13.637702449627474,-0.08073117248743687,-0.1310556238173945,0.1699376598556248,0.4285714285714285,0.4285714285714285,0.6060915267313264
1991,2640.4745762711864,0.0,13892.044621685256,6.440677966101695,5.0,5.837663640003292,2321.6444444444446,2112.0,1624.399933339799,10.033898305084746,8.0,8.70981630451787,1.11864406779661,0.0,1.9216080349783906,2.305084745762712,1.0,2.9667946088859978,436.93220338983053,454.0,256.9281305927573,4.096340396679788,4.141838570400575,0.3416871462479129,233.15254237288136,236.0,129.61305989424457,459.6779661016949,473.0,266.44546836000984,3.534528668400708,3.00925431582708,1.9840948594902232,22.74576271186441,17.0,25.73913779625199,5.1525423728813555,4.0,5.61651984319789,0.3220338983050847,0.0,0.6280972351174039,14.59322033898305,12.0,12.680583370769167,16.11864406779661,14.0,12.795587528469111,1967.0,1966.0,1.4291792020209648,24.0,25.0,1.4291792020209928,0.681339100913374,0.681339100913374,0.0,0.7073508182189786,0.0,2.6600481358227515,0.864406779661017,1.0,1.0078592389170646,0.2566442159700422,0.2507793237079785,0.08606668846553428,0.12436393044428383,0.09987702786922475,0.11153934202342985,52.86440677966102,54.0,30.020945347470573,-0.08763924131881051,-0.0926259843742144,0.2058845662168483,0.5054945054945055,0.857142857142857,0.4271230586682687
1992,312.6296296296296,0.0,1624.471207409877,5.037037037037037,5.0,2.457038265277331,2297.6,2027.0,1584.006339423341,12.481481481481481,11.0,10.415854669206388,1.962962962962963,1.0,2.37748220864461,3.037037037037037,2.0,3.287288823068002,521.8518518518518,561.0,218.92283566866203,4.25425774981424,4.2482103402562945,0.1991746906668608,262.2962962962963,286.0,96.30233434937907,545.2592592592592,565.0,227.52676809428425,3.197822787605371,2.94821334451091,1.2970087124657355,23.40740740740741,18.0,20.396566942011173,5.62962962962963,3.0,7.147609326783263,0.14814814814814814,0.0,0.4560451819471486,15.407407407407407,15.0,9.249778622129535,17.22222222222222,16.0,11.878660029757734,1971.3333333333333,1966.0,9.237604307034045,20.666666666666668,26.0,9.237604307034013,0.33485090838305304,0.334850908383053,0.0,0.37536909735551116,0.0,1.950475044633041,1.2222222222222223,1.0,1.368135545841446,0.26372846912027803,0.249990183763248,0.07626710190174814,0.136415905407167,0.10172872416445505,0.1269106262098983,58.333333333333336,60.0,23.080127982580766,-0.15960772686057506,-0.16936695854100148,0.20354481466904398,0.9714285714285713,1.0,0.06023386019368348
1993,1417.9855072463768,0.0,6143.863683031159,7.521739130434782,6.0,6.363056737810324,2572.3050847457625,2401.0,1562.3130426548842,13.144927536231885,11.0,10.940044308866664,1.2318840579710144,1.0,1.8876138651765673,2.5652173913043477,2.0,2.232634034376839,515.2898550724638,567.0,281.1116117806588,4.144202434227811,4.1,0.266985445891921,265.6231884057971,297.0,131.54568670117837,542.3768115942029,592.0,294.7065390524493,3.4278344988518543,2.89596826927867,1.9265115797611185,27.08695652173913,15.0,25.194384954748983,5.463768115942029,4.0,5.566654159697219,0.6956521739130435,0.0,1.2521081966273448,16.507246376811594,15.0,12.064316840810529,18.768115942028984,20.0,12.080788014247386,1966.2244897959183,1966.0,1.2121830534626417,26.775510204081634,27.0,1.2121830534626528,0.698666683047955,0.698666683047955,0.0,0.7246490561179031,0.0,2.618720201020181,0.8840579710144928,0.0,1.300862065799829,0.2577041282648082,0.256590159434193,0.06839159943546078,0.12044690082525995,0.110435870866622,0.08848598273335467,60.95652173913044,64.0,33.196577952008624,-0.11117712816260358,-0.0988188343743483,0.22256468088791503,0.8727272727272726,0.857142857142857,0.1837559081124571
1994,2284.8571428571427,0.0,6188.7214589256855,8.452380952380953,7.0,5.848503585772952,2479.1612903225805,2522.0,1365.0936743626592,15.857142857142858,11.5,17.919292544522154,1.9047619047619047,1.0,2.5066693849294572,4.785714285714286,4.0,4.075720581423575,536.3809523809524,444.5,331.343308248442,4.257725132467798,4.064019838768536,0.8917201831051259,281.73809523809524,248.5,144.99555241687113,571.0,474.5,352.7228581112179,4.027655877995814,2.85307886789113,2.669550320785264,34.61904761904762,26.0,33.75951709063385,8.928571428571429,6.0,8.113201699196605,0.42857142857142855,0.0,0.7372611524884796,15.833333333333334,12.5,12.645092881578211,20.404761904761905,17.0,15.449460522287916,1968.7391304347825,1969.0,1.6574183458386582,25.26086956521739,25.0,1.6574183458386507,1.55818764172441,1.55818764172441,0.0,1.4842766073752136,0.0,3.368121039395233,1.4285714285714286,0.5,1.796240751190367,0.3125165598795559,0.308895800927398,0.08786819726064204,0.22529659273623462,0.2043285078970365,0.14290376550010322,60.642857142857146,55.0,38.417362327767854,-0.17289799768311265,-0.165831068637727,0.16097374081674842,0.2971428571428571,0.0,0.444007721940573
1995,2002.5977653631285,0.0,5957.281982902538,7.106145251396648,5.0,5.978887593456493,1983.549668874172,1477.0,1621.4066842867924,17.39664804469274,15.0,13.529169067890548,2.122905027932961,1.0,3.364801352623217,4.927374301675978,4.0,5.259585078863902,532.2849162011173,553.0,228.98030518902553,4.038595151264541,3.98434004474273,0.48560873507481006,259.5977653631285,267.0,99.66266245246095,563.8100558659218,579.0,240.25224971645332,3.938356861858038,2.82010491810908,2.5624473584343237,31.52513966480447,24.0,25.123809924468727,8.145251396648044,6.0,7.19402977494094,0.5698324022346368,0.0,1.441513512842749,19.558659217877096,18.0,13.059099474737156,18.793296089385475,18.0,11.005451140462027,1970.2,1969.0,3.6735865438611284,24.8,26.0,3.6735865438612,1.49112531143712,1.49112531143712,0.0,1.4264061577702183,0.0,3.262659266382274,1.100558659217877,0.0,2.5353566601193758,0.2765427286218348,0.269385362907154,0.0710108521792943,0.18663578218324398,0.16878918144438,0.11269520131051887,62.14525139664804,66.0,25.9645635200124,-0.16811055920142326,-0.168909978298914,0.18738905279828585,0.8857142857142857,1.0,0.31561080645489964
1996,6882.2235294117645,0.0,18181.59004740292,8.494117647058824,4.0,9.533928797685022,2583.2285714285713,2269.5,1585.4528194336485,19.91764705882353,18.0,14.97713476691488,2.6,1.0,3.6683978597124467,6.0,5.0,5.7175585865364065,558.5294117647059,520.0,238.9779123204293,3.95373432786822,3.94765342960289,0.29559824126213197,272.1764705882353,265.0,94.25158536882982,599.0117647058823,560.0,252.96694185104062,4.507307667479114,2.79760619769333,3.2334975272113318,40.48235294117647,33.0,30.761994085430235,10.047058823529412,8.0,7.252102950102098,0.9176470588235294,0.0,2.0482964158741557,19.541176470588237,15.0,14.836853200229289,19.41176470588235,16.0,13.691580761676187,1973.7083333333333,1974.0,1.6010639578422454,22.291666666666668,22.0,1.6010639578422383,2.2242599647162,2.2242599647162,0.0,2.0455837734246676,0.0,3.858665353176853,1.4470588235294117,1.0,2.5843203138531097,0.306906009294931,0.299956602425628,0.06840055469252745,0.23488532038012766,0.218982902159091,0.132972927283664,64.30588235294118,62.0,26.546465789976168,-0.1612420657421245,-0.151716181887916,0.21055287495536487,0.9375,1.0,0.24462302739504083
1997,8176.3298429319375,0.0,31536.335658229636,8.712041884816754,5.0,12.73890896420241,2144.577639751553,2148.0,1513.9849802745382,18.56544502617801,16.0,15.34942686006511,2.4973821989528795,1.0,3.298922225195978,6.005235602094241,5.0,5.865597633838705,582.4397905759163,577.0,277.0667320111246,4.013571088364396,3.9980004772130746,0.30923095149223834,299.0785340314136,296.0,121.60059344534747,630.5497382198953,635.0,290.32817436287235,4.246135509056266,2.78614248440465,3.0722560031563066,48.109947643979055,33.0,60.533013658902064,10.858638743455497,9.0,8.65939807257601,0.6178010471204188,0.0,1.8225191883182934,21.916230366492147,20.0,15.056500552019639,19.534031413612567,16.0,11.935689250005307,1970.7857142857142,1969.0,3.805738940237405,26.214285714285715,28.0,3.805738940237395,1.89387309540964,1.89387309540964,0.0,1.7735156056354358,0.0,3.718436901586152,1.2827225130890052,1.0,1.870453061205949,0.30447818052048087,0.300266279913913,0.06933252633292764,0.2270204663661434,0.23015690694994,0.10596572241738669,66.54973821989529,68.0,29.576953820492253,-0.20718337882109172,-0.208140283238654,0.1791439696423999,0.6653061224489795,0.857142857142857,0.44599586565081345
