artiste,distance_naive,n_tokens_corpus,rang_naif,distance_controlee,rang_controle,ecart_de_rang
ISK,0.043168054481009355,44303,1,0.8090636150826205,1,0
Niro,0.04612823808167277,108704,2,0.8922519576282348,25,23
Sadek,0.049065389824510364,85973,3,0.923578973693973,66,63
Zkr,0.04907413785507764,65215,4,0.8362615826423142,5,1
Ninho,0.05026844275782094,69505,5,0.8814366292591232,21,16
PLK,0.05078327487236467,75621,6,0.9170089117504844,60,54
Sofiane,0.050988971645156145,54535,7,0.9161568474373499,58,51
Deen Burbigo,0.05233660038175181,33826,8,0.9063672715680358,46,38
SCH,0.05242417468621818,59388,9,0.8462814615055598,9,0
GLK,0.05259368518878149,46269,10,0.8809149233889129,20,10
Beeby,0.05306281872717855,56357,11,0.9669416562692246,122,111
S.Pri Noir,0.054445754101747124,26396,12,0.976815423126963,131,119
Nahir,0.05455551490474675,33087,13,0.8709630731088496,19,6
Lacrim,0.054568344546081615,82576,14,0.9089826734710891,50,36
S-Crew,0.05483043184897585,41034,15,0.9844168604640865,138,123
Guizmo,0.055500806413034676,133444,16,0.9037850560870513,41,25
Vin’s,0.055671180705362366,38491,17,1.023810967686469,184,167
Vald,0.056743299944615355,108243,18,0.9371999203104445,86,68
Bekar,0.05690526132725027,39610,19,0.9278482770833475,71,52
Mister You,0.05706060404242219,39708,20,0.9066771645248564,47,27
JuL,0.057332664981075476,441816,21,0.9130814003755208,55,34
Jarod,0.05746265816893392,85651,22,0.9505601689925873,101,79
Hugo TSR,0.05754650766121561,33252,23,0.9255862382704674,67,44
​DA Uzi,0.05802376780246643,59304,24,0.8640458585743673,15,-9
Hornet La Frappe,0.05849744395480683,46370,25,0.861844632057525,14,-11
La Fouine,0.058893784423058815,118506,26,1.0027487441677685,162,136
Niaks,0.059820984192417326,21273,27,0.9034318548418891,40,13
Worms-T,0.05997800785854335,13524,28,0.8580771358562754,12,-16
13 Block,0.06033650158247861,46620,29,0.9293020562359597,74,45
Timal,0.060626406659642695,47492,30,0.8965226666637602,33,3
Zikxo,0.06103138365055949,66620,31,0.9340837306470193,83,52
Elh Kmer,0.06126522700471737,30654,32,0.9391233666164198,91,59
YL,0.062119549280368336,61136,33,0.963932922768741,117,84
Ademo,0.06324614730776079,22265,34,0.9182725590382713,61,27
Sexion d’Assaut,0.06331404386219064,92294,35,1.0707166851129786,252,217
Seth Gueko,0.06334818662730757,62169,36,0.9187187837292473,63,27
Sam’s,0.06356419185815287,33327,37,0.9630618472430308,114,77
OrelSan,0.06441828455595089,51886,38,0.9651881864830498,120,82
Nekfeu,0.06453540215850706,53753,39,1.0360634041251784,216,177
Bosh,0.06473317996806716,24513,40,0.8961764491852284,32,-8
Bigflo & Oli,0.06482067857716145,63386,41,1.0305604948721545,198,157
UZI (FRA),0.06488373971795802,24964,42,0.8164864503796577,2,-40
Alonzo,0.06524807118713838,58306,43,0.9834674960229629,135,92
Lacraps,0.06542309944454316,38525,44,1.0267879227106071,190,146
Sopico,0.06581049955062057,45975,45,0.9080900496559071,48,3
F430,0.06603212452086482,24076,46,0.8871474530373049,22,-24
Panama Bende,0.06625071051121578,21113,47,0.9471078191657694,97,50
Landy,0.0662927896349611,23196,48,0.9004587916388425,37,-11
TSR Crew,0.0663437929495716,38733,49,1.054364199733193,235,186
Souffrance,0.06648964442508787,22702,50,0.9329163311292987,80,30
Swift Guad,0.06660833480502515,94899,51,1.024456890996486,185,134
4Keus,0.0667146362494816,22814,52,0.9184517493304644,62,10
Djadja & Dinaz,0.06684077959205537,82209,53,0.8671042320765394,16,-37
Jeff Le Nerf,0.06715884300282815,21146,54,0.9582387542136234,108,54
Svinkels,0.06775583671343455,52491,55,0.9063606511865833,45,-10
Maes,0.06782712131901603,43767,56,0.8196439696840975,3,-53
Werenoi,0.06795268139318589,20080,57,0.8382387010782795,7,-50
Lujipeka,0.0682844972773784,28311,58,1.0100880483071817,169,111
Dosseh,0.06859600882076922,66926,59,0.949580782691061,100,41
Népal,0.06865821286697571,16510,60,0.9488326296453538,99,39
Beendo Z,0.06895407099909068,27872,61,0.8364369291617382,6,-55
Lartiste,0.06924047280987966,44737,62,0.9473210918209047,98,36
Lesram,0.06941242047281548,25963,63,0.8450277318383181,8,-55
404Billy,0.06998061216992091,46168,64,1.0061891622640358,168,104
Rohff,0.07031645234165662,156689,65,0.9994609541225143,158,93
Bolémvn,0.07068365668157983,32072,66,0.9682670222780487,126,60
Hayce Lemsi,0.0712911806797395,110346,67,0.966615897104414,121,54
Elams,0.07186353957836145,51413,68,0.9590159549823642,109,41
Booba,0.072248260313726,69185,69,0.999395399036781,156,87
Younès,0.07229121752680356,23454,70,1.0716358339700753,255,185
Zesau,0.07251301334471716,15212,71,0.9281568879973876,72,1
Niska,0.0725885898655283,37863,72,0.9119540329888411,53,-19
Sniper,0.07286890921461842,50797,73,1.0615231502581612,244,171
Gérard Baste,0.0728983898783957,25658,74,0.9565208435660282,105,31
Yaro,0.07290726396495961,28381,75,0.9261951029691595,68,-7
Kaaris,0.0730398476313282,85039,76,0.9596125777640628,111,35
Disiz,0.07327713134129821,106690,77,1.0415045826835652,224,147
Georgio,0.07358027904983555,77478,78,1.1355305578375665,318,240
Denzo,0.0735999415483849,16399,79,0.9269657127375943,69,-10
Dibson,0.07405721797519593,30786,80,1.020250661328719,182,102
