rep,artiste,A_naive,B_taille_controlee,C_protocole
0,13 Block,123,49,1
0,3010,1,1,1
0,404Billy,19,1,1
0,A2H,2,1,1
0,Akhenaton,2,1,2
0,Aladin 135,1,1,1
0,Alkpote,1,1,1
0,Alonzo,18,1,1
0,Beeby,14,1,1
0,Bekar,20,2,1
0,Bigflo & Oli,37,2,1
0,Black M,11,1,1
0,Booba,2,1,1
0,Busta Flex,31,2,1
0,D. Ace,87,17,1
0,DTF,1,1,1
0,Dadju,2,1,1
0,Damso,1,1,1
0,Davodka,1,1,1
0,Demi Portion,7,1,1
0,Despo Rutti,4,1,1
0,Diam’s,5,2,1
0,Dinos,11,1,1
0,Disiz,16,1,1
0,Djadja & Dinaz,2,1,1
0,Dooz Kawa,1,1,1
0,Dosseh,37,5,1
0,Elams,16,1,1
0,Freeze Corleone,1,1,1
0,Furax Barbarossa,1,1,1
0,GLK,6,1,1
0,Georgio,4,1,1
0,Gims,22,2,5
0,Gradur,33,1,1
0,Grand Corps Malade,3,2,1
0,Grems,7,1,1
0,Guizmo,1,1,1
0,Hamza,1,1,1
0,Hatik,6,1,1
0,Hayce Lemsi,1,1,1
0,Hooss,1,1,1
0,Hornet La Frappe,38,3,1
0,IAM,2,2,2
0,ISK,1,1,1
0,Jarod,15,1,1
0,Jok’Air,102,24,1
0,Jorrdee,11,1,1
0,Josman,1,1,1
0,JuL,1,1,1
0,KIK,38,6,1
0,Kaaris,6,1,1
0,Kamikaz,1,1,1
0,Kekra,106,25,1
0,Keny Arkana,2,1,1
0,Kery James,12,1,1
0,Koba LaD,1,1,1
0,Kofs,1,1,1
0,Krisy,1,1,1
0,La Fouine,57,9,3
0,La Fève,1,1,1
0,La Rumeur,1,1,1
0,Lacraps,1,1,1
0,Lacrim,2,1,1
0,Lartiste,31,1,2
0,Lefa,26,3,1
0,Les Sages Poètes de la Rue,1,1,1
0,Leto,9,3,1
0,Lomepal,1,1,1
0,Lonepsi,1,1,1
0,Lord Esperanza,1,1,1
0,Lucio Bukowski,1,1,1
0,Luv Resval,1,1,1
0,MC Solaar,1,1,1
0,MZ,11,1,1
0,Mac Tyer,33,5,1
0,Maes,1,1,1
0,Mister You,1,1,1
0,Moha La Squale,1,1,1
0,Mysa,4,1,1
0,Médine,5,1,1
0,Naps,1,1,1
0,Nekfeu,66,16,5
0,Nessbeal,1,1,1
0,Ninho,5,1,1
0,Niro,2,1,1
0,Niska,71,13,1
0,Ol’ Kainry,30,2,1
0,OrelSan,3,1,1
0,Oxmo Puccino,18,1,1
0,PLK,4,1,1
0,Psy 4 de la Rime,17,1,1
0,RK,12,1,1
0,Retro X,1,1,1
0,Ridsa,8,1,1
0,Rim’K,1,1,1
0,Rochdi,1,1,1
0,Rockin’ Squat,1,1,1
0,Rohff,13,1,2
0,Roshi,1,1,1
0,S-Crew,27,1,3
0,SCH,1,1,1
0,Sadek,39,2,1
0,Salif,36,4,1
0,Scylla,1,1,1
0,Seth Gueko,2,1,1
0,Sexion d’Assaut,29,3,1
0,Sinik,1,1,1
0,Sneazzy,1,1,1
0,Sniper,27,2,13
0,So La Lune,1,1,1
0,Sofiane,12,1,1
0,Sopico,1,1,1
0,Soprano,2,1,1
0,Suzuya,1,1,1
0,Svinkels,12,2,1
0,Swift Guad,2,1,1
0,TSR Crew,5,1,1
0,TiTo Prince,3,1,1
0,Timal,2,1,1
0,VII,1,1,1
0,Vald,106,20,1
0,Vin’s,4,1,1
0,YL,1,1,1
0,Youssoupha,16,2,1
0,Youv Dee,1,1,1
0,Zamdane,1,1,1
0,Zikxo,2,1,1
0,Zkr,1,1,1
0,​DA Uzi,1,1,1
1,13 Block,167,80,1
1,3010,14,2,1
1,404Billy,6,1,1
1,A2H,29,2,1
1,Akhenaton,4,1,2
1,Aladin 135,1,1,1
1,Alkpote,1,1,1
1,Alonzo,20,1,1
1,Beeby,18,1,1
1,Bekar,3,1,1
1,Bigflo & Oli,50,7,3
1,Black M,19,2,1
1,Booba,3,1,1
1,Busta Flex,69,11,1
1,D. Ace,46,8,1
1,DTF,2,1,1
1,Dadju,11,1,1
1,Damso,4,1,1
1,Davodka,1,1,1
1,Demi Portion,2,1,1
1,Despo Rutti,2,1,1
1,Diam’s,100,33,1
1,Dinos,46,5,1
1,Disiz,138,45,1
1,Djadja & Dinaz,11,1,1
1,Dooz Kawa,1,1,1
1,Dosseh,1,1,1
1,Elams,23,1,1
1,Freeze Corleone,1,1,1
1,Furax Barbarossa,1,1,1
1,GLK,5,1,1
1,Georgio,11,1,1
1,Gims,47,2,5
1,Gradur,1,1,1
1,Grand Corps Malade,1,1,1
1,Grems,31,1,1
1,Guizmo,1,1,1
1,Hamza,3,1,1
1,Hatik,3,1,1
1,Hayce Lemsi,1,1,1
1,Hooss,2,1,1
1,Hornet La Frappe,18,1,1
1,IAM,4,2,2
1,ISK,4,1,1
1,Jarod,8,1,1
1,Jok’Air,24,2,1
1,Jorrdee,5,1,1
1,Josman,4,1,1
1,JuL,1,1,1
1,KIK,3,1,1
1,Kaaris,19,1,1
1,Kamikaz,1,1,1
1,Kekra,97,17,1
1,Keny Arkana,8,1,1
1,Kery James,37,11,6
1,Koba LaD,1,1,1
1,Kofs,3,1,1
1,Krisy,7,1,1
1,La Fouine,79,15,1
1,La Fève,1,1,1
1,La Rumeur,1,1,1
1,Lacraps,2,1,1
1,Lacrim,2,1,1
1,Lartiste,56,5,1
1,Lefa,17,3,1
1,Les Sages Poètes de la Rue,1,1,1
1,Leto,1,1,1
1,Lomepal,1,1,1
1,Lonepsi,1,1,1
1,Lord Esperanza,1,1,1
1,Lucio Bukowski,1,1,1
1,Luv Resval,1,1,1
1,MC Solaar,1,1,1
1,MZ,3,1,1
1,Mac Tyer,5,1,1
1,Maes,1,1,1
1,Mister You,3,1,1
1,Moha La Squale,1,1,1
1,Mysa,4,1,1
1,Médine,1,1,2
1,Naps,1,1,1
1,Nekfeu,19,2,1
