rep,features,metric,rang,artiste,distance
0,mfw,cosine_delta,1,Soso Maness,0.7502400856700369
0,mfw,cosine_delta,2,Hatik,0.7730713619862701
0,mfw,cosine_delta,3,Maes,0.7824767997410028
0,mfw,cosine_delta,4,Beendo Z,0.7958714882334014
0,mfw,cosine_delta,5,GLK,0.8007270420281312
0,mfw,cosine_delta,6,ASHE 22,0.803651526861383
0,mfw,cosine_delta,7,Mister You,0.8059479210924232
0,mfw,cosine_delta,8,Fresh laDouille,0.8112704399590414
0,mfw,cosine_delta,9,Lesram,0.8142571963548155
0,mfw,cosine_delta,10,UZI (FRA),0.8154330518711438
0,mfw,cosine_delta,11,Kerchak,0.8197292202778166
0,mfw,cosine_delta,12,Werenoi,0.8215518467937553
0,mfw,cosine_delta,13,So La Lune,0.8231957785010781
0,mfw,cosine_delta,14,Niro,0.8364811723553107
0,mfw,cosine_delta,15,Roshi,0.8418508012549805
0,mfw,cosine_delta,16,Worms-T,0.8442227144076819
0,mfw,cosine_delta,17,Heuss L’enfoiré,0.8442942613586177
0,mfw,cosine_delta,18,Moha La Squale,0.8446568819284869
0,mfw,cosine_delta,19,Ninho,0.8452348902561614
0,mfw,cosine_delta,20,Sefyu,0.8502889792712987
0,mfw,cosine_delta,21,Gambino La MG,0.8510575864087923
0,mfw,cosine_delta,22,Lacrim,0.8563317095197518
0,mfw,cosine_delta,23,Hugo TSR,0.8610876106829796
0,mfw,cosine_delta,24,Kodes,0.8637429834994994
0,mfw,cosine_delta,25,SDM,0.8642601296092223
0,mfw,burrows_delta,1,Hayce Lemsi,0.6901698948434237
0,mfw,burrows_delta,2,Lesram,0.7114048276946916
0,mfw,burrows_delta,3,Panama Bende,0.7134154630374234
0,mfw,burrows_delta,4,Mister You,0.7163885655398807
0,mfw,burrows_delta,5,Zkr,0.7169386916963449
0,mfw,burrows_delta,6,ISK,0.7204816556221704
0,mfw,burrows_delta,7,Guizmo,0.7275762441693605
0,mfw,burrows_delta,8,Lacrim,0.7282432276917645
0,mfw,burrows_delta,9,Seth Gueko,0.7293030097826741
0,mfw,burrows_delta,10,Dibson,0.7299410051359254
0,mfw,burrows_delta,11,Sofiane,0.7309125000647447
0,mfw,burrows_delta,12,Beendo Z,0.7349624422971458
0,mfw,burrows_delta,13,Hatik,0.7358895774687838
0,mfw,burrows_delta,14,Ninho,0.7380889029114392
0,mfw,burrows_delta,15,YL,0.7388648830705077
0,mfw,burrows_delta,16,Deen Burbigo,0.7419088476307755
0,mfw,burrows_delta,17,Zikxo,0.7421244828952764
0,mfw,burrows_delta,18,Mister V,0.7425747509331677
0,mfw,burrows_delta,19,Niro,0.7460948083532859
0,mfw,burrows_delta,20,S.Pri Noir,0.7461426059011167
0,mfw,burrows_delta,21,Alpha Wann,0.7474724511799768
0,mfw,burrows_delta,22,Worms-T,0.7475478427654592
0,mfw,burrows_delta,23,SCH,0.7482690429536801
0,mfw,burrows_delta,24,GLK,0.7487960358900353
0,mfw,burrows_delta,25,S-Crew,0.7506954612259077
0,char,cosine_delta,1,Beendo Z,0.8124414769322867
0,char,cosine_delta,2,Kerchak,0.833957483848965
0,char,cosine_delta,3,GLK,0.8379323781643022
0,char,cosine_delta,4,ASHE 22,0.8385611344056533
0,char,cosine_delta,5,Zkr,0.839662516148765
0,char,cosine_delta,6,Fresh laDouille,0.8455715528942167
0,char,cosine_delta,7,ISK,0.850716496767946
0,char,cosine_delta,8,Worms-T,0.8527628423017277
0,char,cosine_delta,9,Werenoi,0.8552110614858943
0,char,cosine_delta,10,Maes,0.859694319021513
0,char,cosine_delta,11,Bosh,0.8598740473158686
0,char,cosine_delta,12,UZI (FRA),0.8607063523225447
0,char,cosine_delta,13,Diddi Trix,0.8637395392070815
0,char,cosine_delta,14,Heuss L’enfoiré,0.8666914173656702
0,char,cosine_delta,15,SCH,0.8691160659324046
0,char,cosine_delta,16,Zbig,0.8700328434719493
0,char,cosine_delta,17,Hornet La Frappe,0.871618050157219
0,char,cosine_delta,18,Mister You,0.8721636468322539
0,char,cosine_delta,19,Lesram,0.8769147010722171
0,char,cosine_delta,20,Djadja & Dinaz,0.8777353309459364
0,char,cosine_delta,21,Hatik,0.8788678488230154
0,char,cosine_delta,22,Niaks,0.8788688548459545
0,char,cosine_delta,23,Ninho,0.8848440518528801
0,char,cosine_delta,24,Roshi,0.8848723451590709
0,char,cosine_delta,25,SDM,0.8868039801268355
0,char,burrows_delta,1,Panama Bende,0.7725693711645123
0,char,burrows_delta,2,Worms-T,0.7769803639621153
0,char,burrows_delta,3,Lacrim,0.7791447499248912
0,char,burrows_delta,4,S.Pri Noir,0.7938622501667434
0,char,burrows_delta,5,Lesram,0.7940488111428646
0,char,burrows_delta,6,SCH,0.7947159138857163
0,char,burrows_delta,7,Hayce Lemsi,0.7965073299336006
0,char,burrows_delta,8,Dibson,0.8000638103731869
0,char,burrows_delta,9,ISK,0.8001736234528473
0,char,burrows_delta,10,Ninho,0.8015304378483176
0,char,burrows_delta,11,Guizmo,0.8030612953513452
0,char,burrows_delta,12,Zkr,0.8030728422036804
0,char,burrows_delta,13,Deen Burbigo,0.8032693020580379
0,char,burrows_delta,14,Caballero,0.8042206521114296
0,char,burrows_delta,15,Vald,0.8056972168583334
0,char,burrows_delta,16,Ademo,0.8072394641908179
0,char,burrows_delta,17,Mister You,0.8081823509044195
0,char,burrows_delta,18,Nahir,0.8083019501965389
0,char,burrows_delta,19,Zikxo,0.809854345025113
0,char,burrows_delta,20,L’Entourage,0.8105774812929418
0,char,burrows_delta,21,5 Majeur,0.8130018511999542
0,char,burrows_delta,22,YL,0.8130243326620455
0,char,burrows_delta,23,Niaks,0.814639529386677
0,char,burrows_delta,24,Zola,0.8209915117863117
0,char,burrows_delta,25,Vin’s,0.8212080613642792
1,mfw,cosine_delta,1,Werenoi,0.7711917370689096
1,mfw,cosine_delta,2,Beendo Z,0.7818791588994829
1,mfw,cosine_delta,3,GLK,0.7832683641679813
1,mfw,cosine_delta,4,Soso Maness,0.7912047549138452
1,mfw,cosine_delta,5,SCH,0.7981510949452328
1,mfw,cosine_delta,6,Elh Kmer,0.8020941835570775
1,mfw,cosine_delta,7,Fresh laDouille,0.806891790064751
1,mfw,cosine_delta,8,Kerchak,0.8077460599069639
1,mfw,cosine_delta,9,Zola,0.8089421632685828
1,mfw,cosine_delta,10,Nessbeal,0.815652645567192
1,mfw,cosine_delta,11,Mister You,0.820490542665464
1,mfw,cosine_delta,12,Moha La Squale,0.8212606533436733
1,mfw,cosine_delta,13,​DA Uzi,0.8252183093881886
1,mfw,cosine_delta,14,Koba LaD,0.8277082580430339
1,mfw,cosine_delta,15,Zbig,0.830829037844154
1,mfw,cosine_delta,16,Timal,0.8314367174128263
1,mfw,cosine_delta,17,Youri,0.8327387522435337
1,mfw,cosine_delta,18,Lacrim,0.8364968275928595
1,mfw,cosine_delta,19,ISK,0.8392436792917646
1,mfw,cosine_delta,20,Hornet La Frappe,0.8415173622447103
1,mfw,cosine_delta,21,UZI (FRA),0.844852129870085
1,mfw,cosine_delta,22,Sofiane,0.8473845421863291
1,mfw,cosine_delta,23,Landy,0.8492023407815843
1,mfw,cosine_delta,24,Lesram,0.8505794278115286
1,mfw,cosine_delta,25,Djadja & Dinaz,0.8513791736822556
1,mfw,burrows_delta,1,Zkr,0.6951463522383005
1,mfw,burrows_delta,2,Panama Bende,0.7059868736861076
1,mfw,burrows_delta,3,Soso Maness,0.7240226808844081
1,mfw,burrows_delta,4,Sofiane,0.725305366902693
1,mfw,burrows_delta,5,S.Pri Noir,0.7255644714792242
1,mfw,burrows_delta,6,Dibson,0.7267916074020769
1,mfw,burrows_delta,7,Lesram,0.730958088456053
1,mfw,burrows_delta,8,SCH,0.7319525810768129
1,mfw,burrows_delta,9,Caballero,0.7341133174173277
1,mfw,burrows_delta,10,Deen Burbigo,0.7373357012871428
1,mfw,burrows_delta,11,GLK,0.7401965704847702
1,mfw,burrows_delta,12,​DA Uzi,0.7405952587971192
1,mfw,burrows_delta,13,Lacrim,0.74265244584336
1,mfw,burrows_delta,14,Beendo Z,0.7442239844134454
1,mfw,burrows_delta,15,Mister V,0.7450499109304476
1,mfw,burrows_delta,16,Mister You,0.7452092809815738
1,mfw,burrows_delta,17,PLK,0.7454810071324537
1,mfw,burrows_delta,18,ISK,0.7476804684633712
1,mfw,burrows_delta,19,Vin’s,0.7477929511327521
1,mfw,burrows_delta,20,Worms-T,0.7483142325235113
1,mfw,burrows_delta,21,Zola,0.7483502361122218
1,mfw,burrows_delta,22,Davodka,0.7486825562019551
1,mfw,burrows_delta,23,Souffrance,0.7503993587352195
1,mfw,burrows_delta,24,Hayce Lemsi,0.7505815147281022
1,mfw,burrows_delta,25,Guizmo,0.7508246813206083
1,char,cosine_delta,1,Beendo Z,0.80393474783311
1,char,cosine_delta,2,Kerchak,0.8178883844060221
1,char,cosine_delta,3,​DA Uzi,0.8263748511409698
1,char,cosine_delta,4,Fresh laDouille,0.8286083946037595
1,char,cosine_delta,5,UZI (FRA),0.8361804364207982
1,char,cosine_delta,6,Niaks,0.8408851313106478
1,char,cosine_delta,7,Zola,0.8429083352946434
1,char,cosine_delta,8,ISK,0.8493707058292361
1,char,cosine_delta,9,Werenoi,0.8544328357113771
1,char,cosine_delta,10,ASHE 22,0.8583217446772959
1,char,cosine_delta,11,Lesram,0.8611328959426627
1,char,cosine_delta,12,Djadja & Dinaz,0.862040244576439
1,char,cosine_delta,13,Zkr,0.8625134356019403
1,char,cosine_delta,14,Sofiane,0.8643399984331753
1,char,cosine_delta,15,Timal,0.8677236815102743
1,char,cosine_delta,16,Worms-T,0.8682940736963545
1,char,cosine_delta,17,Maes,0.8697303084356358
1,char,cosine_delta,18,​​okis,0.8737984155884988
1,char,cosine_delta,19,Diddi Trix,0.874700460832169
1,char,cosine_delta,20,GLK,0.8757623538976285
1,char,cosine_delta,21,Zbig,0.8769255920410652
1,char,cosine_delta,22,SCH,0.8778696957643874
1,char,cosine_delta,23,Moha La Squale,0.878877052580141
1,char,cosine_delta,24,JuL,0.8815573021859557
1,char,cosine_delta,25,4Keus,0.8821335123756909
1,char,burrows_delta,1,Zkr,0.7731264652047253
1,char,burrows_delta,2,S.Pri Noir,0.7754291306270995
1,char,burrows_delta,3,PLK,0.7786358423372367
1,char,burrows_delta,4,Worms-T,0.7814008296487427
1,char,burrows_delta,5,Vin’s,0.7950580039276689
1,char,burrows_delta,6,Lesram,0.7968095711386306
1,char,burrows_delta,7,Sofiane,0.7986698520657477
1,char,burrows_delta,8,Niaks,0.8036219646301052
1,char,burrows_delta,9,ISK,0.8039882647798215
1,char,burrows_delta,10,Panama Bende,0.8043825071974203
1,char,burrows_delta,11,Ademo,0.8060441034834867
1,char,burrows_delta,12,Caballero,0.8067812731231352
1,char,burrows_delta,13,Deen Burbigo,0.8074687243460962
1,char,burrows_delta,14,Beeby,0.8088555773522521
1,char,burrows_delta,15,​DA Uzi,0.8107649101504306
1,char,burrows_delta,16,TSR Crew,0.8108137077711359
1,char,burrows_delta,17,Népal,0.8117459949206074
1,char,burrows_delta,18,Zola,0.8154936391891745
1,char,burrows_delta,19,Hayce Lemsi,0.8161573889910624
1,char,burrows_delta,20,5 Majeur,0.8175592855590064
1,char,burrows_delta,21,Zikxo,0.8199383266876817
1,char,burrows_delta,22,Guizmo,0.8205842192029319
1,char,burrows_delta,23,Dibson,0.8233529779278397
1,char,burrows_delta,24,Nahir,0.8237528157335706
1,char,burrows_delta,25,Lacrim,0.8248131123723256
2,mfw,cosine_delta,1,Maes,0.7609251796340487
2,mfw,cosine_delta,2,SDM,0.7858737641501184
2,mfw,cosine_delta,3,Werenoi,0.7981667004419859
2,mfw,cosine_delta,4,SCH,0.8007099891049254
2,mfw,cosine_delta,5,UZI (FRA),0.8053580508383669
2,mfw,cosine_delta,6,Hayce Lemsi,0.8094248290962653
2,mfw,cosine_delta,7,Fresh laDouille,0.8100961236861219
2,mfw,cosine_delta,8,Sofiane,0.8141403582131613
2,mfw,cosine_delta,9,Kerchak,0.8170368151621704
2,mfw,cosine_delta,10,Soso Maness,0.8187284894478528
2,mfw,cosine_delta,11,ASHE 22,0.8233375658411235
2,mfw,cosine_delta,12,Seth Gueko,0.8322890951456661
2,mfw,cosine_delta,13,GLK,0.8415611662586427
2,mfw,cosine_delta,14,Worms-T,0.8434872152605336
2,mfw,cosine_delta,15,Zbig,0.8444760845101421
2,mfw,cosine_delta,16,MMZ,0.845496814027375
2,mfw,cosine_delta,17,Ninho,0.8468971990877548
2,mfw,cosine_delta,18,So La Lune,0.8471806727327618
2,mfw,cosine_delta,19,Zola,0.8472186302834961
2,mfw,cosine_delta,20,Gambino La MG,0.8476448063203462
2,mfw,cosine_delta,21,Beendo Z,0.8495340077447241
2,mfw,cosine_delta,22,Guizmo,0.8502932769610875
2,mfw,cosine_delta,23,Denzo,0.8511408302819892
2,mfw,cosine_delta,24,Lesram,0.8530453221434591
2,mfw,cosine_delta,25,Panama Bende,0.8543719104512362
2,mfw,burrows_delta,1,Zkr,0.7022412820048121
2,mfw,burrows_delta,2,Denzo,0.7189092565496416
2,mfw,burrows_delta,3,Guizmo,0.7194805221347709
2,mfw,burrows_delta,4,Panama Bende,0.7239115878260106
2,mfw,burrows_delta,5,Beendo Z,0.7264642911181634
2,mfw,burrows_delta,6,Lesram,0.7266437623011497
2,mfw,burrows_delta,7,Dibson,0.7295179981785196
2,mfw,burrows_delta,8,Hayce Lemsi,0.7314708004859292
2,mfw,burrows_delta,9,RK,0.7341428933211667
2,mfw,burrows_delta,10,Sneazzy,0.7352968551791895
2,mfw,burrows_delta,11,SCH,0.7363361925079155
2,mfw,burrows_delta,12,Nahir,0.7404279886578249
2,mfw,burrows_delta,13,ISK,0.7405732304703553
2,mfw,burrows_delta,14,Sadek,0.7431379550064721
2,mfw,burrows_delta,15,Worms-T,0.7446694972987964
2,mfw,burrows_delta,16,Ninho,0.7453379005446161
2,mfw,burrows_delta,17,Yaro,0.7454346836000117
2,mfw,burrows_delta,18,Seth Gueko,0.7483435558718186
2,mfw,burrows_delta,19,Davodka,0.7517209547176994
2,mfw,burrows_delta,20,Mister You,0.7528030688665306
2,mfw,burrows_delta,21,Soso Maness,0.7538057048407877
2,mfw,burrows_delta,22,Kaaris,0.7554343308058039
2,mfw,burrows_delta,23,Rohff,0.7558621086501314
2,mfw,burrows_delta,24,GLK,0.7566719250620533
2,mfw,burrows_delta,25,MMZ,0.7583467902668031
2,char,cosine_delta,1,Werenoi,0.8292403974795838
2,char,cosine_delta,2,Kerchak,0.8318793150261966
2,char,cosine_delta,3,Zkr,0.844000570190445
2,char,cosine_delta,4,UZI (FRA),0.850813241955058
2,char,cosine_delta,5,Beendo Z,0.8512627395226451
2,char,cosine_delta,6,Maes,0.8566052497353994
2,char,cosine_delta,7,Zbig,0.8590116195033891
2,char,cosine_delta,8,Worms-T,0.8604336812677786
2,char,cosine_delta,9,Lesram,0.8607680865430454
2,char,cosine_delta,10,ISK,0.8618620384104103
2,char,cosine_delta,11,ASHE 22,0.864667873293509
2,char,cosine_delta,12,Fresh laDouille,0.86520684590568
2,char,cosine_delta,13,​​okis,0.8671431326101051
2,char,cosine_delta,14,Heuss L’enfoiré,0.868230800846512
2,char,cosine_delta,15,SCH,0.8695168834336298
