rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
0,mfw,cosine_delta,Soso Maness,0.7502400856700369,-2.609268247374574,0.022831276316233273
0,mfw,burrows_delta,Hayce Lemsi,0.6901698948434237,-2.0811106705378744,0.021234932851267874
0,char,cosine_delta,Beendo Z,0.8124414769322867,-2.3373411215988056,0.02151600691667821
0,char,burrows_delta,Panama Bende,0.7725693711645123,-1.8914184813240238,0.004410992797603042
1,mfw,cosine_delta,Werenoi,0.7711917370689096,-2.4074555364168715,0.010687421830573252
1,mfw,burrows_delta,Zkr,0.6951463522383005,-2.04602431778281,0.010840521447807117
1,char,cosine_delta,Beendo Z,0.80393474783311,-2.4927913594783986,0.013953636572912043
1,char,burrows_delta,Zkr,0.7731264652047253,-1.8940077594647808,0.0023026654223742282
2,mfw,cosine_delta,Maes,0.7609251796340487,-2.577814179798854,0.02494858451606974
2,mfw,burrows_delta,Zkr,0.7022412820048121,-1.9866557884683789,0.01666797454482949
2,char,cosine_delta,Werenoi,0.8292403974795838,-2.1924754254400836,0.002638917546612829
2,char,burrows_delta,Zkr,0.7634268301608494,-2.0762021351875717,0.010236089601429632
3,mfw,cosine_delta,SCH,0.7477702326991328,-2.767096609434827,0.03206874446381203
3,mfw,burrows_delta,Zkr,0.6945122238049292,-2.1225970555286975,0.005173404467719522
3,char,cosine_delta,Kerchak,0.8071111374052758,-2.4452354421278275,0.014627936763504157
3,char,burrows_delta,Worms-T,0.7849712899299038,-1.810238529055548,0.00013385984744884727
4,mfw,cosine_delta,Beendo Z,0.7729136936521424,-2.4926086511524383,0.0054517297289888855
4,mfw,burrows_delta,Lacrim,0.6970894229349385,-2.1126918612716232,0.014463841158429469
4,char,cosine_delta,Beendo Z,0.799552525943923,-2.5410498166257383,0.00292218477603845
4,char,burrows_delta,Worms-T,0.7690504594365134,-1.9415785274636612,0.006139636219029132
5,mfw,cosine_delta,Kerchak,0.7594477406211547,-2.550534600448914,0.014098410500377079
5,mfw,burrows_delta,Hayce Lemsi,0.7070942461275265,-1.889293933656205,0.0029197439897469257
5,char,cosine_delta,Beendo Z,0.79838202366063,-2.542126065687361,0.010802643748878626
5,char,burrows_delta,ISK,0.7724084714959785,-1.945467470081924,0.007130356558905038
6,mfw,cosine_delta,Soso Maness,0.7548130626596696,-2.723042810560618,0.019082679532032465
6,mfw,burrows_delta,Zkr,0.6822030765868001,-2.2955259998135156,0.012689751629319512
6,char,cosine_delta,Beendo Z,0.800622598518465,-2.5890739250438872,0.0216776284935134
6,char,burrows_delta,Zkr,0.778697973418711,-1.875594075586251,0.0019567100025872364
7,mfw,cosine_delta,SCH,0.7366435845208045,-2.8674456890098514,0.022948852726220492
7,mfw,burrows_delta,Lacrim,0.6872438001392006,-2.1695014603471634,0.01358652717112152
7,char,cosine_delta,Werenoi,0.8283184606409459,-2.1992857283882414,0.004411860265097212
7,char,burrows_delta,Worms-T,0.768676120722358,-1.9613987437355183,0.01035740517299899
8,mfw,cosine_delta,UZI (FRA),0.7331696936975938,-2.8436183335469125,0.018203558763525196
8,mfw,burrows_delta,Zkr,0.7173519495643501,-1.8930125630027472,0.004786997908110657
8,char,cosine_delta,Kerchak,0.8063898221776085,-2.464035108770958,0.001965919876308342
8,char,burrows_delta,Worms-T,0.7893470831906068,-1.8027343442335113,0.009898215156037615
9,mfw,cosine_delta,Werenoi,0.7508084673942932,-2.6141161342038144,0.0007110130320042707
9,mfw,burrows_delta,Zkr,0.6483947053099112,-2.6952836351485554,0.029738189598285114
9,char,cosine_delta,UZI (FRA),0.8206098562025548,-2.281885468704616,0.0019218479004543543
9,char,burrows_delta,Zkr,0.7515694707427099,-2.2823624028306675,0.0292755363679037
10,mfw,cosine_delta,Beendo Z,0.7382694237556879,-2.8144130377943823,0.047657086512230995
10,mfw,burrows_delta,Beendo Z,0.6901530608769697,-2.1548693994504355,0.00881398483927387
10,char,cosine_delta,Beendo Z,0.7876768723725713,-2.7082259225449112,0.02778804713724259
10,char,burrows_delta,ISK,0.7795134998763072,-1.8536449159373152,0.0022810390261742697
11,mfw,cosine_delta,Maes,0.7619651794409636,-2.589839656875524,0.030151635242365638
11,mfw,burrows_delta,Sofiane,0.7062754036345971,-1.9282334507838987,0.0009784912323864692
11,char,cosine_delta,Beendo Z,0.7985814033094785,-2.5410388648250506,0.02174071335264638
11,char,burrows_delta,Ademo,0.7554528688250305,-2.1098830398643047,0.0032429975551533374
12,mfw,cosine_delta,GLK,0.7591416213590344,-2.625851875819888,0.009707228455039796
12,mfw,burrows_delta,Zkr,0.668617059542162,-2.4572716323022252,0.025398710434871852
12,char,cosine_delta,Beendo Z,0.815652685414474,-2.2864460597718104,0.004690339921878173
12,char,burrows_delta,Worms-T,0.7678105357354702,-1.9951467247090289,0.005002966057652269
13,mfw,cosine_delta,Werenoi,0.7653722352684,-2.5314795787793747,0.007108482373906488
13,mfw,burrows_delta,SCH,0.6965155489950626,-2.030025916475511,0.002288544826285266
13,char,cosine_delta,UZI (FRA),0.7954300419046646,-2.6246347828579637,0.01084207990912267
13,char,burrows_delta,Worms-T,0.765291963452478,-2.0058621092164177,0.014514132013606185
14,mfw,cosine_delta,Sofiane,0.780326420883074,-2.4509968357610585,0.0002491995884710274
14,mfw,burrows_delta,Zkr,0.696621946546443,-2.058271395438179,0.0009503513730149127
14,char,cosine_delta,Beendo Z,0.8140046546388882,-2.355833208405971,0.006499664639949554
14,char,burrows_delta,Worms-T,0.7705915094134783,-1.947849685001034,0.01184425754312679
15,mfw,cosine_delta,Soso Maness,0.7571646843698817,-2.580258116359958,0.008500597977585289
15,mfw,burrows_delta,Zkr,0.7018536786547556,-2.0261434764187842,0.0044024728872532615
15,char,cosine_delta,Beendo Z,0.8015516705950034,-2.504900732109784,0.014782750899221098
15,char,burrows_delta,Zkr,0.7772220699851371,-1.9018236594393292,0.004113604694689799
16,mfw,cosine_delta,Kerchak,0.7562575128515505,-2.593976569381855,0.019327643558225915
16,mfw,burrows_delta,Hatik,0.6938558848782959,-1.9530827550601753,0.002848219302219235
16,char,cosine_delta,Beendo Z,0.8157000531352522,-2.3861484686348615,0.014231311746006114
16,char,burrows_delta,Worms-T,0.7718011376297718,-1.907150794918909,0.009276961327986277
17,mfw,cosine_delta,Sofiane,0.7486653775419497,-2.732219434628204,0.016846076225832674
17,mfw,burrows_delta,Sofiane,0.6842882300035293,-2.2706972468613182,0.020986696833861118
17,char,cosine_delta,Beendo Z,0.8017912694236132,-2.537638198504854,0.010263712614953069
17,char,burrows_delta,ISK,0.7606537409940547,-2.178632696973054,0.012852392429766102
18,mfw,cosine_delta,ISK,0.740133235081119,-2.804153432672228,0.017271125707028268
18,mfw,burrows_delta,ISK,0.6737590672589188,-2.3865436133688624,0.007270967418558816
18,char,cosine_delta,Beendo Z,0.769885391580316,-2.930936473441252,0.03287321439913471
18,char,burrows_delta,ISK,0.7652516234173846,-2.0385574133419384,0.0021373977802585653
19,mfw,cosine_delta,SCH,0.7253057372847995,-2.9487473577815035,0.05116402543859322
19,mfw,burrows_delta,Zkr,0.6756319120825135,-2.328785709183073,0.024408674148375664
19,char,cosine_delta,Beendo Z,0.8169999504119467,-2.3219490198859543,0.0003797174396369396
19,char,burrows_delta,Zkr,0.7492829921908184,-2.2685509541813857,0.023177692198585342
20,mfw,cosine_delta,So La Lune,0.7776813041192019,-2.3936577143709186,0.0015047266056972264
20,mfw,burrows_delta,Zkr,0.6749444264599388,-2.365510222002055,0.019682178301427267
20,char,cosine_delta,Kerchak,0.8088957805510291,-2.4729850777944606,0.01870418269209928
20,char,burrows_delta,Zkr,0.7633111443261511,-2.112138802325325,0.01355307716926446
21,mfw,cosine_delta,Werenoi,0.7408600683756608,-2.7975453330793965,0.0031931969424408013
21,mfw,burrows_delta,Zkr,0.6899420238912727,-2.077505592299683,0.003952315161783515
21,char,cosine_delta,​DA Uzi,0.8184954287697328,-2.259462582601161,0.009096026276792957
21,char,burrows_delta,S.Pri Noir,0.7768784880552836,-1.8832015689661183,0.005107080009217779
22,mfw,cosine_delta,Werenoi,0.7868949195211903,-2.29523452661552,0.00048292150680728785
22,mfw,burrows_delta,ISK,0.6944605218069186,-2.0530733737771447,0.010198040977856704
22,char,cosine_delta,Beendo Z,0.8137379320488181,-2.375565661990988,0.01050369373886506
22,char,burrows_delta,ISK,0.778580502837711,-1.858230202445909,0.004116249475820788
23,mfw,cosine_delta,SCH,0.7359950538171582,-2.7617566654132775,0.015338368083930964
23,mfw,burrows_delta,Zkr,0.7145958291108766,-1.8087840706995086,0.0014782930610520717
23,char,cosine_delta,Kerchak,0.7953531204336378,-2.533388126805569,0.012806536147320746
23,char,burrows_delta,Zkr,0.7840224915992184,-1.7911466341768443,0.000495333119765351
24,mfw,cosine_delta,Beendo Z,0.7390428923431165,-2.90605107858634,0.024486267121911487
24,mfw,burrows_delta,Hayce Lemsi,0.710690673668171,-1.9623998332198656,0.002810448716640712
24,char,cosine_delta,Beendo Z,0.8097876335978649,-2.476307462834069,0.00465159860497677
24,char,burrows_delta,ISK,0.7649286709154672,-2.104138234438808,0.022969959272006624
25,mfw,cosine_delta,Mister You,0.7708528837346674,-2.5445178224503597,0.01997489431997279
