rep,features,metric,rang_moitie_B,top1,sep_moitie_B
0,mfw,cosine_delta,1,Ziak__moitie_B,-3.920378547615062
0,mfw,burrows_delta,1,Ziak__moitie_B,-2.720329022803767
0,char,cosine_delta,1,Ziak__moitie_B,-4.41021465391106
0,char,burrows_delta,1,Ziak__moitie_B,-2.334478797655001
1,mfw,cosine_delta,1,Ziak__moitie_B,-3.788411357905995
1,mfw,burrows_delta,1,Ziak__moitie_B,-2.5308954897010536
1,char,cosine_delta,1,Ziak__moitie_B,-3.8207494818542522
1,char,burrows_delta,1,Ziak__moitie_B,-1.935626434629283
2,mfw,cosine_delta,1,Ziak__moitie_B,-3.99184654464054
2,mfw,burrows_delta,1,Ziak__moitie_B,-2.6292746011751915
2,char,cosine_delta,1,Ziak__moitie_B,-4.531822581087512
2,char,burrows_delta,1,Ziak__moitie_B,-2.198755672138968
3,mfw,cosine_delta,1,Ziak__moitie_B,-3.371590241789139
3,mfw,burrows_delta,1,Ziak__moitie_B,-2.1548361664466227
3,char,cosine_delta,1,Ziak__moitie_B,-3.445581509365353
3,char,burrows_delta,8,YL,-1.5766762643933603
4,mfw,cosine_delta,1,Ziak__moitie_B,-3.4779597671911433
4,mfw,burrows_delta,1,Ziak__moitie_B,-2.9715299722997783
4,char,cosine_delta,1,Ziak__moitie_B,-3.7557027725547845
4,char,burrows_delta,1,Ziak__moitie_B,-2.296458564497359
5,mfw,cosine_delta,1,Ziak__moitie_B,-2.8103765167410604
5,mfw,burrows_delta,3,Panama Bende,-1.9197364272361532
5,char,cosine_delta,1,Ziak__moitie_B,-3.2139065458113953
5,char,burrows_delta,8,Zkr,-1.585502873080032
6,mfw,cosine_delta,1,Ziak__moitie_B,-3.7199917373430655
6,mfw,burrows_delta,1,Ziak__moitie_B,-2.888537623602016
6,char,cosine_delta,1,Ziak__moitie_B,-4.458209598854068
6,char,burrows_delta,1,Ziak__moitie_B,-2.3909445384294794
7,mfw,cosine_delta,1,Ziak__moitie_B,-3.736975612288271
7,mfw,burrows_delta,1,Ziak__moitie_B,-2.6759431818975323
7,char,cosine_delta,1,Ziak__moitie_B,-3.5467737526208656
7,char,burrows_delta,1,Ziak__moitie_B,-1.774613506392511
8,mfw,cosine_delta,1,Ziak__moitie_B,-3.376627993518394
8,mfw,burrows_delta,1,Ziak__moitie_B,-2.2934888098014543
8,char,cosine_delta,1,Ziak__moitie_B,-3.4840806465795824
8,char,burrows_delta,3,Worms-T,-1.6387496417500427
9,mfw,cosine_delta,1,Ziak__moitie_B,-3.7102724915648313
9,mfw,burrows_delta,1,Ziak__moitie_B,-2.72461342161355
9,char,cosine_delta,1,Ziak__moitie_B,-3.463435584074762
9,char,burrows_delta,3,Zkr,-1.9157600943609847
10,mfw,cosine_delta,1,Ziak__moitie_B,-3.498146521009272
10,mfw,burrows_delta,1,Ziak__moitie_B,-2.6172731043952644
10,char,cosine_delta,1,Ziak__moitie_B,-3.7120045661515992
10,char,burrows_delta,1,Ziak__moitie_B,-2.055379167014516
11,mfw,cosine_delta,1,Ziak__moitie_B,-3.269966476214446
11,mfw,burrows_delta,1,Ziak__moitie_B,-2.164177592100632
11,char,cosine_delta,1,Ziak__moitie_B,-3.386978150473729
11,char,burrows_delta,21,Sofiane,-1.2836894829167527
12,mfw,cosine_delta,1,Ziak__moitie_B,-4.258311152659463
12,mfw,burrows_delta,1,Ziak__moitie_B,-2.9544383435859722
12,char,cosine_delta,1,Ziak__moitie_B,-3.9357641155544028
12,char,burrows_delta,1,Ziak__moitie_B,-2.325560623564004
13,mfw,cosine_delta,1,Ziak__moitie_B,-3.5329088787747973
13,mfw,burrows_delta,1,Ziak__moitie_B,-2.577896497749959
13,char,cosine_delta,1,Ziak__moitie_B,-3.6428516303591767
13,char,burrows_delta,4,Worms-T,-1.7873167886258414
14,mfw,cosine_delta,2,GLK,-2.4119721900029947
14,mfw,burrows_delta,1,Ziak__moitie_B,-1.9188174845363837
14,char,cosine_delta,1,Ziak__moitie_B,-3.5496707466051145
14,char,burrows_delta,3,Worms-T,-1.8049482224938769
15,mfw,cosine_delta,1,Ziak__moitie_B,-3.562548239919504
15,mfw,burrows_delta,1,Ziak__moitie_B,-2.422476764304212
15,char,cosine_delta,1,Ziak__moitie_B,-3.5553304844092235
15,char,burrows_delta,17,Worms-T,-1.3205192088631137
16,mfw,cosine_delta,1,Ziak__moitie_B,-3.536014145126673
16,mfw,burrows_delta,1,Ziak__moitie_B,-2.710473345000409
16,char,cosine_delta,1,Ziak__moitie_B,-3.8718848392564524
16,char,burrows_delta,2,Lesram,-1.932805340124116
17,mfw,cosine_delta,1,Ziak__moitie_B,-4.000775989429167
17,mfw,burrows_delta,1,Ziak__moitie_B,-2.6004931794740935
17,char,cosine_delta,1,Ziak__moitie_B,-3.566678650932916
17,char,burrows_delta,1,Ziak__moitie_B,-1.9970820064805677
18,mfw,cosine_delta,1,Ziak__moitie_B,-4.359494042490069
18,mfw,burrows_delta,1,Ziak__moitie_B,-2.8013949606026083
18,char,cosine_delta,1,Ziak__moitie_B,-4.837790956375836
18,char,burrows_delta,1,Ziak__moitie_B,-2.3280712131049373
19,mfw,cosine_delta,1,Ziak__moitie_B,-3.547664463598771
19,mfw,burrows_delta,1,Ziak__moitie_B,-2.7029558984234443
19,char,cosine_delta,1,Ziak__moitie_B,-3.34682996624401
19,char,burrows_delta,2,Zkr,-1.9737607892232767
