artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes
Kerchak,3.8333333333333335,60,1,1
Werenoi,6.682539682539683,63,1,2
Panama Bende,6.766666666666667,60,1,2
Beendo Z,7.264705882352941,102,1,2
Zkr,7.336842105263158,95,1,2
UZI (FRA),8.63076923076923,65,1,2
Sexion d’Assaut,9.0,1,9,1
ISK,9.182692307692308,104,1,2
Fresh laDouille,9.357142857142858,56,2,1
Dibson,9.685185185185185,54,2,1
Sofiane,9.865384615384615,52,1,2
GLK,10.404761904761905,84,1,2
Maes,10.476923076923077,65,1,2
Worms-T,10.705357142857142,112,1,2
SCH,10.715789473684211,95,1,2
Soso Maness,11.5,48,1,2
Hayce Lemsi,11.575,40,1,2
ASHE 22,11.620689655172415,58,3,2
Deen Burbigo,11.833333333333334,48,2,2
Nessbeal,12.0,2,10,1
Elams,12.0,1,12,1
Guizmo,12.03225806451613,31,2,2
Lesram,12.2,95,2,2
Aladin 135,12.5,2,6,1
S.Pri Noir,12.555555555555555,36,1,1
Hatik,12.722222222222221,18,1,2
Lacrim,12.806451612903226,62,1,2
YL,13.0,32,3,2
Nahir,13.037735849056604,53,3,2
Sam’s,13.521739130434783,23,4,1
Vin’s,13.692307692307692,39,3,1
Hornet La Frappe,13.75,32,4,2
Elh Kmer,13.777777777777779,9,6,1
Mister You,13.851851851851851,54,1,2
Ademo,14.137931034482758,29,1,2
Zola,14.25,64,3,2
Sadek,14.326086956521738,46,3,2
100 Blaze,14.4,5,6,1
RK,14.523809523809524,21,2,2
​DA Uzi,14.666666666666666,63,1,2
L’Entourage,14.75,16,5,1
Ninho,14.783783783783784,37,2,2
Hooss,14.833333333333334,6,4,1
Sneazzy,14.833333333333334,12,5,1
5 Majeur,14.931034482758621,29,8,1
PLK,15.136363636363637,22,3,2
Niro,15.222222222222221,36,3,2
Beeby,15.25,12,4,1
So La Lune,15.277777777777779,18,1,2
Roshi,15.333333333333334,42,2,1
Yaro,15.375,8,8,2
S-Crew,15.476190476190476,21,2,1
Rohff,15.727272727272727,11,3,1
Denzo,15.758620689655173,29,2,2
Timal,16.352941176470587,17,4,2
Seth Gueko,16.352941176470587,34,3,2
Koba LaD,16.375,16,5,2
Dosseh,16.5,4,13,1
Djadja & Dinaz,16.5,38,3,2
Kalash Criminel,16.571428571428573,7,8,1
Jarod,16.583333333333332,12,6,1
Diddi Trix,16.925925925925927,27,5,1
Hugo TSR,16.941176470588236,34,7,2
Sniper,17.0,5,12,1
SDM,17.0,18,2,1
Naza,17.0,1,17,1
Zikxo,17.03448275862069,29,4,2
Caballero,17.27777777777778,18,9,1
Gambi,17.47826086956522,23,4,2
Bigflo & Oli,17.5,4,8,1
Vald,17.6,5,6,1
Despo Rutti,17.666666666666668,9,8,1
TSR Crew,17.666666666666668,3,13,1
Mister V,17.727272727272727,11,12,1
Swift Guad,17.75,8,6,1
Sefyu,17.8,10,8,1
Sopico,17.875,8,6,2
Grödash,18.0,2,15,1
Limsa d’Aulnay,18.0,2,15,1
​​okis,18.178571428571427,28,11,1
Zbig,18.227272727272727,44,7,1
Moha La Squale,18.25,8,12,1
JuL,18.333333333333332,21,5,2
Dabs,18.4,5,8,1
Ol’ Kainry,18.5,2,14,1
Naps,18.583333333333332,12,6,1
Niaks,18.695652173913043,23,6,2
Alonzo,18.8,5,13,2
Bosh,18.933333333333334,15,11,1
Davodka,19.0,7,14,1
Niska,19.0,4,13,1
Lacraps,19.0,3,15,1
Furax Barbarossa,19.142857142857142,7,13,1
MMZ,19.166666666666668,6,15,2
4Keus,19.266666666666666,15,12,2
Gambino La MG,19.4,5,14,1
Heuss L’enfoiré,19.451612903225808,31,12,1
1995,19.5,2,14,1
Népal,19.8,15,10,1
Octobre Rouge,20.0,6,16,2
Kofs,20.0,2,19,2
Leto,20.5,2,17,1
Lartiste,20.5,2,19,2
Nekfeu,20.6,5,13,1
PRIME,20.625,8,15,1
Mysa,20.666666666666668,3,18,1
Alpha Wann,20.7,10,14,1
BFG,20.823529411764707,17,11,2
Youri,21.0,10,15,1
PNL,21.0,1,21,1
MZ,21.0,2,20,1
Landy,21.166666666666668,6,15,1
Souffrance,21.2,5,17,2
Grems,21.25,4,16,2
Zesau,21.5,6,14,1
Booba,21.666666666666668,3,19,1
Luv Resval,22.0,1,22,1
OBOY,22.0,1,22,1
Kaaris,22.0,1,22,1
Casseurs Flowters,22.0,1,22,1
PSO Thug,22.5,4,15,2
F430,22.666666666666668,3,19,1
Kodes,22.666666666666668,6,18,1
MHD,23.0,1,23,1
113,23.333333333333332,3,23,1
13 Block,24.0,1,24,1
Lujipeka,24.0,1,24,1
Volts Face,24.333333333333332,3,23,1
Gazo,25.0,1,25,1
