features,generation,recall_at_1,recall_at_5,n_essais,n_artistes
char,1990-2005,0.975,1.0,40,4
char,2006-2012,0.8909090909090909,0.9636363636363636,220,22
char,2013-2017,0.9535714285714286,0.9910714285714286,560,56
char,2018-2020,0.9547619047619048,0.9904761904761905,420,42
char,2021-2024,1.0,1.0,50,5
mfw,1990-2005,0.925,1.0,40,4
mfw,2006-2012,0.8636363636363636,0.9681818181818181,220,22
mfw,2013-2017,0.9053571428571429,0.9803571428571428,560,56
mfw,2018-2020,0.9571428571428572,0.9976190476190476,420,42
mfw,2021-2024,1.0,1.0,50,5
