artiste,score_imposteurs_jumeau
Sofiane,1.0
Furax Barbarossa,1.0
Despo Rutti,1.0
Niro,1.0
Mac Tyer,1.0
Oxmo Puccino,1.0
Zkr,1.0
404Billy,1.0
Youv Dee,1.0
Georgio,1.0
Dooz Kawa,1.0
SCH,1.0
Hooss,1.0
Akhenaton,1.0
Lonepsi,1.0
Rochdi,1.0
Vin’s,1.0
Lomepal,1.0
Sopico,1.0
RK,1.0
Scylla,1.0
A2H,1.0
Grand Corps Malade,1.0
Swift Guad,1.0
Niska,1.0
Kaaris,1.0
Kamikaz,1.0
Krisy,1.0
Hayce Lemsi,1.0
La Fouine,0.995
Lartiste,0.985
Psy 4 de la Rime,0.98
Sadek,0.97
Jorrdee,0.955
Bigflo & Oli,0.905
Sneazzy,0.89
S-Crew,0.655
PLK,0.6
Sinik,0.46
IAM,0.45
