artiste,distance_mediane_aux_autres,distance_min,voisin_le_plus_proche,n_tokens_corpus,rang_excentricite
Assassin (FRA),1.0327167737284264,0.645314744107409,Rocé (FRA),23408,1
Rocé (FRA),1.02907714623299,0.645314744107409,Assassin (FRA),19221,2
La Rumeur,1.0289630935672849,0.5701614327752377,Fayçal,47635,3
VII,1.0287830755754428,0.5325010053643568,Fayçal,38855,4
Manau,1.0276790431031344,0.6566418162373132,Klub des Loosers,27065,5
Akhenaton,1.0271870149595732,0.6134870884321024,IAM,65216,6
IAM,1.026092039271547,0.6134870884321024,Akhenaton,111638,7
La Canaille,1.0256771808673044,0.6476331484187595,La Rumeur,13550,8
Shurik’n,1.0253753773015735,0.6864637646649528,IAM,20471,9
Grand Corps Malade,1.024527122197156,0.6623797978410271,Manau,44845,10
Ali (FRA),1.024185493599515,0.6430700058895762,Fayçal,16119,11
MC Solaar,1.02273265189154,0.7282062559063691,La Caution,42412,12
Tragédie,1.0221479122512032,0.6971650335652879,Dadju,12430,13
Gaël Faye,1.0220851531344635,0.5908474811933047,Fayçal,14824,14
Casey (FRA),1.0207129623385014,0.6769831909113062,Rocé (FRA),14112,15
Dooz Kawa,1.0204072556207548,0.7101863863517456,La Rumeur,36133,16
La Cliqua,1.0198848295895488,0.6760570233787386,Rocca,12656,17
Keny Arkana,1.019735084654214,0.6763882702380924,Rocé (FRA),51267,18
Abd Al Malik,1.019509006862862,0.6915816525227114,Manau,27276,19
Lucio Bukowski,1.0184992810840492,0.5685217679365785,VII,86523,20
Fayçal,1.0182591833837837,0.5325010053643568,VII,19219,21
Lonepsi,1.018246560674099,0.6732545187542024,Manau,36535,22
Suprême NTM,1.0181564565334418,0.6923163644431212,Assassin (FRA),18835,23
Axiom,1.0181205770497537,0.8118652253121348,Rocé (FRA),17591,24
Tsew The Kid,1.0179423957079445,0.7247968544189891,Lycos,31974,25
Suzuya,1.0176798102250206,0.6664446319228402,Lycos,35136,26
Ideal J,1.0174961571896843,0.6996711607447997,Kery James,13803,27
Dadju,1.0170242705269192,0.6971650335652879,Tragédie,35824,28
Ridsa,1.0169261523839253,0.7680034914490874,Lycos,37507,29
Kery James,1.01625789813002,0.6731085383793941,Rocé (FRA),43593,30
Médine,1.0162307221173006,0.6664335998832681,VII,48378,31
Klub des Loosers,1.0161545021700515,0.6566418162373132,Manau,31454,32
Rockin’ Squat,1.0155328483310422,0.684238027048917,Assassin (FRA),41627,33
Mysa,1.0154638646170375,0.7185409463388707,Rocé (FRA),62390,34
Soolking,1.0153149590752626,0.8129903888560676,MRC,21170,35
Le Rat Luciano,1.0151411212093866,0.6901821178713425,Fonky Family,15140,36
Serane,1.015102473687946,0.6523081175414398,J9ueve,18597,37
Maj Trafyk,1.0150334020189251,0.6766594520258733,VII,18407,38
Neg’ Marrons,1.0149358073044283,0.8342630954171373,Le Rat Luciano,25364,39
Kroc Blanc,1.0149207327440166,0.7014994223351857,VII,12970,40
Hippocampe Fou,1.0148677548056364,0.7453767937010972,Lucio Bukowski,31521,41
TTC,1.0148638812399664,0.7008634475066295,La Caution,15197,42
Fonky Family,1.0147273262084369,0.6901821178713425,Le Rat Luciano,31256,43
La Caution,1.0146231198873696,0.6514227810911444,VII,13121,44
Kemmler,1.0144004041585175,0.7557221582865359,Spider ZED,27638,45
Lycos,1.0137133321972425,0.6660238299613568,USKY,24090,46
Les Sages Poètes de la Rue,1.0135151936899764,0.7737563527727722,MC Solaar,38491,47
Psy 4 de la Rime,1.0134934175730437,0.7804090289828973,Keny Arkana,41279,48
Gambino La MG,1.0134868358915037,0.7779797756064281,Diddi Trix,19184,49
Cabadzi,1.0134331813138948,0.8139694727872682,Klub des Loosers,18924,50
Sinik,1.0133340283504029,0.8176521440801676,La Rumeur,79007,51
SDM,1.013331226555112,0.8214911879841386,Diddi Trix,20251,52
Flynt,1.0131058206171817,0.7688937183811375,La Canaille,17200,53
Kerchak,1.0130700813424907,0.7089918034470523,Beendo Z,23064,54
Therapie TAXI,1.0129595083999765,0.8071690660461133,Tragédie,23682,55
Triptik,1.012943984868897,0.7536671747553835,La Caution,13155,56
Sniper,1.0129102388156075,0.8097864887159036,Rocé (FRA),50797,57
Kohndo,1.0127486704845698,0.7102434656298847,Ali (FRA),25132,58
Oxmo Puccino,1.0125534432507397,0.7810954415310327,Klub des Loosers,56142,59
Rocca,1.0125427194440704,0.6760570233787386,La Cliqua,18866,60
Le Klub des 7,1.0125370930270432,0.7180032556564525,Klub des Loosers,14443,61
Timal,1.012499867117374,0.7929792910232212,Diddi Trix,47492,62
Fabe,1.0124125601844343,0.7812470419282297,Rocé (FRA),31037,63
Rounhaa,1.01235087264814,0.6920021265001026,Lycos,24137,64
Maska,1.011888385392389,0.8583023611047825,Ridsa,32984,65
Pit Baccardi,1.0118690925790086,0.832132474402073,La Canaille,15632,66
Gims,1.011788415795666,0.8092471422337906,Dadju,50284,67
Fresh laDouille,1.0115280972244192,0.7465294622013318,UZI (FRA),32102,68
Vegedream,1.0113319919222403,0.784703325340613,Dadju,26665,69
GLK,1.0111847964630525,0.8354532709800383,Djadja & Dinaz,46269,70
The Shin Sekaï,1.011084536445662,0.7986890335899812,Dadju,23567,71
Tiers,1.0110502263967382,0.8034922950732898,Médine,21200,72
Kodes,1.0110354104604142,0.7637019300472428,Diddi Trix,15732,73
Odezenne,1.0109236667860406,0.7904614552030609,Gaël Faye,17628,74
Boostee,1.010752138456139,0.7184254612894413,Lonepsi,19411,75
Lujipeka,1.0107479060991928,0.780442506489254,Lycos,28311,76
Niska,1.0107292605074443,0.8518848431485924,Kodes,37863,77
Diddi Trix,1.010712334777963,0.7637019300472428,Kodes,21985,78
Chilla,1.0107104841522574,0.8668210264859002,USKY,24416,79
Furax Barbarossa,1.0106258942949902,0.8004509530617228,La Rumeur,49642,80
Lunatic,1.0104817231353769,0.784030220431821,Ali (FRA),21940,81
Mystik,1.0102951956949995,0.8299963983765286,Keny Arkana,23915,82
ASHE 22,1.010268933437295,0.7972460205617798,Maes,25161,83
MRC,1.0102265807463797,0.7892114624038025,Kofs,23089,84
