artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes,annee_mediane,n_tokens
Kerchak,3.8333333333333335,60,1,1,2022.0,23064
Werenoi,6.682539682539683,63,1,2,2023.0,20080
Panama Bende,6.766666666666667,60,1,2,2017.0,21113
Beendo Z,7.264705882352941,102,1,2,2022.0,27872
Zkr,7.336842105263158,95,1,2,2021.0,65215
UZI (FRA),8.63076923076923,65,1,2,2021.0,24964
Sexion d’Assaut,9.0,1,9,1,2008.0,92294
ISK,9.182692307692308,104,1,2,2021.0,44303
Fresh laDouille,9.357142857142858,56,2,1,2021.5,32102
Dibson,9.685185185185183,54,2,1,2019.0,30786
Sofiane,9.865384615384617,52,1,2,2016.0,54535
GLK,10.404761904761903,84,1,2,2019.0,46269
