rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
0,mfw,cosine_delta,131,491,-0.6169253787176329,-2.565173866035847,SCH
0,mfw,burrows_delta,180,491,-0.4360882708751915,-2.221458892391608,Zikxo
0,char,cosine_delta,80,491,-1.0865078976716365,-2.4078862646409505,Zola
0,char,burrows_delta,337,491,0.4291243109810711,-2.2389884768273465,Kvra
1,mfw,cosine_delta,156,491,-0.47498243271578033,-3.1564836643024634,Werenoi
1,mfw,burrows_delta,203,491,-0.28673678993054014,-2.4154824558587253,Lacrim
1,char,cosine_delta,73,491,-1.128517121221658,-2.8299988767460422,ISK
1,char,burrows_delta,341,491,0.41391827190848407,-2.136603790568788,ISK
2,mfw,cosine_delta,161,491,-0.48520388847286444,-3.5150365170194853,SCH
2,mfw,burrows_delta,199,491,-0.3035766739332793,-2.6057532979109586,JuL
2,char,cosine_delta,64,491,-1.2296969102176725,-2.6002846334899594,UZI (FRA)
2,char,burrows_delta,343,491,0.43324688112173043,-2.940314772194456,JuL
3,mfw,cosine_delta,166,491,-0.42768356917223177,-2.5272290942829514,Beendo Z
3,mfw,burrows_delta,181,491,-0.40281017115333195,-2.732331522491964,ISK
3,char,cosine_delta,78,491,-1.0630024495978956,-3.105268405825002,Beendo Z
3,char,burrows_delta,347,491,0.3964531838603746,-2.6155491229336767,Beendo Z
4,mfw,cosine_delta,140,491,-0.591280020822101,-3.290233472593834,UZI (FRA)
4,mfw,burrows_delta,201,491,-0.2573983253175692,-2.1603294089531744,Souffrance
4,char,cosine_delta,76,491,-1.0860075772062254,-2.719409843260008,UZI (FRA)
4,char,burrows_delta,343,491,0.40819762433004686,-2.6835082616730555,L’Entourage
5,mfw,cosine_delta,158,491,-0.4477232355319782,-2.830719718151916,UZI (FRA)
5,mfw,burrows_delta,190,491,-0.3822330784806056,-2.2072125899569968,Dibson
5,char,cosine_delta,75,491,-1.0871994199396282,-2.649684541647638,MC Circulaire
5,char,burrows_delta,341,491,0.3619281052208553,-2.2524027676083693,Dibson
6,mfw,cosine_delta,173,491,-0.3704169646173026,-2.7729018769250886,Lemon Haze
6,mfw,burrows_delta,204,491,-0.30072236160832005,-2.0222568947101145,Vin’s
6,char,cosine_delta,79,491,-1.0558877012878847,-2.5464578008790677,Maes
6,char,burrows_delta,345,491,0.4250614341335452,-2.487733217048552,Vin’s
7,mfw,cosine_delta,143,491,-0.5610184175896381,-2.958545336032222,SCH
7,mfw,burrows_delta,201,491,-0.34651434587261093,-2.5508202862113243,Dibson
7,char,cosine_delta,58,491,-1.2530740234171451,-2.498061175472255,SCH
7,char,burrows_delta,324,491,0.36098050823089095,-2.2733140399066385,Volts Face
8,mfw,cosine_delta,145,491,-0.5653614685795545,-2.754564473895352,SCH
8,mfw,burrows_delta,229,491,-0.15990159228042589,-2.176927245168887,Panama Bende
8,char,cosine_delta,85,491,-0.9854810976925726,-2.7675834220694355,SCH
8,char,burrows_delta,351,491,0.431488378489602,-2.0037462389548684,Panama Bende
9,mfw,cosine_delta,202,491,-0.268926450681995,-3.1187388127687896,Mister You
9,mfw,burrows_delta,173,491,-0.37378195654311,-2.9752634581678112,Rohff
9,char,cosine_delta,89,491,-1.0067543171357274,-2.555564601093518,SCH
9,char,burrows_delta,333,491,0.3996760916810849,-3.183392447765448,Rohff
10,mfw,cosine_delta,157,491,-0.4497110305376747,-3.6252348640199483,GLK
10,mfw,burrows_delta,194,491,-0.3421596616347587,-2.6173803453156173,Zkr
10,char,cosine_delta,73,491,-1.1574586069460833,-3.0680761603405955,GLK
10,char,burrows_delta,333,491,0.36139859129584645,-2.3012764025614447,Vin’s
11,mfw,cosine_delta,178,491,-0.3586278844755123,-2.8512744601904116,Maes
11,mfw,burrows_delta,210,491,-0.3020399799041169,-2.131199637037506,Panama Bende
11,char,cosine_delta,75,491,-1.0764602990291106,-2.827401246339562,Beendo Z
