artiste,score,type
Mikeysem,0.04666666666666667,hypothèse
Lacrim,0.9566666666666667,jumeau authentique
Booba,0.99,jumeau authentique
So La Lune,1.0,jumeau authentique
Disiz,0.9133333333333333,jumeau authentique
Alonzo,0.95,jumeau authentique
Benab,0.95,jumeau authentique
Mister You,1.0,jumeau authentique
Salif,0.87,jumeau authentique
Djadja & Dinaz,1.0,jumeau authentique
Elams,0.9266666666666666,jumeau authentique
404Billy,0.6166666666666667,jumeau authentique
Krisy,0.9766666666666667,jumeau authentique
Ateyaba,0.9966666666666667,jumeau authentique
Zkr,1.0,jumeau authentique
Fababy,0.9966666666666667,jumeau authentique
Sneazzy,0.97,jumeau authentique
Black M,0.9933333333333333,jumeau authentique
Damso,0.9966666666666667,jumeau authentique
Hugo TSR,1.0,jumeau authentique
Mysa,1.0,jumeau authentique
VII,0.99,jumeau authentique
Grems,0.69,jumeau authentique
PLK,0.5766666666666667,jumeau authentique
Mac Tyer,1.0,jumeau authentique
Timal,0.99,jumeau authentique
Ridsa,1.0,jumeau authentique
YL,0.9833333333333333,jumeau authentique
Dibson,0.9933333333333333,jumeau authentique
Suzuya,1.0,jumeau authentique
Hippocampe Fou,0.91,jumeau authentique
TiTo Prince,1.0,jumeau authentique
Lord Esperanza,1.0,jumeau authentique
KeBlack,0.98,jumeau authentique
Grand Corps Malade,0.9966666666666667,jumeau authentique
D. Ace,0.41,jumeau authentique
Lacraps,1.0,jumeau authentique
Nahir,1.0,jumeau authentique
Fabe,0.7733333333333333,jumeau authentique
Vin’s,1.0,jumeau authentique
A2H,1.0,jumeau authentique
