solo,groupe,n_rappeurs,rep,mots_requete,rang_groupe,n_candidats,sep_groupe,sep_top1,top1,top1_est_groupe
Booba,Lunatic,2,0,23314,5,326,-2.6892237825996053,-2.9767181418078374,Hayce Lemsi,False
Booba,Lunatic,2,1,23079,23,326,-1.6716807685617445,-3.580652842114257,Seth Gueko,False
Booba,Lunatic,2,2,23420,35,326,-1.1839202092356202,-3.3441613342559395,404Billy,False
Booba,Lunatic,2,3,23051,26,326,-1.5382030918564167,-2.91681814318931,Maj Trafyk,False
Booba,Lunatic,2,4,22987,1,326,-3.0923516359624403,-3.0923516359624403,Lunatic,True
Booba,Lunatic,2,5,23381,23,326,-1.54908462094213,-2.9737949945437747,Jack Uzi,False
Booba,Lunatic,2,6,23044,56,326,-1.0074030769584807,-3.101475982988065,Hayce Lemsi,False
Booba,Lunatic,2,7,23165,5,326,-2.243042129349062,-3.7303348917927868,Kaaris,False
Booba,Lunatic,2,8,23084,3,326,-2.4203725847036504,-3.1931502659564903,Seth Gueko,False
Booba,Lunatic,2,9,23242,7,326,-2.266829755766424,-3.173143292747889,404Billy,False
Kool Shen,Suprême NTM,2,0,15434,5,326,-2.1961975147109163,-3.444081941288849,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,1,15434,28,326,-1.5112989085880604,-2.925091882418658,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,2,15434,9,326,-1.9225214850121797,-3.218630992375937,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,3,15434,33,326,-1.4195068457219024,-2.970067760283265,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,4,15434,24,326,-1.4723899984002804,-2.774184223279559,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,5,15434,9,326,-1.9300031360919476,-3.098857198028798,TSR Crew,False
Kool Shen,Suprême NTM,2,6,15434,13,326,-1.70084747180139,-3.069566285838651,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,7,15434,53,326,-0.9815870791069143,-3.4860274594002636,TSR Crew,False
Kool Shen,Suprême NTM,2,8,15434,26,326,-1.5087676159180647,-3.3831223253717977,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,9,15434,16,326,-1.7185917270529172,-3.0794067889471717,Octobre Rouge,False
Kery James,Ideal J,2,0,23925,5,326,-2.417843050260734,-2.6684355880443538,Keny Arkana,False
Kery James,Ideal J,2,1,23073,4,326,-2.367185883801815,-2.8728581333104053,Keny Arkana,False
Kery James,Ideal J,2,2,23100,11,326,-1.9262334555274347,-2.83048878053474,Rocé (FRA),False
Kery James,Ideal J,2,3,23663,2,326,-2.5531624582727885,-2.639370463197642,Rocé (FRA),False
Kery James,Ideal J,2,4,23090,4,326,-2.2373117117889323,-2.9644513445001475,Rocé (FRA),False
Kery James,Ideal J,2,5,23521,3,326,-2.5122630270322857,-2.6784309521199363,Rocé (FRA),False
Kery James,Ideal J,2,6,23245,2,326,-2.3589185104524413,-2.6899521641063333,Rocé (FRA),False
Kery James,Ideal J,2,7,23354,5,326,-2.2669088178773524,-2.572844192107893,Rocé (FRA),False
Kery James,Ideal J,2,8,23623,2,326,-2.6726925932518806,-2.887739171369837,Rocé (FRA),False
Kery James,Ideal J,2,9,23484,10,326,-2.2039740858591768,-2.6525229602264515,Rocé (FRA),False
Rockin’ Squat,Assassin (FRA),2,0,23303,1,326,-3.296905594499186,-3.296905594499186,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,1,23087,1,326,-3.3052594946034164,-3.3052594946034164,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,2,23137,1,326,-2.992531729770309,-2.992531729770309,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,3,23055,1,326,-3.8585554192886042,-3.8585554192886042,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,4,23312,1,326,-3.2852397744819264,-3.2852397744819264,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,5,23576,1,326,-3.174550359767888,-3.174550359767888,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,6,23128,1,326,-4.297344071145855,-4.297344071145855,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,7,22972,2,326,-3.1296668804643253,-3.130886331462648,IAM,False
Rockin’ Squat,Assassin (FRA),2,8,23350,1,326,-3.312462219673044,-3.312462219673044,Assassin (FRA),True
Rockin’ Squat,Assassin (FRA),2,9,23174,1,326,-3.3123913060199013,-3.3123913060199013,Assassin (FRA),True
Akhenaton,IAM,3,0,23318,1,326,-2.925177339941348,-2.925177339941348,IAM,True
Akhenaton,IAM,3,1,23266,1,326,-2.8143134701290857,-2.8143134701290857,IAM,True
Akhenaton,IAM,3,2,23613,3,326,-2.5662456977835406,-2.6507730511182963,Lucio Bukowski,False
Akhenaton,IAM,3,3,23507,1,326,-3.3522989011463813,-3.3522989011463813,IAM,True
Akhenaton,IAM,3,4,22964,1,326,-3.293925218418281,-3.293925218418281,IAM,True
Akhenaton,IAM,3,5,23370,3,326,-2.553697020193551,-2.7365000939596085,Fayçal,False
Akhenaton,IAM,3,6,23224,2,326,-2.660736412282203,-2.988511906643874,Fayçal,False
Akhenaton,IAM,3,7,23556,2,326,-2.751002490969423,-2.937343903109585,Fayçal,False
Akhenaton,IAM,3,8,23023,1,326,-2.941751681867325,-2.941751681867325,IAM,True
Akhenaton,IAM,3,9,23001,1,326,-2.9905925771955424,-2.9905925771955424,IAM,True
Nekfeu,S-Crew,3,0,23985,11,326,-1.7669300482448906,-2.3330186743612127,Lacraps,False
Nekfeu,S-Crew,3,1,23007,67,326,-0.9195717109259718,-2.9237827938752496,Lonepsi,False
Nekfeu,S-Crew,3,2,23141,41,326,-1.2093888703926579,-2.6910136416702586,Swift Guad,False
Nekfeu,S-Crew,3,3,23166,77,326,-0.7985627639982484,-2.422072167160583,Lord Esperanza,False
Nekfeu,S-Crew,3,4,23515,22,326,-1.6453976843277809,-2.3169619347269785,Ali (FRA),False
Nekfeu,S-Crew,3,5,23238,18,326,-1.61655658961437,-2.978309959149258,5 Majeur,False
Nekfeu,S-Crew,3,6,23480,83,326,-0.7408964356539656,-2.6697658623215457,Dooz Kawa,False
Nekfeu,S-Crew,3,7,23047,60,326,-0.9499215501691104,-2.7596970868605903,5 Majeur,False
Nekfeu,S-Crew,3,8,23719,49,326,-1.133443200160228,-2.629081658824358,Scylla,False
Nekfeu,S-Crew,3,9,23088,8,326,-1.8326436874821208,-2.984547216207568,Lonepsi,False
Tunisiano,Sniper,3,0,17455,5,326,-2.2982591219789428,-2.7318424229988394,Fayçal,False
Tunisiano,Sniper,3,1,17455,41,326,-1.278646500580803,-2.640042546998653,Fayçal,False
Tunisiano,Sniper,3,2,17455,12,326,-1.8809785997929103,-2.3697475104869024,Salif,False
Tunisiano,Sniper,3,3,17455,5,326,-2.1554426327490974,-2.6408968524622796,Rocé (FRA),False
Tunisiano,Sniper,3,4,17455,17,326,-1.6814899607809746,-2.600264658835204,Fayçal,False
Tunisiano,Sniper,3,5,17455,28,326,-1.4092750946268582,-2.7145585276210205,IAM,False
Tunisiano,Sniper,3,6,17455,14,326,-1.8139157495332294,-2.6654256674884085,IAM,False
Tunisiano,Sniper,3,7,17455,90,326,-0.6589931165362849,-2.5129406058445003,Rocé (FRA),False
Tunisiano,Sniper,3,8,17455,11,326,-2.000506795277369,-2.601519963597467,Fayçal,False
Tunisiano,Sniper,3,9,17455,13,326,-1.8304885135532334,-2.5426697325070777,Kery James,False
Jazzy Bazz,L’Entourage,5,0,20949,65,326,-0.8410663623262926,-2.887381885592979,VII,False
Jazzy Bazz,L’Entourage,5,1,20949,60,326,-0.9353949556841437,-2.991999530156343,Fayçal,False
Jazzy Bazz,L’Entourage,5,2,20949,38,326,-1.2627375118659396,-2.8106190847253436,Lonepsi,False
Jazzy Bazz,L’Entourage,5,3,20949,93,326,-0.5853024796566061,-2.8188250916413367,Fayçal,False
Jazzy Bazz,L’Entourage,5,4,20949,88,326,-0.5896693168466661,-2.665593580411936,VII,False
Jazzy Bazz,L’Entourage,5,5,20949,61,326,-0.9956137154327357,-3.0656326288119913,Fayçal,False
Jazzy Bazz,L’Entourage,5,6,20949,75,326,-0.7664081127262805,-2.7142134600211967,Lonepsi,False
Jazzy Bazz,L’Entourage,5,7,20949,87,326,-0.6069077778552368,-2.8880233658511463,Fayçal,False
Jazzy Bazz,L’Entourage,5,8,20949,89,326,-0.551468641790013,-2.7887385081389042,Fayçal,False
Jazzy Bazz,L’Entourage,5,9,20949,79,326,-0.7152499198320132,-2.7651225877675856,Fayçal,False
Deen Burbigo,L’Entourage,5,0,23336,54,326,-0.9557066853351652,-3.1476831726497654,Alpha Wann,False
Deen Burbigo,L’Entourage,5,1,23327,4,326,-2.802961959475586,-3.390461788432666,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,2,23651,15,326,-1.7895178235541964,-2.8807790425685167,Alpha Wann,False
Deen Burbigo,L’Entourage,5,3,23429,17,326,-1.6989305460978221,-2.81773308042773,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,4,23176,6,326,-2.2268381448544927,-3.075565833218347,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,5,23615,14,326,-1.9342416759171728,-3.264577480502633,Octobre Rouge,False
Deen Burbigo,L’Entourage,5,6,23206,28,326,-1.3446494838567422,-3.0964003811804166,​​okis,False
Deen Burbigo,L’Entourage,5,7,23512,18,326,-1.6565601902360592,-3.2945678043788282,Mysa,False
Deen Burbigo,L’Entourage,5,8,23219,8,326,-2.349712562850975,-3.0890595956672744,Népal,False
Deen Burbigo,L’Entourage,5,9,23176,10,326,-2.0479157810130197,-3.1861274685416707,Octobre Rouge,False
Nekfeu,1995,6,0,23021,54,326,-1.0663381913902747,-2.539389072224943,Lonepsi,False
Nekfeu,1995,6,1,23373,19,326,-1.6442147019568343,-2.641622462518047,Fayçal,False
Nekfeu,1995,6,2,23527,8,326,-1.983940405698586,-2.2603776461373952,Manau,False
Nekfeu,1995,6,3,23409,6,326,-2.119673704667198,-2.450138994465412,Fayçal,False
Nekfeu,1995,6,4,23139,57,326,-1.0238615845859127,-2.3158101495036143,Boostee,False
Nekfeu,1995,6,5,23001,19,326,-1.5783684454504723,-2.536169376167218,L’Entourage,False
Nekfeu,1995,6,6,23147,56,326,-0.9783091309920336,-2.2350809096898314,Scylla,False
Nekfeu,1995,6,7,23248,10,326,-1.8988614207703147,-3.4630854427242124,5 Majeur,False
Nekfeu,1995,6,8,23066,32,326,-1.3056269965802525,-2.5002526607486533,Lonepsi,False
Nekfeu,1995,6,9,23596,37,326,-1.3209315547871197,-2.546619300407795,Lonepsi,False
Alpha Wann,1995,6,0,23059,9,326,-1.9533717141009321,-2.849231453252477,X-Men,False
Alpha Wann,1995,6,1,23225,3,326,-2.5368310558414917,-3.0037323097182256,X-Men,False
Alpha Wann,1995,6,2,22988,3,326,-2.441286516547661,-2.953887258070556,X-Men,False
Alpha Wann,1995,6,3,23313,2,326,-2.830314196796856,-3.0059931605433676,X-Men,False
Alpha Wann,1995,6,4,23129,10,326,-1.9285775444193751,-3.008578574400428,X-Men,False
Alpha Wann,1995,6,5,23123,3,326,-2.534907357254017,-2.953184890829386,X-Men,False
Alpha Wann,1995,6,6,22961,5,326,-2.153490233181851,-3.139873647053616,X-Men,False
Alpha Wann,1995,6,7,23230,10,326,-1.9385052542452468,-2.9817865955896834,X-Men,False
Alpha Wann,1995,6,8,23076,4,326,-2.2229494412948947,-3.164949004465164,X-Men,False
Alpha Wann,1995,6,9,23282,2,326,-2.505151820494248,-2.967812223426809,X-Men,False
Black M,Sexion d’Assaut,8,0,23483,42,326,-1.2257618056724988,-3.204526360435716,Dadju,False
Black M,Sexion d’Assaut,8,1,23364,89,326,-0.6026766484581405,-3.1473387733032205,Franglish,False
Black M,Sexion d’Assaut,8,2,23649,114,326,-0.4307861463693974,-3.0099591835099466,Ridsa,False
Black M,Sexion d’Assaut,8,3,23010,83,326,-0.669583704113518,-3.4154911390817917,Franglish,False
Black M,Sexion d’Assaut,8,4,23028,23,326,-1.4075820995661232,-2.7039159551341005,Franglish,False
Black M,Sexion d’Assaut,8,5,23280,57,326,-1.0034666273249147,-3.3112675263091846,Ridsa,False
Black M,Sexion d’Assaut,8,6,23205,174,326,0.08544878558868801,-3.008438254379183,Franglish,False
Black M,Sexion d’Assaut,8,7,23272,67,326,-0.8858027220306163,-3.243544602193706,Ridsa,False
Black M,Sexion d’Assaut,8,8,23697,30,326,-1.280714852476267,-3.1947800971340654,Ridsa,False
Black M,Sexion d’Assaut,8,9,23351,142,326,-0.17274678530484705,-3.2077846405264494,Ridsa,False
Lefa,Sexion d’Assaut,8,0,23253,272,326,0.9950550427347608,-3.14542722391207,Lycos,False
Lefa,Sexion d’Assaut,8,1,23209,43,326,-1.0930457624722358,-3.238018322176335,OrelSan,False
Lefa,Sexion d’Assaut,8,2,22969,101,326,-0.4500273731976941,-2.687960944095103,Hatik,False
Lefa,Sexion d’Assaut,8,3,23417,83,326,-0.6592093608040566,-2.985332682035168,Spider ZED,False
Lefa,Sexion d’Assaut,8,4,23265,14,326,-1.8047762523234168,-4.215703580002271,Nahir,False
Lefa,Sexion d’Assaut,8,5,23231,12,326,-1.745455410064332,-3.2992536942088875,Nahir,False
Lefa,Sexion d’Assaut,8,6,23113,159,326,-0.04442076563880871,-3.905811376229483,Nahir,False
Lefa,Sexion d’Assaut,8,7,23007,131,326,-0.2149598229000882,-3.5673535076977574,Spider ZED,False
Lefa,Sexion d’Assaut,8,8,23507,103,326,-0.4789878874473321,-3.5647768367645685,Spider ZED,False
Lefa,Sexion d’Assaut,8,9,23047,141,326,-0.2335618841821288,-3.0152910371926724,Nahir,False
