solo,groupe,n_rappeurs,rang_median,rang_min,rang_max,sep_moy,sep_top1_moy,taux_rang1,n_candidats
Akhenaton,IAM,3,1.0,1,3,-2.884974080992668,-2.963118814352933,0.6,326
Rockin’ Squat,Assassin (FRA),2,1.0,1,2,-3.3964906849714454,-3.396612630071278,0.9,326
Alpha Wann,1995,6,3.5,2,10,-2.3045385134176573,-3.0029029117349713,0.0,326
Kery James,Ideal J,2,4.0,2,11,-2.3516493594124843,-2.745709374951774,0.0,326
Tunisiano,Sniper,3,13.5,5,90,-1.7007996085409705,-2.601990848884035,0.0,326
Deen Burbigo,L’Entourage,5,14.5,4,54,-1.8807034853191233,-3.1242955647567845,0.0,326
Booba,Lunatic,2,15.0,1,56,-1.9662111655935575,-3.208260152535879,0.1,326
Kool Shen,Suprême NTM,2,20.0,5,53,-1.6361711782404573,-3.1449036857232953,0.0,326
Nekfeu,1995,6,25.5,6,57,-1.4920126136879,-2.548854601458712,0.0,326
Nekfeu,S-Crew,3,45.0,8,83,-1.2613312540969344,-2.6708250995157603,0.0,326
Black M,Sexion d’Assaut,8,75.0,23,174,-0.7593672605727635,-3.144704653200736,0.0,326
Jazzy Bazz,L’Entourage,5,77.0,38,93,-0.7849818794015928,-2.839614972311876,0.0,326
Lefa,Sexion d’Assaut,8,102.0,12,272,-0.5729389476295332,-3.362492920431431,0.0,326
