artiste,annee_rupture,rep,rang_periode_apres,n_candidats,sep_cible,sep_top1,trouve_rang1,mots_avant,mots_apres,groupe,libelle
Ateyaba,2016.0,0,1,327,-5.109849603855362,-5.109849603855362,True,21448,12312,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,1,1,327,-4.919459551230675,-4.919459551230675,True,21448,12312,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,2,1,327,-5.031607850359614,-5.031607850359614,True,21448,12103,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,3,1,327,-5.274198935473917,-5.274198935473917,True,21448,12110,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,4,1,327,-5.076993749836409,-5.076993749836409,True,21448,12133,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,5,1,327,-5.299145586178919,-5.299145586178919,True,21448,12312,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,6,1,327,-4.845612731347669,-4.845612731347669,True,21448,12053,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,7,1,327,-4.874476926399549,-4.874476926399549,True,21448,12082,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,8,1,327,-4.985169751442984,-4.985169751442984,True,21448,12053,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,9,1,327,-5.171859458265452,-5.171859458265452,True,21448,12312,changement d'identité,Joke → Ateyaba
Gims,2019.0,0,5,327,-2.87465132204279,-3.9566958622292234,False,23179,12243,changement d'identité,Maître Gims → Gims
Gims,2019.0,1,9,327,-2.1982646254700566,-3.9949100825336217,False,23038,12335,changement d'identité,Maître Gims → Gims
Gims,2019.0,2,11,327,-2.1552379605388325,-4.2170216527732025,False,22970,12428,changement d'identité,Maître Gims → Gims
Gims,2019.0,3,6,327,-2.946140612328564,-4.06770198395472,False,23044,12411,changement d'identité,Maître Gims → Gims
Gims,2019.0,4,7,327,-2.752106156457852,-3.9358323216711106,False,23149,12323,changement d'identité,Maître Gims → Gims
