groupe,libelle,rang_median,sep_cible,taux_rang1
changement d'identité,Joke → Ateyaba,1.0,-5.058837414439055,1.0
changement d'identité,Disiz la Peste → Disiz,2.0,-2.8967034966889855,0.3
changement d'identité,Maître Gims → Gims,6.5,-2.5667882022419177,0.0
sans changement,3010,1.0,-5.233419031418061,1.0
sans changement,A2H,1.0,-4.665260596627238,1.0
sans changement,Abd Al Malik,1.0,-3.9203650845787594,1.0
sans changement,Alonzo,1.0,-3.2943739113907955,0.75
sans changement,Bekar,1.0,-3.612913491635903,1.0
sans changement,Bolémvn,1.0,-4.0313764951874145,1.0
sans changement,D. Ace,1.0,-3.565953823777726,1.0
sans changement,Demi Portion,1.0,-3.9052416725606705,1.0
sans changement,F430,1.0,-3.7655643812677653,1.0
sans changement,Grand Corps Malade,1.0,-3.9753840417748045,1.0
sans changement,Guizmo,1.0,-3.682930075831294,1.0
sans changement,Jack Uzi,1.0,-7.730876762383681,1.0
sans changement,Kekra,1.0,-3.819907951072609,1.0
sans changement,Krisy,1.0,-3.367961485383052,0.75
sans changement,Lefa,1.0,-3.8808321314245253,1.0
sans changement,Lonepsi,1.0,-4.701719694583535,1.0
sans changement,MC Solaar,1.0,-3.6893295785748785,1.0
sans changement,MZ,1.0,-4.714635068898728,1.0
sans changement,Maes,1.0,-3.7416851846538566,1.0
sans changement,Mister You,1.0,-4.615605429885282,1.0
sans changement,Moha La Squale,1.0,-7.054403671881251,1.0
sans changement,Niro,1.0,-3.9494710000725233,1.0
sans changement,PSO Thug,1.0,-3.7108185021262665,1.0
sans changement,Panama Bende,1.0,-3.458260812904465,1.0
sans changement,Rockin’ Squat,1.0,-3.5133597486393335,0.75
sans changement,Sefyu,1.0,-3.2606184678708665,1.0
sans changement,Spider ZED,1.0,-5.178715471346192,1.0
sans changement,Swift Guad,1.0,-2.9758414498874926,1.0
sans changement,TSR Crew,1.0,-3.786251122846844,0.75
sans changement,Taïpan,1.0,-4.036094032928862,1.0
sans changement,Therapie TAXI,1.0,-7.652322326080578,1.0
sans changement,Timal,1.0,-3.5626945460967923,1.0
sans changement,YL,1.0,-4.886459492947729,1.0
sans changement,Zkr,1.0,-3.3411326052764334,1.0
sans changement,Grems,1.5,-2.98703331204824,0.5
sans changement,Oxmo Puccino,2.0,-2.4138642082219297,0.25
sans changement,Rim’K,3.0,-2.397246897965182,0.0
sans changement,Bigflo & Oli,3.5,-2.434574624520377,0.25
sans changement,Soprano,4.0,-2.110321281413092,0.0
sans changement,Psy 4 de la Rime,6.5,-2.150262594084179,0.0
sans changement,Ol’ Kainry,11.5,-1.8519579806627704,0.0
sans changement,Caballero,13.5,-1.8380223625864194,0.0
sans changement,Chilla,17.0,-1.7745847716731171,0.0
sans changement,Sadek,25.0,-1.264565555305501,0.0
sans changement,Deen Burbigo,31.0,-1.2240108140405066,0.0
