rep,rang_cible,n_candidats,sep_cible,sep_top1,top1,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,variante
0,143,327,-0.16884689309666137,-2.4638742638885,Beendo Z,2,1,9,4,14,textes complets
1,197,327,0.33102306742692994,-2.4866785069119306,UZI (FRA),3,2,11,4,15,textes complets
2,91,327,-0.6734574994062381,-2.2718291343363246,ISK,4,6,1,9,10,textes complets
3,146,327,-0.20789014320115062,-2.531519808448394,Kerchak,1,5,7,12,2,textes complets
4,87,327,-0.6874301632939367,-2.3303144729536474,Kerchak,1,3,23,10,5,textes complets
5,169,327,0.030363267666826222,-2.4230767083361293,UZI (FRA),2,3,8,4,17,textes complets
6,66,327,-0.8698190031917217,-2.3686851951314485,Zkr,2,4,8,5,1,textes complets
7,138,327,-0.2252995155706093,-2.4190851233014907,Roshi,6,2,36,3,4,textes complets
8,162,327,-0.05298979032894747,-2.4806127830471643,Kerchak,1,2,7,5,13,textes complets
9,140,327,-0.20012787277828034,-2.340280762293479,UZI (FRA),3,10,12,5,4,textes complets
10,156,327,-0.0783774318970474,-2.368555000531115,Beendo Z,3,1,6,4,18,textes complets
11,136,327,-0.19048177508177386,-2.2598908271725286,Beendo Z,5,1,7,6,3,textes complets
12,157,327,-0.038368245550673176,-2.5865413884175315,Beendo Z,3,1,10,2,26,textes complets
13,138,327,-0.23136149023907382,-2.4509385901239713,UZI (FRA),4,2,21,5,7,textes complets
14,154,327,-0.025530879686889052,-2.3309670411037793,Beendo Z,2,1,5,4,7,textes complets
15,134,327,-0.2797750679787187,-2.478151068595822,UZI (FRA),2,9,12,5,8,textes complets
16,148,327,-0.07454715670601972,-2.3281984506664815,Fresh laDouille,6,3,5,13,12,textes complets
17,72,327,-0.8263788986546391,-2.8144853180357936,Beendo Z,3,1,10,9,8,textes complets
18,89,327,-0.6852935315103287,-2.404389810128365,Beendo Z,5,1,4,2,19,textes complets
19,154,327,-0.09328159646560759,-2.3171539101208127,UZI (FRA),5,2,3,10,8,textes complets
20,63,327,-0.8856487639633281,-2.5610954613837884,ISK,4,2,1,10,8,textes complets
21,135,327,-0.22581147019009232,-2.3358648690382675,UZI (FRA),3,6,5,13,17,textes complets
22,65,327,-0.9273019063839824,-2.288308910133304,Kerchak,1,6,8,2,3,textes complets
23,144,327,-0.2571241589106202,-2.3100710099349717,Beendo Z,3,1,12,4,16,textes complets
24,78,327,-0.7934223148933551,-2.5242480169346395,Zkr,2,8,31,3,1,textes complets
25,127,327,-0.34011974915004645,-2.250840556373358,Beendo Z,6,1,2,8,5,textes complets
26,110,327,-0.45076407282738096,-2.3980508597872396,Werenoi,2,11,7,1,4,textes complets
27,131,327,-0.28661681710222753,-2.5002945986769505,Beendo Z,2,1,4,3,16,textes complets
28,139,327,-0.23251257940836828,-2.543269445101804,Beendo Z,5,1,29,2,11,textes complets
29,98,327,-0.6162797523502663,-2.3388339212947984,Maes,5,4,18,6,2,textes complets
0,164,326,0.06540533998561635,-2.2903322729024365,Beendo Z,4,1,9,2,15,sans ad-libs entre parenthèses
1,124,326,-0.3397983449287494,-2.710687570896831,Werenoi,2,8,9,1,13,sans ad-libs entre parenthèses
2,146,326,-0.13411867280770423,-2.594196547015607,Werenoi,3,10,18,1,8,sans ad-libs entre parenthèses
3,184,326,0.19657344967665125,-2.5935297635974166,Werenoi,4,3,13,1,2,sans ad-libs entre parenthèses
4,133,326,-0.2796666979041368,-2.508042615829187,Kerchak,1,5,4,2,9,sans ad-libs entre parenthèses
5,88,326,-0.6750553665475906,-2.498486439754323,Werenoi,3,7,2,1,14,sans ad-libs entre parenthèses
6,100,326,-0.6011909754641998,-2.4648481873170476,Zkr,4,7,9,2,1,sans ad-libs entre parenthèses
7,161,326,0.018816817376190363,-2.400933203716168,ASHE 22,2,10,9,4,15,sans ad-libs entre parenthèses
8,129,326,-0.30771686394519493,-2.450252902602939,Kerchak,1,4,18,2,3,sans ad-libs entre parenthèses
9,143,326,-0.15823464694316455,-2.528897535320205,Werenoi,2,3,6,1,24,sans ad-libs entre parenthèses
10,149,326,-0.11684606920178604,-2.699414298360404,Werenoi,6,5,4,1,3,sans ad-libs entre parenthèses
11,150,326,-0.14244778268944877,-2.467562234798411,Beendo Z,3,1,8,4,15,sans ad-libs entre parenthèses
12,111,326,-0.4350868356352722,-2.459707608394194,Beendo Z,3,1,22,2,11,sans ad-libs entre parenthèses
13,130,326,-0.31091307747918845,-2.409172001117915,Beendo Z,2,1,4,3,7,sans ad-libs entre parenthèses
14,149,326,-0.0830798052260479,-2.6143798635083204,UZI (FRA),2,4,27,3,12,sans ad-libs entre parenthèses
15,130,326,-0.3489719964161364,-2.6960684208888557,Werenoi,3,5,19,1,21,sans ad-libs entre parenthèses
16,115,326,-0.4370077546492261,-2.628178608549092,Werenoi,5,2,10,1,6,sans ad-libs entre parenthèses
17,140,326,-0.14977581849153165,-2.475172152825089,Werenoi,2,6,13,1,3,sans ad-libs entre parenthèses
18,108,326,-0.5298371191120255,-2.511356731054613,Beendo Z,2,1,10,3,32,sans ad-libs entre parenthèses
