artiste,distance_naive,n_tokens_corpus,rang_naif,distance_controlee,rang_controle,ecart_de_rang
ISK,0.04132947313311797,47526,1,0.8174153638917365,2,1
Niro,0.04313176783993222,127616,2,0.8482009204125011,12,10
Sadek,0.04650727761581863,103207,3,0.965585648014303,131,128
Ninho,0.04735776437963979,84429,4,0.9051991017236614,56,52
Zkr,0.048020498286115654,74720,5,0.8366268303929805,10,5
PLK,0.04848031745359305,83774,6,0.9020072157848542,52,46
SCH,0.048866698601571334,67290,7,0.8713435820950454,22,15
GLK,0.050088553212547016,53303,8,0.88867490970485,35,27
Lacrim,0.050265543732170626,102471,9,0.8879338062276135,34,25
S-Crew,0.05042665430473614,70304,10,0.9390469544372914,89,79
Sofiane,0.05070747310478452,73217,11,0.9496924751054753,108,97
Deen Burbigo,0.050856722232803575,44455,12,0.9278721565869801,76,64
Beeby,0.05170146414765531,62467,13,0.9943879107403385,170,157
S.Pri Noir,0.052558924227229076,39943,14,0.9484158172228094,106,92
Hugo TSR,0.0531509594148436,41340,15,0.9398260879370697,92,77
Bekar,0.05363065791298682,44130,16,0.9314399338074059,82,66
Vald,0.05379490948556387,132330,17,0.9978120653696892,176,159
Nahir,0.054002374404163334,37202,18,0.8911572815043929,39,21
Guizmo,0.054224087307706004,153169,19,0.9254175252395839,75,56
Vin’s,0.05530084968006388,43642,20,1.045225126978268,257,237
​DA Uzi,0.05540392055293952,66241,21,0.8345122486541051,6,-15
JuL,0.05540519601697713,509280,22,0.8879279095766002,33,11
Hornet La Frappe,0.05544835448061147,52941,23,0.9376827096038364,88,65
Mister You,0.05552583317161375,65678,24,0.900612920517819,50,26
Jarod,0.05754693240718456,101341,25,0.947261439449295,105,80
Niaks,0.0581708490464794,22980,26,0.8775254865147131,26,0
Sam’s,0.0582647421654211,46932,27,0.9688080162184803,139,112
Timal,0.058329480212071294,50332,28,0.9001079111659684,49,21
Zikxo,0.05892649305309938,67140,29,0.9574423948450824,117,88
La Fouine,0.05894896951023543,158711,30,0.9546144563639218,116,86
13 Block,0.05915052547525412,55918,31,0.9698795624656968,140,109
Worms-T,0.05922840877935032,16250,32,0.8508365810318208,13,-19
4Keus,0.05945792042492304,30190,33,0.896644909397371,45,12
Alonzo,0.05989884986441241,76711,34,0.9891819465868864,167,133
Seth Gueko,0.060017116474310406,89509,35,0.8836445414485693,30,-5
OrelSan,0.06045641453529438,64484,36,0.9617704774102552,125,89
Bigflo & Oli,0.06060521472599445,90439,37,1.0214388817530176,225,188
Sexion d’Assaut,0.06109076199892005,153639,38,1.0164248852402131,213,175
Elh Kmer,0.06111635812613403,33766,39,0.9435797089672897,97,58
YL,0.06119430789063429,68177,40,0.9575644882530238,118,78
Souffrance,0.06187835768655048,26018,41,0.9436356771523192,99,58
Nekfeu,0.061894395390823975,89315,42,1.0492660227647959,262,220
Lacraps,0.062069093750143356,51944,43,0.9790918205024063,155,112
Dosseh,0.06261053803670946,84905,44,0.9285150738720253,78,34
Sopico,0.0630624810027467,49135,45,0.8788999778955088,27,-18
Bosh,0.06313902473045574,27759,46,0.9155224586056109,63,17
F430,0.06316269151431508,26614,47,0.8958648477104512,43,-4
Werenoi,0.06363469361250307,22212,48,0.8431653849776338,11,-37
TSR Crew,0.06375657201850515,48086,49,1.068693712413095,293,244
Svinkels,0.06402180475157504,61499,50,0.9153091566619416,62,12
Zesau,0.06403243353322963,22149,51,0.9777477955076131,152,101
Landy,0.06463440156115552,25525,52,0.8582440634118611,16,-36
Ademo,0.06474678707958614,27084,53,0.9392241837349595,90,37
Djadja & Dinaz,0.06512080586103464,86397,54,0.9137666615189008,60,6
Swift Guad,0.06516306581058184,122369,55,0.9761079784207167,149,94
UZI (FRA),0.06524201963966991,25414,56,0.8348943790903416,8,-48
Maes,0.06528089049425745,48952,57,0.8347660055804258,7,-50
Panama Bende,0.0653095072850094,23361,58,0.9237799056212178,71,13
Jeff Le Nerf,0.06545262897955195,24802,59,0.9537793073378157,114,55
Lujipeka,0.0654981922960216,32411,60,1.0436326500532829,252,192
Casseurs Flowters,0.06616902967559457,28913,61,0.9507704169849839,109,48
Népal,0.06653452836740215,23294,62,0.9682783727090845,135,73
Niska,0.06690161161936115,51868,63,0.9802737219707861,158,95
Booba,0.06721498167563222,97214,64,1.0300966114772327,237,173
