rep,artiste,A_naive,B_taille_controlee,C_protocole
0,13 Block,87,14,1
0,3010,1,1,1
0,404Billy,2,1,1
0,A2H,24,2,1
0,Akhenaton,2,1,1
0,Aladin 135,3,1,1
0,Alkpote,1,1,1
0,Alonzo,16,1,1
0,Alpha Wann,1,1,1
0,Ateyaba,1,1,1
0,Beeby,16,1,1
0,Bekar,33,4,1
0,Bigflo & Oli,18,1,1
0,Black M,32,4,1
0,Booba,4,1,1
0,Busta Flex,29,2,1
0,Caballero,7,1,1
0,D. Ace,23,1,1
0,DTF,1,1,1
0,Dadju,1,1,1
0,Damso,1,1,1
0,Davodka,1,1,1
0,Deen Burbigo,18,1,1
0,Demi Portion,8,1,1
0,Despo Rutti,10,1,1
0,Diam’s,263,183,1
0,Dibson,1,1,1
0,Dinos,1,1,1
0,Disiz,35,3,1
0,Djadja & Dinaz,6,1,1
0,Dooz Kawa,2,1,1
0,Dosseh,22,1,1
0,Elams,25,1,1
0,Fabe,5,1,1
0,Fonky Family,14,3,1
0,Franglish,2,1,1
0,Freeze Corleone,1,1,1
0,Furax Barbarossa,1,1,1
0,GLK,65,10,1
0,Georgio,15,1,1
0,Gims,9,1,1
0,Gradur,13,1,1
0,Grand Corps Malade,13,2,1
0,Grems,8,1,1
0,Guizmo,44,5,1
0,Hamza,2,1,1
0,Hatik,3,1,1
0,Hayce Lemsi,1,1,1
0,Hippocampe Fou,20,2,1
0,Hooss,1,1,1
0,Hornet La Frappe,45,3,1
0,Hugo TSR,2,1,1
0,IAM,2,1,2
0,ISK,2,1,1
0,Jarod,4,1,1
0,Jok’Air,35,1,1
0,Jorrdee,1,1,1
0,Josman,1,1,1
0,JuL,19,1,1
0,KIK,71,12,1
0,Kaaris,13,1,1
0,Kalash Criminel,1,1,1
0,Kamikaz,1,1,1
0,KeBlack,4,1,1
0,Kekra,21,2,1
0,Keny Arkana,1,1,1
0,Kery James,27,6,2
0,Klub des Loosers,1,1,1
0,Koba LaD,1,1,1
0,Kofs,3,1,1
0,Krisy,1,1,1
0,La Fouine,233,129,1
0,La Fève,1,1,1
0,La Rumeur,1,1,1
0,Lacraps,1,1,1
0,Lacrim,3,1,1
0,Lartiste,174,58,2
0,Laylow,4,1,1
0,Lefa,5,1,1
0,Les Sages Poètes de la Rue,3,1,1
0,Leto,1,1,1
0,Lomepal,1,1,1
