rep,features,metric,rang,artiste,distance
0,mfw,cosine_delta,1,Werenoi,0.7335849761653443
0,mfw,cosine_delta,2,Lemon Haze,0.7456013856302324
0,mfw,cosine_delta,3,Fresh laDouille,0.7490113969268839
0,mfw,cosine_delta,4,Rimkus,0.7637163382329567
0,mfw,cosine_delta,5,Kerchak,0.7857337803668002
0,mfw,cosine_delta,6,Soso Maness,0.7863235909935067
0,mfw,cosine_delta,7,Roshi,0.7923043379952719
0,mfw,cosine_delta,8,ISK,0.7925014262946408
0,mfw,cosine_delta,9,Hatik,0.7944775349692756
0,mfw,cosine_delta,10,Lacrim,0.7989853677861004
0,mfw,cosine_delta,11,Dika,0.8010618163076064
0,mfw,cosine_delta,12,Hornet La Frappe,0.8041588608783758
0,mfw,cosine_delta,13,Graya,0.8085315780422867
0,mfw,cosine_delta,14,So La Lune,0.8132728713001791
0,mfw,cosine_delta,15,JuL,0.8134552768779734
0,mfw,cosine_delta,16,SDM,0.8163050985001025
0,mfw,cosine_delta,17,Koba LaD,0.819925359580514
0,mfw,cosine_delta,18,S-Pion,0.8217842975215336
0,mfw,cosine_delta,19,SCH,0.8244973803333917
0,mfw,cosine_delta,20,Maes,0.8287863060153198
0,mfw,cosine_delta,21,UZI (FRA),0.8293801204489303
0,mfw,cosine_delta,22,Zola,0.8315181807452111
0,mfw,cosine_delta,23,Beendo Z,0.8367681300257341
0,mfw,cosine_delta,24,Worms-T,0.8369405437033203
0,mfw,cosine_delta,25,​DA Uzi,0.8389000478963816
0,mfw,burrows_delta,1,Lacrim,0.6755043133624224
0,mfw,burrows_delta,2,ISK,0.6764963804131361
0,mfw,burrows_delta,3,SCH,0.6926794166108763
0,mfw,burrows_delta,4,S-Pion,0.6993422531260608
0,mfw,burrows_delta,5,Dibson,0.7031557393740916
0,mfw,burrows_delta,6,Seth Gueko,0.7071360186897091
0,mfw,burrows_delta,7,Deen Burbigo,0.7085599360531762
0,mfw,burrows_delta,8,RK,0.7125528254272819
0,mfw,burrows_delta,9,Lemon Haze,0.7154120919360126
0,mfw,burrows_delta,10,Zkr,0.7168294064380728
0,mfw,burrows_delta,11,PLK,0.7179072945063695
0,mfw,burrows_delta,12,JuL,0.7203821727420971
0,mfw,burrows_delta,13,Swift Guad,0.7217317101693144
0,mfw,burrows_delta,14,Sneazzy,0.7223834995009081
0,mfw,burrows_delta,15,Rimkus,0.7270587058079482
0,mfw,burrows_delta,16,L’Animalerie,0.7271326473424218
0,mfw,burrows_delta,17,Denzo,0.7281463080746104
0,mfw,burrows_delta,18,Mister V,0.7312180816807125
0,mfw,burrows_delta,19,Guizmo,0.7312681795033511
0,mfw,burrows_delta,20,Graya,0.7316549412286386
0,mfw,burrows_delta,21,Sadek,0.734047971609352
0,mfw,burrows_delta,22,YL,0.735313362616212
0,mfw,burrows_delta,23,113,0.7372292860672229
0,mfw,burrows_delta,24,Hayce Lemsi,0.7383244535215147
0,mfw,burrows_delta,25,Hatik,0.739246721437474
0,char,cosine_delta,1,Kerchak,0.7789989348516732
0,char,cosine_delta,2,Roshi,0.8122228983118894
0,char,cosine_delta,3,Beendo Z,0.8172159448833944
0,char,cosine_delta,4,Werenoi,0.8186043955553535
0,char,cosine_delta,5,Rimkus,0.824091565162729
0,char,cosine_delta,6,Fresh laDouille,0.8364992538291973
