rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
0,mfw,cosine_delta,Werenoi,0.7335849761653443,-2.6855932178235338,0.012016409464888023
0,mfw,burrows_delta,Lacrim,0.6755043133624224,-2.1863822200694343,0.0009920670507136409
0,char,cosine_delta,Kerchak,0.7789989348516732,-2.693805078901174,0.03322396346021628
0,char,burrows_delta,L’Animalerie,0.7616846626112352,-1.9251883125029827,0.0053337542418211425
1,mfw,cosine_delta,Lemon Haze,0.7505532724688695,-2.586220760320328,0.01967052789292456
1,mfw,burrows_delta,Zkr,0.6787910486487712,-2.182332113672122,0.011624424675478306
1,char,cosine_delta,Zkr,0.8176352481877338,-2.2556512954502956,0.0018285476811293888
1,char,burrows_delta,Zkr,0.7565056390408793,-2.0478332039344838,0.00680849435707076
2,mfw,cosine_delta,SCH,0.7101857317705486,-2.965748850086093,0.05688694828597041
2,mfw,burrows_delta,Lesram,0.6981821100013167,-1.8781753067671716,0.00046997285178795867
2,char,cosine_delta,SCH,0.8111417534918501,-2.3347150367878964,0.005120297838969945
2,char,burrows_delta,L’Animalerie,0.7650560630723072,-1.886653724812008,0.01121731651766189
3,mfw,cosine_delta,Lemon Haze,0.7677686773949948,-2.397448780262923,0.0035258944033796924
3,mfw,burrows_delta,SCH,0.6911639534592022,-1.9885271751939355,0.004000570128316561
3,char,cosine_delta,UZI (FRA),0.7983834020912239,-2.5260199364242024,0.004969046256136589
3,char,burrows_delta,ISK,0.7560586734728416,-2.0631139528384197,0.014153119978494666
4,mfw,cosine_delta,Lemon Haze,0.7731218254410304,-2.3460870209436373,0.001241789302213414
4,mfw,burrows_delta,Zkr,0.6706247297204049,-2.2394492368394725,0.03718528589615688
4,char,cosine_delta,UZI (FRA),0.8026277240963683,-2.488763979078439,0.019183663761262015
4,char,burrows_delta,Zkr,0.7292279299295369,-2.372835379141087,0.036991252036129185
5,mfw,cosine_delta,Lemon Haze,0.7573915062990879,-2.4209843685117,0.006977047061379027
5,mfw,burrows_delta,4Keus,0.6919119933549457,-1.9282451830069558,0.0029490235281550703
5,char,cosine_delta,Kerchak,0.8065691907645864,-2.4115676328803604,0.0065393199805978686
5,char,burrows_delta,L’Animalerie,0.7617866929215806,-1.8843898362514215,0.0087296634670323
6,mfw,cosine_delta,Kerchak,0.7706091580326382,-2.411406909242349,1.744622799770834e-05
6,mfw,burrows_delta,SCH,0.6841505399819447,-1.9928312601598908,0.00597630771251445
6,char,cosine_delta,Kerchak,0.7943938529860861,-2.6046263640366827,0.01477183584718944
6,char,burrows_delta,Zkr,0.7490483139137867,-2.1016472433571023,0.017850430575039544
7,mfw,cosine_delta,SCH,0.7234839634531789,-2.802504861800469,0.014125190203939653
7,mfw,burrows_delta,Zkr,0.6853819757917292,-2.007908420605013,0.004004383421804869
7,char,cosine_delta,Beendo Z,0.7877133956843533,-2.6399127723618445,0.022034090336266687
7,char,burrows_delta,Ninho,0.7589460417597462,-1.9194890607448907,0.007166461372835942
8,mfw,cosine_delta,SCH,0.657453416282416,-3.6617963301647842,0.10184364711291971
8,mfw,burrows_delta,ISK,0.6753621141622325,-2.140292225963185,0.019678816551677136
8,char,cosine_delta,SCH,0.8165157930061135,-2.3149728439193034,0.004877235582789852
8,char,burrows_delta,L’Animalerie,0.7723789902101892,-1.7964734915332343,8.557313993751148e-05
9,mfw,cosine_delta,SCH,0.7504058474727379,-2.579885945306408,0.022040079688871117
9,mfw,burrows_delta,Lacrim,0.6842229879417046,-2.012985642666376,0.0036451579393580458
9,char,cosine_delta,Beendo Z,0.8039072494085093,-2.403432726911694,0.0035607868965770173
9,char,burrows_delta,Lacrim,0.7593668974493273,-1.9319175042680368,0.004394215492729003
10,mfw,cosine_delta,SCH,0.7129456113541476,-3.0069850060914103,0.037002726905350336
10,mfw,burrows_delta,Zkr,0.6716481140250583,-2.173791777013501,0.003198891034949747
10,char,cosine_delta,Beendo Z,0.806342950544083,-2.4422730828175347,0.011626320679853142
10,char,burrows_delta,Zkr,0.7447783507970756,-2.104960842726433,0.014617444339434793
11,mfw,cosine_delta,Soso Maness,0.7405022158256286,-2.697824561090336,0.015288620334091063
11,mfw,burrows_delta,Beendo Z,0.6786889673433879,-2.190893992120515,0.014855884850984324
11,char,cosine_delta,Kerchak,0.815250802236566,-2.3091412259042707,0.0023615378002000975
11,char,burrows_delta,S-Crew,0.7467372249353912,-2.066227444839075,0.01652155113352105
12,mfw,cosine_delta,Lacrim,0.7563874040204954,-2.5736752207534823,0.003465908617114266
12,mfw,burrows_delta,Lacrim,0.6758642834340075,-2.270580101963099,0.0016315792107725047
12,char,cosine_delta,Kerchak,0.8135859301010459,-2.3722040727229183,0.005762727067897377
12,char,burrows_delta,Zkr,0.7492140403341194,-2.128284826636244,0.01812720881979868
13,mfw,cosine_delta,Lemon Haze,0.7583471376681065,-2.511063167942537,0.004541430884245745
13,mfw,burrows_delta,Zkr,0.6883925456024695,-2.0551038595571054,0.023583236456930057
13,char,cosine_delta,Lesram,0.815920036307398,-2.2895934851005797,0.0042108319158278285
13,char,burrows_delta,Niro,0.7690747880934395,-1.833730797934833,0.0017514293438020134
14,mfw,cosine_delta,Lemon Haze,0.7579933751667057,-2.50473730254716,0.013364468420509645
14,mfw,burrows_delta,Zkr,0.6635074902022866,-2.413493995586042,0.031468441804965
14,char,cosine_delta,Beendo Z,0.7777770723143069,-2.804632827895187,0.026192523161468695
14,char,burrows_delta,ISK,0.7656200173757661,-1.8615234357253376,0.00028751008761995767
15,mfw,cosine_delta,Lemon Haze,0.7527428268294785,-2.5725565723787605,0.019931719376415025
15,mfw,burrows_delta,Zkr,0.6610104441831104,-2.3017015175698057,0.02642037566255262
15,char,cosine_delta,UZI (FRA),0.8054634704112476,-2.444244400601223,0.023070134202292647
15,char,burrows_delta,Zkr,0.754812519705021,-2.002035996648994,0.002474396989639027
16,mfw,cosine_delta,Maes,0.75388627222764,-2.508044234567444,0.006841189749701604
16,mfw,burrows_delta,Hayce Lemsi,0.6763023996731795,-2.0771890974676785,0.006256088020097805
16,char,cosine_delta,Zkr,0.8066402633374743,-2.372652830545997,0.00820059979239074
16,char,burrows_delta,Zkr,0.7345430952943689,-2.2419897594096505,0.02330020332767524
17,mfw,cosine_delta,SCH,0.7375777676459998,-2.6314323972255265,0.002381964218789112
17,mfw,burrows_delta,Lacrim,0.696734803725453,-1.8658569017295479,0.0020064879826875437
