rep,features,metric,rang_moitie_B,top1,sep_moitie_B
0,mfw,cosine_delta,1,Ziak__moitie_B,-3.612753011126787
0,mfw,burrows_delta,1,Ziak__moitie_B,-2.6001606569432654
0,char,cosine_delta,1,Ziak__moitie_B,-3.8384319671611467
0,char,burrows_delta,1,Ziak__moitie_B,-2.3491846938976484
1,mfw,cosine_delta,1,Ziak__moitie_B,-3.4841375208773124
1,mfw,burrows_delta,1,Ziak__moitie_B,-2.8697892485662924
1,char,cosine_delta,1,Ziak__moitie_B,-4.081632651027307
1,char,burrows_delta,1,Ziak__moitie_B,-2.3120742705067836
2,mfw,cosine_delta,1,Ziak__moitie_B,-3.2413958922109414
2,mfw,burrows_delta,1,Ziak__moitie_B,-2.5404281708932817
2,char,cosine_delta,1,Ziak__moitie_B,-3.1435850750690433
2,char,burrows_delta,1,Ziak__moitie_B,-1.9875419667057417
3,mfw,cosine_delta,1,Ziak__moitie_B,-3.1835665297354727
3,mfw,burrows_delta,1,Ziak__moitie_B,-2.0945427342551772
3,char,cosine_delta,1,Ziak__moitie_B,-3.5539798032092085
3,char,burrows_delta,6,ISK,-1.6476512728030326
4,mfw,cosine_delta,1,Ziak__moitie_B,-3.768958131718122
4,mfw,burrows_delta,1,Ziak__moitie_B,-2.6289379881044046
4,char,cosine_delta,1,Ziak__moitie_B,-4.0733047588252695
4,char,burrows_delta,2,Zkr,-1.9681100468252806
5,mfw,cosine_delta,1,Ziak__moitie_B,-3.7528190118209337
5,mfw,burrows_delta,1,Ziak__moitie_B,-2.8499165919828644
5,char,cosine_delta,1,Ziak__moitie_B,-4.047432350809021
5,char,burrows_delta,1,Ziak__moitie_B,-2.198328202042075
6,mfw,cosine_delta,1,Ziak__moitie_B,-3.1829078796316708
6,mfw,burrows_delta,1,Ziak__moitie_B,-2.5743395435426764
6,char,cosine_delta,1,Ziak__moitie_B,-4.020255472937888
6,char,burrows_delta,1,Ziak__moitie_B,-2.3873835895169546
7,mfw,cosine_delta,1,Ziak__moitie_B,-3.216972886237446
7,mfw,burrows_delta,1,Ziak__moitie_B,-2.747524272240874
7,char,cosine_delta,1,Ziak__moitie_B,-3.621729134438696
7,char,burrows_delta,1,Ziak__moitie_B,-2.135114315293355
8,mfw,cosine_delta,1,Ziak__moitie_B,-3.6512706229061456
8,mfw,burrows_delta,1,Ziak__moitie_B,-2.885949084010291
