artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes
Svinkels,6.0,1,6,1
Kerchak,6.694915254237288,59,1,1
Zkr,6.71578947368421,95,1,2
Lemon Haze,7.153846153846154,91,1,2
Werenoi,7.442622950819672,61,1,2
UZI (FRA),8.59322033898305,59,1,1
Beendo Z,9.455555555555556,90,1,2
Lacrim,9.559322033898304,59,1,2
Rimkus,9.648936170212766,94,2,2
L’Animalerie,9.75,56,1,1
Vald,9.8125,16,2,1
SCH,9.9,90,1,2
MRC,10.0,1,10,1
Fresh laDouille,10.037037037037036,54,1,1
S-Pion,10.387755102040817,49,1,2
S-Crew,10.475,40,1,1
ISK,10.588888888888889,90,1,2
Kalash Criminel,11.0,1,11,1
Vin’s,11.470588235294118,34,2,1
Panama Bende,11.533333333333333,45,3,1
GLK,11.672131147540984,61,1,2
Mister You,11.785714285714286,42,2,2
Roshi,11.795454545454545,44,2,1
Soso Maness,11.818181818181818,44,1,2
Maes,11.84375,64,1,2
Leck,11.895833333333334,48,2,1
Rohff,12.0,6,2,1
Ademo,12.0,9,4,1
Gradur,12.0,3,8,1
Dibson,12.061224489795919,49,1,1
Mister V,12.368421052631579,19,5,1
Hayce Lemsi,12.428571428571429,28,1,1
Deen Burbigo,12.486486486486486,37,2,1
Guizmo,12.538461538461538,26,1,2
Sam’s,12.65625,32,2,1
Sadek,12.947368421052632,38,4,2
YL,13.16,25,3,2
Nakk Mendosa,13.321428571428571,28,4,1
Nahir,13.365079365079366,63,2,2
Hornet La Frappe,13.428571428571429,21,1,2
​DA Uzi,13.631578947368421,57,1,2
ASHE 22,13.934782608695652,46,3,2
Sofiane,14.0,22,2,2
Niro,14.13953488372093,43,1,2
Ninho,14.380952380952381,21,1,2
113,14.5,2,6,1
Zola,14.523076923076923,65,1,2
Dosseh,14.8,5,5,1
Worms-T,14.92156862745098,51,5,2
Dika,14.962264150943396,53,4,2
Lartiste,15.0,1,15,1
Leto,15.0,1,15,1
Zamdane,15.0,1,15,1
L’Entourage,15.166666666666666,12,2,1
Lesram,15.31578947368421,76,1,2
Saké (FRA),15.464285714285714,28,7,1
RK,15.466666666666667,30,2,2
Despo Rutti,15.5,2,8,1
Souffrance,15.666666666666666,9,9,1
Naps,15.7,10,3,1
Seth Gueko,15.785714285714286,28,3,2
Hatik,15.833333333333334,12,9,2
Koba LaD,15.862068965517242,29,5,2
Timal,15.95,20,1,2
Aketo,16.0,1,16,1
Grödash,16.2,5,8,1
Nekfeu,16.363636363636363,11,4,1
4Keus,16.38095238095238,21,1,2
Caballero,16.416666666666668,12,2,1
Aladin 135,16.5,2,12,1
JuL,16.5,12,8,2
So La Lune,16.583333333333332,12,7,2
Djadja & Dinaz,16.892857142857142,28,5,2
Zikxo,17.037037037037038,27,5,2
SDM,17.208333333333332,24,4,2
MMZ,17.5,8,8,2
Graya,17.56756756756757,37,8,2
5 Majeur,17.608695652173914,23,9,1
100 Blaze,17.714285714285715,7,11,1
Casseurs Flowters,17.833333333333332,6,10,1
Elams,18.0,2,15,2
Mysa,18.0,2,14,1
Sneazzy,18.0,8,10,1
S.Pri Noir,18.105263157894736,19,9,1
PLK,18.214285714285715,28,6,2
Sniper,18.25,4,12,1
Swift Guad,18.4,10,11,1
Gambi,18.444444444444443,18,12,1
Limsa d’Aulnay,18.5,2,15,2
AM La Scampia,18.647058823529413,17,14,1
Intouchable,18.75,4,11,1
​​okis,18.88,25,11,1
Bosh,19.0,17,8,1
Hooss,19.0,5,14,1
Hugo TSR,19.066666666666666,15,8,1
Denzo,19.3,20,13,1
Sexion d’Assaut,19.4,5,9,1
Volts Face,19.5,2,16,1
F430,19.5,2,17,1
Youri,19.5,6,11,1
Jarod,19.6,5,14,1
Sopico,19.7,10,13,2
Alonzo,20.0,3,18,2
Furax Barbarossa,20.0,2,18,1
Houari,20.0,6,16,1
Beeby,20.25,8,13,1
Moha La Squale,20.625,8,9,1
Niaks,20.727272727272727,11,11,2
Kofs,21.0,1,21,1
R.E.D.K.,21.0,3,19,1
Landy,21.0,1,21,1
Diddi Trix,21.0,8,12,1
Zbig,21.2,5,18,1
Benab,21.333333333333332,9,17,1
Heuss L’enfoiré,21.384615384615383,13,16,1
Meryl,21.428571428571427,7,17,1
404Billy,22.0,1,22,1
Zesau,22.0,2,20,1
Sefyu,22.0,3,19,1
Lacraps,22.5,4,19,1
Bigflo & Oli,22.5,2,20,1
Gazo,22.625,8,19,1
BFG,22.75,16,20,2
Alpha Wann,23.0,3,22,1
KaNoé (BEL),23.0,1,23,1
PSO Thug,23.0,1,23,1
Laylow,23.0,1,23,1
Niska,23.0,1,23,1
Kodes,23.4,5,21,1
PRIME,23.75,4,23,1
Elh Kmer,24.0,2,24,1
MHD,25.0,1,25,1
OBOY,25.0,1,25,1
El Matador,25.0,1,25,1
