features,generation,recall_at_1,recall_at_5,n_essais,n_artistes
char,1990-2005,0.9666666666666667,1.0,90,9
char,2006-2012,0.8851851851851852,0.9777777777777777,270,27
char,2013-2017,0.9454545454545454,0.996969696969697,660,66
char,2018-2020,0.9591836734693877,0.9959183673469387,490,49
char,2021-2024,1.0,1.0,80,8
mfw,1990-2005,0.9333333333333333,1.0,90,9
mfw,2006-2012,0.8,0.9518518518518518,270,27
mfw,2013-2017,0.9196969696969697,0.9863636363636363,660,66
mfw,2018-2020,0.9408163265306122,1.0,490,49
mfw,2021-2024,1.0,1.0,80,8
