artiste,score_imposteurs_jumeau
Volts Face,1.0
Lacrim,1.0
Sinik,1.0
Lomepal,1.0
Sopico,1.0
Hornet La Frappe,1.0
Aladin 135,1.0
S.Pri Noir,1.0
Lucio Bukowski,1.0
A2H,1.0
Furax Barbarossa,1.0
Guizmo,1.0
Black M,1.0
Hooss,1.0
KeBlack,1.0
Gradur,1.0
Rim’K,1.0
Kekra,1.0
MC Solaar,1.0
Diam’s,1.0
Hatik,1.0
PNL,1.0
Mister You,1.0
Dibson,1.0
Lacraps,1.0
SCH,1.0
Zamdane,1.0
Elams,1.0
Lefa,0.995
OrelSan,0.995
Sadek,0.995
IAM,0.995
Sniper,0.995
Psy 4 de la Rime,0.99
KIK,0.985
Ninho,0.97
S-Crew,0.925
Lartiste,0.91
Salif,0.84
Akhenaton,0.75
