artiste,distance_mediane_aux_autres,distance_min,voisin_le_plus_proche,n_tokens_corpus,rang_excentricite
Tragédie,1.0246689973119345,0.6324148652744935,K-Reen,15449,1
Rocé (FRA),1.0243706145071196,0.6414379575169465,Fayçal,20006,2
Assassin (FRA),1.0237237208054544,0.6595961966447962,Rocé (FRA),32239,3
La Canaille,1.0230728712905837,0.6778438825398688,La Rumeur,18772,4
Manau,1.0219678189387285,0.6809247048726363,Klub des Loosers,28824,5
Gaël Faye,1.0214804631213266,0.588701080429241,Fayçal,19914,6
Ali (FRA),1.0210775474498541,0.6409253513591766,Fayçal,20024,7
La Rumeur,1.0202744252511695,0.568296418214764,Fayçal,57691,8
VII,1.019718978982812,0.5414089551449646,Fayçal,49936,9
Fayçal,1.0192489022003297,0.5414089551449646,VII,23740,10
IAM,1.0190629853996862,0.65145500734302,Akhenaton,152308,11
K-Reen,1.018682868114265,0.6324148652744935,Tragédie,13331,12
Monsieur R,1.018538916518597,0.7189852603766596,La Rumeur,15023,13
Abd Al Malik,1.0184809782273208,0.6794316813605258,Klub des Loosers,34968,14
Suzuya,1.0184432276841764,0.6499884780424328,Lycos,35952,15
Tsew The Kid,1.0183047498427733,0.7142567545534518,Lycos,34900,16
Shurik’n,1.0182993963915306,0.6816130365240822,IAM,30838,17
Psy 4 de la Rime,1.0180125553248156,0.7876934932829075,Fonky Family,56318,18
Lycos,1.0165080222106964,0.6499884780424328,Suzuya,26753,19
Dadju,1.0164867876026742,0.7132486764469006,Tragédie,42101,20
Ridsa,1.0163313932019793,0.7660320292191239,Lycos,38852,21
Akhenaton,1.0162884819712026,0.6499001126944869,Fayçal,84717,22
Axiom,1.0158792721359253,0.8180842285793906,Keny Arkana,20421,23
Klub des Loosers,1.0157075529159902,0.6794316813605258,Abd Al Malik,38426,24
Grand Corps Malade,1.0153931303293424,0.6816725790571335,Manau,51061,25
Ideal J,1.015380989173489,0.7322155004399589,Kery James,19893,26
Neg’ Marrons,1.01527095143899,0.8324097784514138,Bisso Na Bisso,39798,27
Suprême NTM,1.0149388699280046,0.7173901223568923,Assassin (FRA),28967,28
Keny Arkana,1.0149252448510935,0.6900911921441348,Rocé (FRA),62106,29
Lemon Haze,1.0145934677011519,0.7575997475012979,Rimkus,12102,30
Boostee,1.0143246925751477,0.7239022650531693,Lonepsi,20133,31
La Caution,1.0142714713523033,0.6414832554010199,VII,18969,32
Beat de Boul,1.0142714196966514,0.665559028332225,Les Sages Poètes de la Rue,12901,33
Kodes,1.0141335550496726,0.781815536212639,Diddi Trix,18907,34
