mot,z_log_odds,n_occurrences_ziak,freq_ziak_pour_mille,freq_corpus_pour_mille,ratio
uh,50.98291309736626,130,6.018797166535488,0.029924523264938736,201.13259994980274
huh,26.054891050526145,42,1.9445344691883883,0.02152465708530681,90.33985821385137
pow,22.459703906529036,36,1.6667438307329043,0.026643325538520016,62.55764988207582
know,22.210773590544015,40,1.851937589703227,0.039243124807967905,47.191389543148986
chrome,21.3495632483989,30,1.3889531922774203,0.018177835404359716,76.40916321336577
copains,21.163958573742278,28,1.2963563127922588,0.014765389768884245,87.79695850116516
op,15.426517995397052,17,0.7870734756238714,0.01259979926944789,62.46714402287142
zipette,15.331521281029838,18,0.8333719153664522,0.015618501177753112,53.35799548765291
libérez,15.019176987490855,18,0.8333719153664522,0.017062228177377348,48.8430881771592
sheitan,14.020880334849187,25,1.1574609935645168,0.05433663434949402,21.30166889100475
règles,13.127816895000414,23,1.0648641140793556,0.05374601875873865,19.812892911369694
you,12.814267288586457,40,1.851937589703227,0.20048118108418386,9.237463485041928
oi,12.744269348940241,18,0.8333719153664522,0.03143387421909135,26.511905899919398
paw,12.000752966163246,24,1.1111625538219363,0.0764519070255562,14.534137826679705
amen,11.901426285667108,13,0.6018797166535488,0.016274740723036855,36.9824457972218
prie,11.05910998337042,24,1.1111625538219363,0.0939078789301038,11.832474191531695
ganté,10.97443480315854,12,0.5555812769109681,0.017455971904547597,31.827576255792962
traces,10.953577509617066,18,0.8333719153664522,0.04974295753250781,16.753565865516347
pistes,10.755011520998409,10,0.46298439742580677,0.01115607226982365,41.50066315706338
ooh,10.588096070426495,16,0.7407750358812908,0.04121184344381913,17.97480952025675
prière,10.461774442429016,13,0.6018797166535488,0.0253964704024809,23.699345110364355
cc,10.457803489303338,12,0.5555812769109681,0.020605921721909566,26.962214280385126
gang,9.959971576119631,40,1.851937589703227,0.3250354467790385,5.697648081325075
coupe,9.770867140465457,26,1.2037594333070976,0.1464726665073317,8.21832128827151
stick,9.527085994089665,11,0.5092828371683874,0.022180896630590554,22.960426066185946
prada,9.491337181930023,11,0.5092828371683874,0.022443392448704053,22.691883071259795
chacal,9.240926632470304,10,0.46298439742580677,0.019096570767756955,24.2443736656384
a,9.202872602471675,342,15.83406639196259,9.095808217405336,1.7408091742373395
focus,9.191731983657146,10,0.46298439742580677,0.019424690540398828,23.834840326691804
remettre,9.182751831194533,12,0.5555812769109681,0.0307776346738076,18.05146116000198
depuis,-2.1776895815843247,6,0.2777906384554841,0.7427319173521417,0.3740119846280672
ses,-2.280188955211897,6,0.2777906384554841,0.7761345102070842,0.35791558654100486
toi,-2.3077898362506346,33,1.5278485115051623,2.399933641057181,0.6366211487548208
ceux,-2.3240755401149467,7,0.3240890781980647,0.8567863503224564,0.3782612527336505
sans,-2.388368572249168,24,1.1111625538219363,1.9204850292728775,0.5785843351471675
suis,-2.3956859450623638,129,5.9724987267929075,7.567032572712326,0.7892788446993728
trop,-2.409419411432713,36,1.6667438307329043,2.617411426364214,0.6367909201986407
seul,-2.451111887197997,6,0.2777906384554841,0.8346054536918659,0.33284067007552004
vois,-2.4790532687145297,11,0.5092828371683874,1.1704032290135578,0.43513451137487247
non,-2.527539116081545,9,0.4166859576832261,1.0602862333149454,0.3929938393904002
dis,-2.68423695240711,12,0.5555812769109681,1.3149071768850382,0.4225250927804027
être,-2.8875865504925886,16,0.7407750358812908,1.6555611248418298,0.4474465030411145
à,-2.9139742721584008,233,10.787536460021297,13.348962334343812,0.8081179787486137
te,-3.027837445409415,44,2.0371313486735496,3.399452092478852,0.5992528481812169
rap,-3.228604387170418,6,0.2777906384554841,1.1466473574742861,0.24226335729528212
monde,-3.271984926296715,10,0.46298439742580677,1.4400520581706482,0.32150531975486574
du,-3.407646003806541,99,4.583545534515487,6.728949049430456,0.6811681141951048
mon,-3.462206634710331,89,4.12056113708968,6.217935315518004,0.6626896112614842
en,-3.537391521677858,174,8.055928515209038,10.872248666488431,0.7409624965661292
moi,-3.8594183549590793,69,3.1945923422380664,5.374864371691978,0.5943577588791187
ce,-4.29715837408169,35,1.6204453909903236,3.634713969463074,0.4458247346570983
ne,-4.3330628450592075,21,0.9722672345941942,2.7546311152830447,0.35295732673603064
mais,-4.350565293404322,63,2.9168017037825824,5.381492391099345,0.5420061001306611
se,-4.9409571017546075,12,0.5555812769109681,2.5395814162935615,0.2187688385756978
ma,-5.300365481866752,56,2.5927126255845176,5.696159253062899,0.4551685636581144
ouais,-5.404421429631191,11,0.5092828371683874,2.8033240895430986,0.1816710522583185
que,-5.485631608803896,136,6.296587804990971,10.637511781140436,0.5919229923819573
me,-5.932066437291716,43,1.990832908930969,5.39376407059615,0.3690989970777366
de,-7.325099477340521,283,13.102458447150331,21.204805930935514,0.6179004179441824
je,-10.719252532794,49,2.268623547386453,11.341131821593667,0.200035021466461
