artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes,annee_mediane,n_tokens
Svinkels,6.0,1,6,1,2003.0,61499
Kerchak,6.694915254237288,59,1,1,2022.0,27407
Zkr,6.71578947368421,95,1,2,2021.0,74720
Lemon Haze,7.153846153846154,91,1,2,2022.0,12102
Werenoi,7.442622950819672,61,1,2,2023.0,22212
UZI (FRA),8.59322033898305,59,1,1,2021.0,25414
Beendo Z,9.455555555555556,90,1,2,2022.0,30692
Lacrim,9.559322033898304,59,1,2,2015.0,102471
Rimkus,9.648936170212766,94,2,2,2022.0,13346
L’Animalerie,9.75,56,1,1,2012.0,12947
Vald,9.8125,16,2,1,2017.0,132330
SCH,9.9,90,1,2,2017.0,67290
