rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
0,mfw,cosine_delta,159,494,-0.4136704067500479,-2.814210247915826,Lacrim
0,mfw,burrows_delta,196,494,-0.30382004846388044,-2.4633642540789666,L’Animalerie
0,char,cosine_delta,70,494,-1.139007973476795,-2.507847852837927,UZI (FRA)
0,char,burrows_delta,328,494,0.30668945527947805,-2.187593332069971,L’Animalerie
1,mfw,cosine_delta,155,494,-0.5483421237263671,-2.9432748348216515,Rimkus
1,mfw,burrows_delta,191,494,-0.3304149972734784,-2.343393549257952,Dibson
1,char,cosine_delta,60,494,-1.2660670435319876,-2.892867298905274,Beendo Z
1,char,burrows_delta,337,494,0.32839425918730275,-2.2624943072836454,Zikxo
2,mfw,cosine_delta,99,494,-0.8437538051899484,-3.0669315621259683,Lemon Haze
2,mfw,burrows_delta,203,494,-0.31569512232970165,-2.1926913063499187,Panama Bende
2,char,cosine_delta,62,494,-1.2674677156611363,-2.4723802621530244,Roshi
2,char,burrows_delta,336,494,0.3360345243510559,-2.3944762321495165,Panama Bende
3,mfw,cosine_delta,149,494,-0.4338426386630483,-3.039897451370339,Beendo Z
3,mfw,burrows_delta,198,494,-0.30193809774563696,-2.358844478472322,Beendo Z
3,char,cosine_delta,68,494,-1.1950283362188872,-2.787983687410958,Fresh laDouille
3,char,burrows_delta,333,494,0.3629786551203685,-2.6432705393677223,L’Entourage
4,mfw,cosine_delta,165,494,-0.4074545896869346,-3.0503552777219736,Beendo Z
4,mfw,burrows_delta,207,494,-0.3110041479199306,-2.2668473559703064,L’Animalerie
4,char,cosine_delta,80,494,-1.0731461231817032,-2.7085984707694766,Beendo Z
4,char,burrows_delta,340,494,0.3039905470059949,-2.23218897041963,L’Entourage
5,mfw,cosine_delta,185,494,-0.324782838744836,-3.1762415795151946,Zkr
5,mfw,burrows_delta,197,494,-0.32699552320296804,-3.403830085411559,Zkr
5,char,cosine_delta,61,494,-1.1388887942066646,-3.318447941673367,Zkr
5,char,burrows_delta,337,494,0.36598269208093476,-2.903905506643159,Zkr
6,mfw,cosine_delta,189,494,-0.25965952430429123,-3.3018898204180083,Werenoi
6,mfw,burrows_delta,194,494,-0.29412968772731435,-2.3135110046870193,Hatik
6,char,cosine_delta,69,494,-1.109406714807529,-2.899324578803754,Kerchak
6,char,burrows_delta,346,494,0.40105267521688037,-2.265072334610009,Hatik
7,mfw,cosine_delta,175,494,-0.29554988717615194,-3.312382325293998,Lacrim
7,mfw,burrows_delta,213,494,-0.277309010267899,-2.9900861892792854,Zkr
7,char,cosine_delta,75,494,-1.0043021015940026,-3.15694851982585,Kerchak
7,char,burrows_delta,340,494,0.363589548048323,-2.932618692023027,Zkr
8,mfw,cosine_delta,148,494,-0.5342983531322417,-3.209340451389504,Werenoi
8,mfw,burrows_delta,179,494,-0.40796590605362854,-2.4524088119385827,SCH
8,char,cosine_delta,46,494,-1.3450718007822318,-2.7854510375456227,Beendo Z
8,char,burrows_delta,322,494,0.28297546787994937,-2.380332422549746,S-Crew
9,mfw,cosine_delta,183,494,-0.2816010543356633,-2.815096235993963,Beendo Z
9,mfw,burrows_delta,170,494,-0.4463484131370325,-3.3647654326645196,JuL
9,char,cosine_delta,69,494,-1.1083417134868232,-2.7080914735642,​DA Uzi
9,char,burrows_delta,313,494,0.3049505646272852,-3.4801355648483288,JuL
10,mfw,cosine_delta,197,494,-0.26642137829131096,-2.7875301466689697,AM La Scampia
10,mfw,burrows_delta,199,494,-0.31694027788814416,-2.131312276953084,Shtar Academy
10,char,cosine_delta,86,494,-1.0553273969498589,-2.44845059546133,UZI (FRA)
10,char,burrows_delta,332,494,0.3186703074108204,-2.533158120941959,L’Animalerie
11,mfw,cosine_delta,173,494,-0.3796428201523402,-3.135211017419086,ISK
11,mfw,burrows_delta,221,494,-0.23369712103691148,-2.5020932507497835,ISK
11,char,cosine_delta,61,494,-1.1931225830306427,-2.866182023389816,Beendo Z
11,char,burrows_delta,335,494,0.37659880751491154,-2.6975205676065914,L’Animalerie
12,mfw,cosine_delta,124,494,-0.6699766185456277,-2.866215125434737,SCH
12,mfw,burrows_delta,165,494,-0.48613024134642807,-3.382623214036736,Zkr
12,char,cosine_delta,55,494,-1.2561095504119797,-2.80732897324583,Beendo Z
12,char,burrows_delta,336,494,0.3479613451004259,-3.7013073045722416,Zkr
13,mfw,cosine_delta,156,494,-0.5434697420852531,-2.5526360148635407,Houari
13,mfw,burrows_delta,185,494,-0.356482721495756,-2.1889294903819385,Shtar Academy
13,char,cosine_delta,66,494,-1.2754324512881856,-2.369561160341116,MC Circulaire
13,char,burrows_delta,348,494,0.34350157600626346,-2.243269018357864,L’Animalerie
14,mfw,cosine_delta,143,494,-0.6036608360102507,-2.726380366588416,Lemon Haze
14,mfw,burrows_delta,189,494,-0.3391550358880921,-2.3057356961291124,Sam’s
14,char,cosine_delta,60,494,-1.2603782796403251,-2.6540064012426026,Beendo Z
14,char,burrows_delta,345,494,0.3342344056831629,-2.4910219449558926,L’Entourage
