artiste,score,type
Mikeysem,0.07666666666666666,hypothèse
Bolémvn,0.9833333333333333,jumeau authentique
S.Pri Noir,0.57,jumeau authentique
Mac Tyer,0.12,jumeau authentique
Yaro,0.9933333333333333,jumeau authentique
KIK,0.9633333333333334,jumeau authentique
Sneazzy,0.6333333333333333,jumeau authentique
Dry,0.9966666666666667,jumeau authentique
Kohndo,1.0,jumeau authentique
Roshi,1.0,jumeau authentique
ISK,0.89,jumeau authentique
Furax Barbarossa,0.9866666666666667,jumeau authentique
Dosseh,0.99,jumeau authentique
Jorrdee,0.7433333333333333,jumeau authentique
Swift Guad,0.99,jumeau authentique
Dooz Kawa,0.9666666666666667,jumeau authentique
Koba LaD,0.9866666666666667,jumeau authentique
404Billy,0.9966666666666667,jumeau authentique
Tsew The Kid,0.8266666666666667,jumeau authentique
VII,1.0,jumeau authentique
Abou Debeing,0.19666666666666666,jumeau authentique
Zkr,1.0,jumeau authentique
Vegedream,0.9766666666666667,jumeau authentique
Kery James,0.4,jumeau authentique
Hatik,0.8933333333333333,jumeau authentique
Suzuya,1.0,jumeau authentique
Lino,1.0,jumeau authentique
Beendo Z,1.0,jumeau authentique
Sefyu,0.8633333333333333,jumeau authentique
Dinos,1.0,jumeau authentique
Assassin (FRA),1.0,jumeau authentique
RK,0.9966666666666667,jumeau authentique
Zamdane,1.0,jumeau authentique
MZ,0.86,jumeau authentique
Alrima,0.8766666666666667,jumeau authentique
JuL,0.97,jumeau authentique
Fixpen Sill,0.9533333333333334,jumeau authentique
Alpha Wann,0.99,jumeau authentique
Stupeflip,1.0,jumeau authentique
Davodka,1.0,jumeau authentique
1995,0.8566666666666667,jumeau authentique
