solo,groupe,n_rappeurs,rep,mots_requete,rang_groupe,n_candidats,sep_groupe,sep_top1,top1,top1_est_groupe
Booba,Lunatic,2,0,24020,27,374,-1.619434727615637,-2.746232559328771,Seth Gueko,False
Booba,Lunatic,2,1,23964,110,374,-0.5583061424888935,-2.4480694603457427,Escobar Macson,False
Booba,Lunatic,2,2,24641,9,374,-2.1449739336239406,-2.7671303822011493,Escobar Macson,False
Booba,Lunatic,2,3,24337,38,374,-1.310920250617948,-3.100441505350893,Jack Uzi,False
Booba,Lunatic,2,4,23882,41,374,-1.2136170392483574,-3.22982391169137,Seth Gueko,False
Booba,Lunatic,2,5,24288,87,374,-0.8099316428135116,-3.111537272617377,Damso,False
Booba,Lunatic,2,6,24125,39,374,-1.2611466607948827,-3.014625800455835,Nessbeal,False
Booba,Lunatic,2,7,24198,39,374,-1.3207044796040968,-3.065785441001475,Hayce Lemsi,False
Booba,Lunatic,2,8,24324,4,374,-2.741018787432867,-3.0208666645325604,Médine,False
Booba,Lunatic,2,9,24171,8,374,-2.1157820583576044,-3.2172683161719156,Kaaris,False
Kool Shen,Suprême NTM,2,0,22912,2,374,-2.2435212848755204,-2.303199307925845,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,1,22912,14,374,-1.7802553295196384,-2.7146834199733116,TSR Crew,False
Kool Shen,Suprême NTM,2,2,22912,3,374,-2.195861224674903,-2.9659889557967887,Sat l’Artificier,False
Kool Shen,Suprême NTM,2,3,22912,18,374,-1.7636588919235077,-2.530858132385471,TSR Crew,False
Kool Shen,Suprême NTM,2,4,22912,1,374,-2.2606231396489367,-2.2606231396489367,Suprême NTM,True
Kool Shen,Suprême NTM,2,5,22912,21,374,-1.6374990139628425,-2.5320403206300446,Sat l’Artificier,False
Kool Shen,Suprême NTM,2,6,22912,2,374,-2.3710432282275224,-2.855915198376411,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,7,22912,37,374,-1.4307223307499135,-2.702387180874085,Sat l’Artificier,False
Kool Shen,Suprême NTM,2,8,22912,3,374,-2.124508620629706,-2.882194565267864,Jeff Le Nerf,False
Kool Shen,Suprême NTM,2,9,22912,24,374,-1.5687065562972655,-2.493579737475248,Mysa,False
Gringe,Casseurs Flowters,2,0,15403,2,374,-2.894514939535228,-3.2313642910213365,5 Majeur,False
Gringe,Casseurs Flowters,2,1,15403,1,374,-4.103841644759774,-4.103841644759774,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,2,15403,2,374,-3.5807257669190107,-3.7437074996083455,OrelSan,False
Gringe,Casseurs Flowters,2,3,15403,1,374,-3.916667650959961,-3.916667650959961,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,4,15403,1,374,-3.6744131719116355,-3.6744131719116355,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,5,15403,1,374,-3.4193788162075363,-3.4193788162075363,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,6,15403,2,374,-3.1929869358533978,-3.409917907900657,5 Majeur,False
Gringe,Casseurs Flowters,2,7,15403,3,374,-2.6200406657403468,-3.3663006255502492,5 Majeur,False
Gringe,Casseurs Flowters,2,8,15403,1,374,-4.081031963841285,-4.081031963841285,Casseurs Flowters,True
Gringe,Casseurs Flowters,2,9,15403,1,374,-4.823015665772481,-4.823015665772481,Casseurs Flowters,True
Kery James,Ideal J,2,0,23895,2,374,-2.7418472935302582,-2.7437721520700586,Rocé (FRA),False
Kery James,Ideal J,2,1,23902,2,374,-2.560582713856573,-2.708488152964868,Fayçal,False
Kery James,Ideal J,2,2,23987,9,374,-2.2127200329496186,-2.7041832846502802,Rocé (FRA),False
Kery James,Ideal J,2,3,23873,8,374,-2.056878678602985,-2.467435158434408,Rocé (FRA),False
Kery James,Ideal J,2,4,24055,3,374,-2.612654662008493,-2.7097538886192583,Rocé (FRA),False
