solo,groupe,n_rappeurs,rang_median,rang_min,rang_max,sep_moy,sep_top1_moy,taux_rang1,n_candidats
Gringe,Casseurs Flowters,2,1.0,1,3,-3.630661722150066,-3.776963923753326,0.6,374
Rockin’ Squat,Assassin (FRA),2,1.0,1,1,-3.573301230709494,-3.573301230709494,1.0,374
Akhenaton,IAM,3,2.5,1,9,-2.6625458335470737,-3.0455050144154967,0.1,374
Kery James,Ideal J,2,3.5,2,16,-2.392737416960221,-2.7553766271360693,0.0,374
Alpha Wann,1995,6,5.0,2,23,-2.2300455110112622,-3.058480013012235,0.0,374
Kool Shen,Suprême NTM,2,8.5,1,37,-1.9376399620509754,-2.6241469958354005,0.1,374
Deen Burbigo,L’Entourage,5,16.5,1,60,-1.727984146810801,-2.95638155070314,0.1,374
Nekfeu,1995,6,19.0,7,59,-1.7028938922516026,-2.752124575423534,0.0,374
Nekfeu,S-Crew,3,19.5,1,59,-2.0280846459766626,-2.727397633359844,0.2,374
Tunisiano,Sniper,3,29.0,5,82,-1.5271991951860977,-2.8440463362142236,0.0,374
Booba,Lunatic,2,38.5,4,110,-1.5095835722597737,-2.972178131369709,0.0,374
Jazzy Bazz,L’Entourage,5,91.5,37,139,-0.7419994290043859,-2.9602684961819956,0.0,374
Black M,Sexion d’Assaut,8,106.0,62,145,-0.5424159856491316,-3.248318198856353,0.0,374
Lefa,Sexion d’Assaut,8,217.5,47,273,-0.0725946010179105,-2.9127009943658964,0.0,374
