artiste,annee_rupture,rep,rang_periode_apres,n_candidats,sep_cible,sep_top1,trouve_rang1,mots_avant,mots_apres,groupe,libelle
Ateyaba,2016.0,0,1,375,-4.865427583690646,-4.865427583690646,True,23958,12030,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,1,1,375,-4.863789747052009,-4.863789747052009,True,24119,12018,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,2,1,375,-4.934723664683779,-4.934723664683779,True,24129,12204,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,3,1,375,-4.5979228761190365,-4.5979228761190365,True,23912,12242,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,4,1,375,-4.516536769105869,-4.516536769105869,True,24106,12142,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,5,1,375,-5.480195333940366,-5.480195333940366,True,23997,12263,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,6,1,375,-4.993435679259576,-4.993435679259576,True,23907,12132,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,7,1,375,-4.707022333543136,-4.707022333543136,True,23907,12434,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,8,1,375,-5.1089290932540425,-5.1089290932540425,True,23922,12147,changement d'identité,Joke → Ateyaba
Ateyaba,2016.0,9,1,375,-4.747527859160983,-4.747527859160983,True,23930,12181,changement d'identité,Joke → Ateyaba
Gims,2019.0,0,12,375,-1.9416758252408381,-3.2775644861870297,False,24337,12372,changement d'identité,Maître Gims → Gims
Gims,2019.0,1,3,375,-3.1551858710375056,-3.6512280318101635,False,24610,12107,changement d'identité,Maître Gims → Gims
Gims,2019.0,2,1,375,-3.988247452154704,-3.988247452154704,True,24226,12083,changement d'identité,Maître Gims → Gims
Gims,2019.0,3,3,375,-2.646586584653729,-2.871681317809777,False,24114,12241,changement d'identité,Maître Gims → Gims
Gims,2019.0,4,4,375,-2.8998913984380286,-3.537446189925492,False,23915,12227,changement d'identité,Maître Gims → Gims
Gims,2019.0,5,2,375,-3.3924877419899726,-3.671477641460657,False,24129,12055,changement d'identité,Maître Gims → Gims
Gims,2019.0,6,6,375,-3.234960175223853,-3.9459554470099696,False,24325,12280,changement d'identité,Maître Gims → Gims
Gims,2019.0,7,12,375,-2.0909202432384464,-3.455510940647062,False,23872,12167,changement d'identité,Maître Gims → Gims
Gims,2019.0,8,2,375,-2.9628348631714183,-3.6184345575767685,False,24096,12223,changement d'identité,Maître Gims → Gims
Gims,2019.0,9,4,375,-3.2220065965941713,-3.4567286595918394,False,24062,12449,changement d'identité,Maître Gims → Gims
Disiz,2012.0,0,2,375,-3.9632709843929788,-4.089257229695362,False,24011,12529,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,1,1,375,-3.97996974156779,-3.97996974156779,True,24370,12719,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,2,2,375,-2.7754726864461956,-2.9734351324472303,False,23890,12577,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,3,1,375,-5.114566302708087,-5.114566302708087,True,24087,12387,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,4,21,375,-1.6542629953434087,-4.0140772193011545,False,24398,12124,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,5,4,375,-2.743443228078647,-3.5425525744316615,False,23872,12429,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,6,4,375,-2.297439557459443,-3.6383047279867164,False,24316,12310,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,7,2,375,-3.663424329925527,-4.2033117124859904,False,23906,12323,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,8,3,375,-2.4677208093749115,-3.1946110417917826,False,23921,12307,changement d'identité,Disiz la Peste → Disiz
Disiz,2012.0,9,1,375,-2.925764577547692,-2.925764577547692,True,24232,12636,changement d'identité,Disiz la Peste → Disiz
Demi Portion,2015.5,0,1,375,-3.981458018261378,-3.981458018261378,True,23883,12069,sans changement,Demi Portion
Demi Portion,2015.5,1,1,375,-3.9950560865248232,-3.9950560865248232,True,24464,12208,sans changement,Demi Portion
Demi Portion,2015.5,2,1,375,-4.160720178077642,-4.160720178077642,True,24131,12162,sans changement,Demi Portion
Demi Portion,2015.5,3,1,375,-4.313393340667484,-4.313393340667484,True,23896,12203,sans changement,Demi Portion
Ridsa,2015.5,0,1,375,-4.306883567416777,-4.306883567416777,True,20972,12661,sans changement,Ridsa
Ridsa,2015.5,1,1,375,-4.076499824691447,-4.076499824691447,True,20972,12229,sans changement,Ridsa
Ridsa,2015.5,2,1,375,-4.675314860311612,-4.675314860311612,True,20972,12278,sans changement,Ridsa
Ridsa,2015.5,3,1,375,-4.674179080276897,-4.674179080276897,True,20972,12200,sans changement,Ridsa
Bolémvn,2020.0,0,1,375,-4.929540276199236,-4.929540276199236,True,12167,12247,sans changement,Bolémvn
Bolémvn,2020.0,1,1,375,-3.8847814094527915,-3.8847814094527915,True,12167,12095,sans changement,Bolémvn
Bolémvn,2020.0,2,1,375,-5.381280454068419,-5.381280454068419,True,12167,12500,sans changement,Bolémvn
Bolémvn,2020.0,3,1,375,-4.882596647398067,-4.882596647398067,True,12167,12151,sans changement,Bolémvn
Alonzo,2017.0,0,4,375,-2.988879610519447,-3.624970652188633,False,24087,12141,sans changement,Alonzo
Alonzo,2017.0,1,4,375,-2.756505361749003,-3.5615904065343957,False,24193,12219,sans changement,Alonzo
Alonzo,2017.0,2,4,375,-2.857873220018748,-3.906909800630858,False,24015,12052,sans changement,Alonzo
Alonzo,2017.0,3,1,375,-3.1343704999480053,-3.1343704999480053,True,24128,12475,sans changement,Alonzo
Mister You,2014.0,0,1,375,-6.19893811907176,-6.19893811907176,True,24481,12075,sans changement,Mister You
Mister You,2014.0,1,1,375,-5.457604387361513,-5.457604387361513,True,24104,12605,sans changement,Mister You
Mister You,2014.0,2,1,375,-6.897601561379109,-6.897601561379109,True,23967,12402,sans changement,Mister You
Mister You,2014.0,3,1,375,-6.696569142154351,-6.696569142154351,True,23904,12129,sans changement,Mister You
Despo Rutti,2016.0,0,1,375,-2.6817187673310756,-2.6817187673310756,True,24079,12516,sans changement,Despo Rutti
Despo Rutti,2016.0,1,1,375,-3.0395711107229575,-3.0395711107229575,True,24228,12838,sans changement,Despo Rutti
Despo Rutti,2016.0,2,1,375,-2.6678842260939706,-2.6678842260939706,True,23987,12206,sans changement,Despo Rutti
Despo Rutti,2016.0,3,1,375,-3.5874926704464083,-3.5874926704464083,True,23891,12439,sans changement,Despo Rutti
R.E.D.K.,2020.0,0,5,375,-2.3401107078239596,-2.676323559658995,False,18417,12523,sans changement,R.E.D.K.
R.E.D.K.,2020.0,1,2,375,-2.633363316833837,-2.8607754450743013,False,18417,12012,sans changement,R.E.D.K.
R.E.D.K.,2020.0,2,2,375,-2.399748932750831,-2.8708885060623457,False,18417,12209,sans changement,R.E.D.K.
R.E.D.K.,2020.0,3,4,375,-2.237999813514349,-2.669269508693862,False,18417,12657,sans changement,R.E.D.K.
Limsa d’Aulnay,2018.0,0,2,375,-3.0890770437494797,-3.3872663368084357,False,11625,12102,sans changement,Limsa d’Aulnay
Limsa d’Aulnay,2018.0,1,1,375,-3.312837369370545,-3.312837369370545,True,11625,12451,sans changement,Limsa d’Aulnay
Limsa d’Aulnay,2018.0,2,1,375,-3.2615393766158833,-3.2615393766158833,True,11625,12317,sans changement,Limsa d’Aulnay
Limsa d’Aulnay,2018.0,3,2,375,-3.378848008208339,-3.5750905331210068,False,11625,12199,sans changement,Limsa d’Aulnay
Ninho,2018.0,0,11,375,-1.9568525168479904,-2.7506144181870176,False,23943,12400,sans changement,Ninho
Ninho,2018.0,1,19,375,-1.7007300988359815,-3.0243939258807893,False,24313,12032,sans changement,Ninho
Ninho,2018.0,2,4,375,-2.3313907796855555,-3.125394584758132,False,24318,12317,sans changement,Ninho
Ninho,2018.0,3,2,375,-2.9857866510058813,-3.2858562327589125,False,24285,12390,sans changement,Ninho
Still Fresh,2018.0,0,2,375,-2.6476923758143522,-2.869735030039234,False,14604,12398,sans changement,Still Fresh
Still Fresh,2018.0,1,5,375,-2.5272681562314836,-2.8269809969912307,False,14604,12415,sans changement,Still Fresh
Still Fresh,2018.0,2,4,375,-2.438669506818369,-3.2602424754343016,False,14604,12059,sans changement,Still Fresh
Still Fresh,2018.0,3,4,375,-2.801708970669044,-3.1214529854750337,False,14604,12142,sans changement,Still Fresh
Jorrdee,2016.0,0,2,375,-3.6554886749725246,-3.8863301621659274,False,23910,12300,sans changement,Jorrdee
Jorrdee,2016.0,1,3,375,-3.339475474680654,-4.321440076072401,False,23905,12139,sans changement,Jorrdee
Jorrdee,2016.0,2,3,375,-4.124617696030521,-4.290156310688313,False,23947,12021,sans changement,Jorrdee
Jorrdee,2016.0,3,2,375,-3.821094929104787,-4.416706305211965,False,23878,12041,sans changement,Jorrdee
Bosh,2020.0,0,5,375,-2.14584748026417,-3.4539396738199173,False,11811,12011,sans changement,Bosh
Bosh,2020.0,1,2,375,-2.8518383599074975,-3.121850348651085,False,11811,12342,sans changement,Bosh
Bosh,2020.0,2,2,375,-2.987304653069606,-3.0201241519546813,False,11811,12220,sans changement,Bosh
Bosh,2020.0,3,4,375,-2.5182999031108593,-2.9918373158569826,False,11811,12202,sans changement,Bosh
Dooz Kawa,2014.0,0,1,375,-3.1267782515917832,-3.1267782515917832,True,16977,12511,sans changement,Dooz Kawa
Dooz Kawa,2014.0,1,1,375,-3.202176865858247,-3.202176865858247,True,16977,12490,sans changement,Dooz Kawa
Dooz Kawa,2014.0,2,1,375,-3.0402033139822113,-3.0402033139822113,True,16977,12639,sans changement,Dooz Kawa
Dooz Kawa,2014.0,3,1,375,-3.278503662997701,-3.278503662997701,True,16977,12182,sans changement,Dooz Kawa
Sultan,2016.0,0,1,375,-3.976616524507225,-3.976616524507225,True,14032,12463,sans changement,Sultan
Sultan,2016.0,1,1,375,-4.7063021334784265,-4.7063021334784265,True,14032,12221,sans changement,Sultan
Sultan,2016.0,2,1,375,-4.507519089183918,-4.507519089183918,True,14032,12350,sans changement,Sultan
Sultan,2016.0,3,1,375,-4.032807128449328,-4.032807128449328,True,14032,12072,sans changement,Sultan
KeBlack,2018.0,0,1,375,-3.301043479967335,-3.301043479967335,True,14128,12417,sans changement,KeBlack
KeBlack,2018.0,1,1,375,-3.5762033818605183,-3.5762033818605183,True,14128,12301,sans changement,KeBlack
KeBlack,2018.0,2,4,375,-2.4370237328451836,-3.2495705317507118,False,14128,12241,sans changement,KeBlack
KeBlack,2018.0,3,1,375,-3.164486685237373,-3.164486685237373,True,14128,12182,sans changement,KeBlack
La Fouine,2011.0,0,16,375,-1.9587005655221637,-2.8381556612970127,False,24271,12761,sans changement,La Fouine
La Fouine,2011.0,1,1,375,-3.6915269012237157,-3.6915269012237157,True,24226,16135,sans changement,La Fouine
La Fouine,2011.0,2,1,375,-4.865744518902055,-4.865744518902055,True,24035,12495,sans changement,La Fouine
La Fouine,2011.0,3,2,375,-3.546086588189661,-3.934102363630316,False,24230,12623,sans changement,La Fouine
A2H,2018.0,0,1,375,-4.812687632265607,-4.812687632265607,True,24025,12104,sans changement,A2H
A2H,2018.0,1,1,375,-3.8617027381115445,-3.8617027381115445,True,24286,12395,sans changement,A2H
A2H,2018.0,2,1,375,-3.8659724439599144,-3.8659724439599144,True,24380,12008,sans changement,A2H
A2H,2018.0,3,1,375,-4.10520275637709,-4.10520275637709,True,24358,12219,sans changement,A2H
Kaaris,2016.0,0,1,375,-4.223112632108358,-4.223112632108358,True,24619,12165,sans changement,Kaaris
Kaaris,2016.0,1,1,375,-3.9695104309125475,-3.9695104309125475,True,23914,12342,sans changement,Kaaris
Kaaris,2016.0,2,1,375,-3.572565346031056,-3.572565346031056,True,24602,12042,sans changement,Kaaris
Kaaris,2016.0,3,10,375,-1.9466008552929204,-3.19150615310494,False,23955,12519,sans changement,Kaaris
Hornet La Frappe,2018.5,0,1,375,-2.6583598730025946,-2.6583598730025946,True,24204,12270,sans changement,Hornet La Frappe
Hornet La Frappe,2018.5,1,1,375,-3.484868637838539,-3.484868637838539,True,24167,13807,sans changement,Hornet La Frappe
Hornet La Frappe,2018.5,2,1,375,-2.6137114239285424,-2.6137114239285424,True,23872,12141,sans changement,Hornet La Frappe
Hornet La Frappe,2018.5,3,1,375,-3.497189794833351,-3.497189794833351,True,24399,12345,sans changement,Hornet La Frappe
S.Pri Noir,2018.0,0,17,375,-1.5990256128690863,-3.0285609878734223,False,19413,12392,sans changement,S.Pri Noir
S.Pri Noir,2018.0,1,118,375,-0.5511291650991452,-2.9127167629034685,False,19413,12430,sans changement,S.Pri Noir
S.Pri Noir,2018.0,2,18,375,-1.6436020286150546,-2.9930513895317947,False,19413,12532,sans changement,S.Pri Noir
S.Pri Noir,2018.0,3,30,375,-1.3492764519139477,-2.9917370556345992,False,19413,12091,sans changement,S.Pri Noir
Black M,2016.0,0,1,375,-4.513565758542288,-4.513565758542288,True,22425,12395,sans changement,Black M
Black M,2016.0,1,1,375,-3.3281209129747777,-3.3281209129747777,True,22425,12277,sans changement,Black M
Black M,2016.0,2,1,375,-3.8513628146376786,-3.8513628146376786,True,22425,12165,sans changement,Black M
Black M,2016.0,3,1,375,-3.9736008474717885,-3.9736008474717885,True,22425,12592,sans changement,Black M
Niaks,2022.0,0,1,375,-7.563844177517825,-7.563844177517825,True,9750,12101,sans changement,Niaks
Niaks,2022.0,1,1,375,-7.948788423987016,-7.948788423987016,True,9750,12156,sans changement,Niaks
Niaks,2022.0,2,1,375,-7.4826088919560405,-7.4826088919560405,True,9750,12657,sans changement,Niaks
Niaks,2022.0,3,1,375,-7.946833471670498,-7.946833471670498,True,9750,12126,sans changement,Niaks
Landy,2019.5,0,1,375,-2.752278652231738,-2.752278652231738,True,11946,12325,sans changement,Landy
Landy,2019.5,1,1,375,-2.787133602175428,-2.787133602175428,True,11946,12245,sans changement,Landy
Landy,2019.5,2,1,375,-2.7695174533833686,-2.7695174533833686,True,11946,12103,sans changement,Landy
Landy,2019.5,3,1,375,-2.7242100989231504,-2.7242100989231504,True,11946,12458,sans changement,Landy
Deen Burbigo,2017.0,0,30,375,-1.430582953443425,-3.316856379174534,False,19715,12050,sans changement,Deen Burbigo
Deen Burbigo,2017.0,1,10,375,-2.0987572176249603,-2.929033433758226,False,19715,12440,sans changement,Deen Burbigo
Deen Burbigo,2017.0,2,5,375,-2.450499605102854,-2.9361590072004775,False,19715,12318,sans changement,Deen Burbigo
Deen Burbigo,2017.0,3,11,375,-1.9698356192094904,-2.830815815350311,False,19715,12245,sans changement,Deen Burbigo
Zola,2020.0,0,1,375,-2.76092787426399,-2.76092787426399,True,13681,12227,sans changement,Zola
Zola,2020.0,1,2,375,-2.2030943456596965,-2.4226011148308833,False,13681,12621,sans changement,Zola
Zola,2020.0,2,2,375,-2.205292470654116,-2.2243937581132753,False,13681,12286,sans changement,Zola
Zola,2020.0,3,1,375,-2.317026445939977,-2.317026445939977,True,13681,12267,sans changement,Zola
Davodka,2017.0,0,1,375,-4.943317806042581,-4.943317806042581,True,21518,12174,sans changement,Davodka
Davodka,2017.0,1,1,375,-4.5471465049536235,-4.5471465049536235,True,21518,12341,sans changement,Davodka
Davodka,2017.0,2,1,375,-4.097179957503527,-4.097179957503527,True,21518,12099,sans changement,Davodka
Davodka,2017.0,3,1,375,-5.068139986302186,-5.068139986302186,True,21518,12131,sans changement,Davodka
Youri,2019.0,0,1,375,-3.8308904035293536,-3.8308904035293536,True,16038,12552,sans changement,Youri
Youri,2019.0,1,1,375,-3.9277532409807034,-3.9277532409807034,True,16038,12176,sans changement,Youri
Youri,2019.0,2,1,375,-3.6175097675231003,-3.6175097675231003,True,16038,12530,sans changement,Youri
Youri,2019.0,3,1,375,-3.9671862243958866,-3.9671862243958866,True,16038,12512,sans changement,Youri
Guy2Bezbar,2021.0,0,1,375,-2.324614510476417,-2.324614510476417,True,9032,12366,sans changement,Guy2Bezbar
Guy2Bezbar,2021.0,1,4,375,-2.0602946897961267,-2.328196997288248,False,9032,12343,sans changement,Guy2Bezbar
Guy2Bezbar,2021.0,2,3,375,-2.2190846074352173,-2.369511174361851,False,9032,12240,sans changement,Guy2Bezbar
Guy2Bezbar,2021.0,3,1,375,-2.489024536944447,-2.489024536944447,True,9032,12596,sans changement,Guy2Bezbar
Keny Arkana,2011.0,0,1,375,-3.6432232552405712,-3.6432232552405712,True,24440,12403,sans changement,Keny Arkana
Keny Arkana,2011.0,1,1,375,-3.6413324657532806,-3.6413324657532806,True,24376,12033,sans changement,Keny Arkana
Keny Arkana,2011.0,2,1,375,-3.440818727327265,-3.440818727327265,True,24191,12176,sans changement,Keny Arkana
Keny Arkana,2011.0,3,1,375,-3.6618664609566958,-3.6618664609566958,True,24062,12264,sans changement,Keny Arkana
RK,2019.0,0,2,375,-2.7024730311363614,-2.7947340380402457,False,23385,12488,sans changement,RK
RK,2019.0,1,1,375,-2.4069003884532045,-2.4069003884532045,True,23385,12287,sans changement,RK
RK,2019.0,2,2,375,-2.219139667100256,-2.571880124324417,False,23385,12543,sans changement,RK
RK,2019.0,3,1,375,-2.779215882964494,-2.779215882964494,True,23385,12463,sans changement,RK
Alrima,2019.0,0,1,375,-3.1852683679208753,-3.1852683679208753,True,13883,12068,sans changement,Alrima
Alrima,2019.0,1,1,375,-3.181354815605817,-3.181354815605817,True,13883,12033,sans changement,Alrima
Alrima,2019.0,2,1,375,-3.3050437009514377,-3.3050437009514377,True,13883,12327,sans changement,Alrima
Alrima,2019.0,3,1,375,-3.4643235041119884,-3.4643235041119884,True,13883,12475,sans changement,Alrima
Rocca,2003.0,0,15,375,-1.9288784516730877,-2.801055902371999,False,9689,12060,sans changement,Rocca
Rocca,2003.0,1,4,375,-2.3046267403815763,-3.3223326517826917,False,9689,12661,sans changement,Rocca
Rocca,2003.0,2,12,375,-1.9887198671684383,-2.9936346126106446,False,9689,12117,sans changement,Rocca
Rocca,2003.0,3,17,375,-1.8055636448198444,-3.1792017073026484,False,9689,12202,sans changement,Rocca
