groupe,libelle,rang_median,sep_cible,taux_rang1
changement d'identité,Joke → Ateyaba,1.0,-4.881551093980944,1.0
changement d'identité,Disiz la Peste → Disiz,2.0,-3.158533521284468,0.3
changement d'identité,Maître Gims → Gims,3.5,-2.953479675174267,0.1
sans changement,113,1.0,-2.8416931346278305,0.75
sans changement,A2H,1.0,-4.161391392678539,1.0
sans changement,Alrima,1.0,-3.2839975971475295,1.0
sans changement,Black M,1.0,-3.9166625834066333,1.0
sans changement,Bolémvn,1.0,-4.769549696779628,1.0
sans changement,Butter Bullets,1.0,-4.921822183875892,0.75
sans changement,Davodka,1.0,-4.663946063700479,1.0
sans changement,Demi Portion,1.0,-4.112656905882832,1.0
sans changement,Despo Rutti,1.0,-2.994166693648603,1.0
sans changement,Dooz Kawa,1.0,-3.161915523607486,1.0
sans changement,Hornet La Frappe,1.0,-3.0635324324007565,1.0
sans changement,Jack Uzi,1.0,-7.664739831201695,1.0
sans changement,Jeff Le Nerf,1.0,-4.074578399539684,1.0
sans changement,Kaaris,1.0,-3.4279473160862204,0.75
sans changement,KeBlack,1.0,-3.119689319977603,0.75
sans changement,Keny Arkana,1.0,-3.596810227319453,1.0
sans changement,Landy,1.0,-2.758284951678421,1.0
sans changement,Manu Key,1.0,-2.7418381159092213,1.0
sans changement,Mister You,1.0,-6.312678302491683,1.0
sans changement,Niaks,1.0,-7.735518741282845,1.0
sans changement,Ridsa,1.0,-4.433219333174183,1.0
sans changement,Sultan,1.0,-4.305811218904724,1.0
sans changement,Youri,1.0,-3.8358349091072608,1.0
sans changement,Akhenaton,1.5,-2.7152065715446856,0.5
sans changement,KaNoé (BEL),1.5,-2.9076460742979884,0.5
sans changement,La Fouine,1.5,-3.5155146434593987,0.5
sans changement,Limsa d’Aulnay,1.5,-3.260575449486062,0.5
sans changement,RK,1.5,-2.526932242413579,0.5
sans changement,Zola,1.5,-2.371585284129445,0.5
sans changement,Guy2Bezbar,2.0,-2.273254586163052,0.5
sans changement,JuL,2.0,-3.7687199397796878,0.5
sans changement,Sneazzy,2.0,-3.166351877285625,0.5
sans changement,Jorrdee,2.5,-3.7351691936971214,0.0
sans changement,Lartiste,2.5,-2.748588644181478,0.25
sans changement,Bosh,3.0,-2.6258225990880333,0.0
sans changement,R.E.D.K.,3.0,-2.402805692730744,0.0
sans changement,Alonzo,4.0,-2.934407173058801,0.25
sans changement,Still Fresh,4.0,-2.603834752383312,0.0
sans changement,Ol’ Kainry,7.0,-2.3443471756942547,0.0
sans changement,Ninho,7.5,-2.243690011593852,0.0
sans changement,Hippocampe Fou,8.0,-2.349707007870812,0.0
sans changement,Deen Burbigo,10.5,-1.9874188488451823,0.0
sans changement,Rocca,13.5,-2.0069471760107365,0.0
sans changement,Vald,16.5,-1.93805481059812,0.0
sans changement,S.Pri Noir,24.0,-1.2857583146243083,0.0
