rep,rang_cible,n_candidats,sep_cible,sep_top1,top1,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,rang_Rimkus,variante
0,152,375,-0.27208179181933795,-2.5478433360138917,UZI (FRA),3,2,9,4,15,5,textes complets
1,59,375,-1.0166826569517067,-2.5102887688890108,Mister You,4,7,5,18,12,11,textes complets
2,109,375,-0.6664624418866438,-2.420070108435796,Zkr,8,7,3,4,1,6,textes complets
3,70,375,-0.9469058109887352,-2.330497421161951,UZI (FRA),2,3,15,7,10,4,textes complets
4,65,375,-1.0169088737444256,-2.422589297690979,Kerchak,1,2,24,3,18,7,textes complets
5,176,375,-0.09363220423884441,-2.4651013123179086,Beendo Z,2,1,12,4,7,6,textes complets
6,110,375,-0.6346127983941292,-2.1888468015110063,Werenoi,6,3,12,1,29,4,textes complets
7,77,375,-0.8857677294340834,-2.6160636864447615,Beendo Z,2,1,4,7,10,3,textes complets
8,72,375,-0.9553370230485146,-2.4093229225519823,ISK,3,4,1,5,19,6,textes complets
9,56,375,-1.0438856742016176,-2.566486493905256,UZI (FRA),7,2,20,10,3,9,textes complets
10,86,375,-0.8469423785735356,-2.839548741385387,Beendo Z,2,1,16,13,6,4,textes complets
11,136,375,-0.40645141402825224,-2.6226080724165177,Zkr,3,2,4,9,1,8,textes complets
12,105,375,-0.6371024791025081,-2.4127246880880393,Kerchak,1,8,2,9,5,7,textes complets
13,163,375,-0.17852075864848865,-2.4531168891071826,Kerchak,1,3,9,12,15,2,textes complets
14,117,375,-0.5171123234952776,-2.5232594032775224,ISK,5,2,1,8,4,6,textes complets
15,84,375,-0.8857610023739076,-2.7048535218067613,Beendo Z,3,1,2,6,9,4,textes complets
16,135,375,-0.40318569032223467,-2.7464712962136626,Beendo Z,3,1,6,13,7,5,textes complets
17,133,375,-0.42083977712982606,-2.317569243600508,Kerchak,1,3,11,9,53,5,textes complets
18,114,375,-0.5938206460822587,-2.619675229185729,Zkr,4,2,13,6,1,5,textes complets
19,103,375,-0.7338176104646701,-2.4563300196384126,Beendo Z,2,1,10,6,7,4,textes complets
20,152,375,-0.33250644950839336,-2.3455309587221462,Beendo Z,2,1,12,8,5,4,textes complets
21,114,375,-0.6112242475053327,-2.538712899496155,Kerchak,1,5,15,10,4,8,textes complets
22,191,375,0.08585587665886887,-2.397586477728742,Beendo Z,11,1,10,9,52,2,textes complets
23,129,375,-0.45818300560917713,-2.441177306435115,Kerchak,1,3,4,8,9,6,textes complets
24,145,375,-0.326222125230969,-2.3061208934005735,Beendo Z,2,1,3,9,5,4,textes complets
25,105,375,-0.6745169143527503,-2.5626486142491594,UZI (FRA),7,5,2,12,3,9,textes complets
26,113,375,-0.5435187090825108,-2.2351977096777356,Beendo Z,2,1,3,12,7,8,textes complets
27,127,375,-0.4551154858235368,-2.3010929202017376,Beendo Z,2,1,13,10,4,5,textes complets
28,159,375,-0.2006558345360301,-2.4268423223904656,Beendo Z,5,1,2,7,13,6,textes complets
29,147,375,-0.3170395395675464,-2.5182176094585693,Maes,4,2,13,9,10,6,textes complets
0,102,367,-0.6203573861206148,-2.5280139574631133,Kerchak,1,3,10,2,5,6,sans ad-libs entre parenthèses
1,82,367,-0.8467438473146567,-2.6722775498603175,Beendo Z,5,1,17,2,3,6,sans ad-libs entre parenthèses
2,138,367,-0.3405589848782868,-2.6877183915406855,Beendo Z,3,1,5,2,4,6,sans ad-libs entre parenthèses
3,78,367,-0.8970537431756991,-2.3947146690842414,Kerchak,1,4,11,2,6,3,sans ad-libs entre parenthèses
4,111,367,-0.5201554024544014,-2.426666092519189,UZI (FRA),4,6,11,2,7,5,sans ad-libs entre parenthèses
5,106,367,-0.5954358559305675,-2.7711147637315268,Zkr,4,3,16,2,1,7,sans ad-libs entre parenthèses
6,92,367,-0.6906842018248527,-2.5640582457011662,ISK,3,4,1,2,17,7,sans ad-libs entre parenthèses
7,114,367,-0.5366610564910085,-2.7200279392076605,Werenoi,2,4,12,1,7,3,sans ad-libs entre parenthèses
8,195,367,0.11621162067698254,-2.631116696405394,Werenoi,2,6,11,1,5,7,sans ad-libs entre parenthèses
9,97,367,-0.7321782616750936,-2.6057671187600406,Werenoi,3,2,14,1,17,4,sans ad-libs entre parenthèses
10,171,367,-0.057580192797372254,-2.4695286357492137,Werenoi,2,6,23,1,5,3,sans ad-libs entre parenthèses
11,131,367,-0.4428030423745788,-2.7631528715186477,Werenoi,3,2,11,1,7,4,sans ad-libs entre parenthèses
12,100,367,-0.6453288623474382,-2.616865070678022,ISK,7,4,1,3,11,5,sans ad-libs entre parenthèses
13,130,367,-0.42668745911445066,-2.8507265117678133,Kerchak,1,2,3,4,8,7,sans ad-libs entre parenthèses
14,98,367,-0.6903927670126515,-2.673427860247441,Kerchak,1,2,4,5,6,8,sans ad-libs entre parenthèses
15,85,367,-0.8050132575053675,-2.6800181801244296,Werenoi,3,2,26,1,13,6,sans ad-libs entre parenthèses
16,107,367,-0.6297993187186702,-2.7423034524360403,Beendo Z,5,1,14,3,2,4,sans ad-libs entre parenthèses
17,141,367,-0.34508862656678835,-2.4892776971218855,Werenoi,8,5,9,1,10,6,sans ad-libs entre parenthèses
18,85,367,-0.8142956265011451,-2.5476918601874177,Werenoi,2,14,9,1,4,3,sans ad-libs entre parenthèses
19,74,367,-0.9011879291231589,-2.670045447372653,Zkr,4,5,8,2,1,6,sans ad-libs entre parenthèses
20,147,367,-0.2799639780024913,-2.6452788592548,Kerchak,1,6,8,2,5,3,sans ad-libs entre parenthèses
21,98,367,-0.7520488355228229,-2.6844453895984706,Werenoi,2,6,10,1,5,3,sans ad-libs entre parenthèses
22,144,367,-0.3313609889735327,-2.591572755412029,Werenoi,3,6,5,1,7,4,sans ad-libs entre parenthèses
23,95,367,-0.7796128656735994,-2.712043582702934,Kerchak,1,8,13,3,18,4,sans ad-libs entre parenthèses
24,148,367,-0.24280719480159063,-2.5581657459238043,Werenoi,2,3,9,1,5,4,sans ad-libs entre parenthèses
25,118,367,-0.5060687794614169,-2.7435716014578646,Beendo Z,6,1,5,2,4,7,sans ad-libs entre parenthèses
26,107,367,-0.6389557293288263,-2.674385981483131,Kerchak,1,3,6,2,9,4,sans ad-libs entre parenthèses
27,120,367,-0.4778764758488559,-2.8169324562073745,Werenoi,6,2,12,1,7,4,sans ad-libs entre parenthèses
28,74,367,-0.9357881767333548,-2.431570500695,Beendo Z,3,1,14,2,13,5,sans ad-libs entre parenthèses
29,68,367,-1.0020486695466608,-2.4536594460663164,ISK,2,13,1,7,8,5,sans ad-libs entre parenthèses
0,173,367,-0.11347713626341031,-2.6634819596107913,Beendo Z,3,1,21,2,8,4,"web7 depuis 2019, sans ad-libs"
1,129,367,-0.5043034797524838,-2.461395005444778,Werenoi,4,5,8,1,6,3,"web7 depuis 2019, sans ad-libs"
2,132,367,-0.336134815995715,-2.828968951785422,Werenoi,2,3,21,1,6,5,"web7 depuis 2019, sans ad-libs"
3,137,367,-0.35055891498450004,-2.449159518075327,Kerchak,1,3,12,2,10,4,"web7 depuis 2019, sans ad-libs"
4,129,367,-0.4116908802797961,-2.6317714096885467,Werenoi,4,2,21,1,7,5,"web7 depuis 2019, sans ad-libs"
5,136,367,-0.34506562342105623,-2.5944906600105475,Werenoi,9,3,5,1,2,8,"web7 depuis 2019, sans ad-libs"
6,76,367,-0.8914731850190601,-2.5376421149073582,Werenoi,3,8,12,1,2,7,"web7 depuis 2019, sans ad-libs"
7,103,367,-0.6783225496380356,-2.645970665644955,Fresh laDouille,2,4,14,3,7,5,"web7 depuis 2019, sans ad-libs"
8,89,367,-0.779614210831124,-2.7041398962110033,Werenoi,2,10,6,1,3,5,"web7 depuis 2019, sans ad-libs"
9,107,367,-0.6084319004486506,-2.7591521765816367,Werenoi,5,4,18,1,2,6,"web7 depuis 2019, sans ad-libs"
10,128,367,-0.4871819605637857,-2.5654651778763826,Beendo Z,3,1,26,6,2,4,"web7 depuis 2019, sans ad-libs"
11,94,367,-0.7032594508866664,-2.7511094796892452,Kerchak,1,3,11,2,5,4,"web7 depuis 2019, sans ad-libs"
12,115,367,-0.5422278452583907,-2.440531785000225,Werenoi,3,11,8,1,2,4,"web7 depuis 2019, sans ad-libs"
