title,year,pred_artist,decision,score_Dosseh,score_Guizmo,score_Hatik,score_Hayce Lemsi,score_ISK,score_Nahir,score_PLK,score_Sadek,score_YL,score_Zikxo,score_Zkr,score_​DA Uzi
Fixette,2020.0,ISK,-0.6705924366952831,-0.8379729581163042,-1.1050824717839764,-0.9178529204696966,-0.8049669027717203,-0.6705924366952831,-1.0205834495148611,-0.800048116465514,-0.8118710184877581,-1.0030851187181968,-1.2444343495781842,-0.8529670590817676,-0.9126603392605268
Raspoutine,2020.0,Dosseh,-0.3978579001132916,-0.3978579001132916,-0.8661954028960538,-0.680301781139846,-0.6460901354284094,-0.9492230457281969,-1.2809939399338548,-1.2090227200829842,-0.7319732149020258,-0.8200366132526125,-1.017497599230134,-1.0644621252143123,-1.285237415262575
Double Dash,2020.0,Zkr,-0.5621044567356756,-0.6204991026302876,-0.7181301831569706,-0.9145496726877758,-0.9381880976626921,-1.234503717956437,-1.019978550352585,-1.2099396654214531,-0.9657783937135253,-1.0128959058091365,-1.0731869824391689,-0.5621044567356756,-0.771039739391407
C’est la vie,2020.0,Hatik,-0.5459029560373188,-1.264841654893347,-0.8449497583988478,-0.5459029560373188,-0.7980199076013159,-1.1363331113898067,-0.5486868796477748,-1.2268460601814388,-1.3253251108394726,-0.7178815956422445,-1.005046971472331,-0.8092417325250705,-1.0534495518467877
Ronaldo,2020.0,Hayce Lemsi,-0.5164122050472782,-0.9757202366306772,-0.8716885684803175,-1.023248003730426,-0.5164122050472782,-1.0306983019834368,-1.0960202543174598,-1.0274949393100572,-0.7559912366644818,-0.9445020002466049,-0.6658556640270111,-0.9428431358377022,-1.0909189803649681
LG,2020.0,Zkr,-0.3095714153745097,-0.5543689892350034,-0.8296791762806128,-0.9616520454399416,-0.8470474274383683,-0.996270938394079,-0.8434238788436061,-0.8141915958116079,-1.0062296530820545,-1.3410102624848346,-1.1488265922122025,-0.3095714153745097,-1.1592399239751867
123 Soleil,2020.0,Sadek,-0.2535712414568241,-0.9117224005312723,-1.4177078299908699,-0.8078554900271497,-0.5078957707333942,-1.3758467411099513,-1.1103045987772022,-0.7935207232752126,-0.2535712414568241,-0.905756806378197,-1.0591639129313035,-0.974201287514141,-1.0610010575186095
Quatre,2020.0,Hatik,-0.45053530776375406,-0.8095142523189996,-1.0257941991301869,-0.45053530776375406,-1.1548118667654228,-0.7938597150223298,-0.9119672113737258,-0.8578346075479526,-1.2515883113491704,-0.8913428778345807,-0.8633292256957741,-1.0243962687762966,-1.020498665703679
Akimbo,2021.0,YL,-0.41315675640405314,-0.6786431509623566,-0.7277609114218866,-0.9269755499154725,-0.7802346859588827,-0.6719940405417705,-1.0084657151153,-1.117495109392611,-0.7254804377923689,-0.41315675640405314,-1.5735666300373834,-1.4804553130271993,-0.9702661274795696
Galerie,2021.0,ISK,-0.5542654264679905,-0.6262871827593891,-1.1616539297887716,-0.9563131496562008,-0.7704030260904118,-0.5542654264679905,-1.2758377945509998,-0.935915329877224,-0.7846680488013262,-0.7957861417747731,-1.2614217913594867,-1.3508926252096343,-0.6560356976409054
Flocko,2021.0,Hayce Lemsi,-0.7443773375802986,-0.880378016983213,-0.9654993527758551,-0.8515191810850193,-0.7443773375802986,-1.2018666022893187,-1.0109578549202525,-0.9003934459955552,-0.7450577123741802,-0.8512654549132366,-0.92964394440455,-1.0046636488978666,-0.8566796569518771
Shonen,2021.0,Nahir,-0.557172434966271,-0.9608506457317938,-0.9989218458126076,-1.3089183417803723,-1.1085917761128754,-0.57774611905772,-0.557172434966271,-1.0103314617521273,-0.9211077879054357,-0.994642600020488,-1.0016504440270315,-0.7047339211911157,-0.9380096169853425
S.P.S,2021.0,Hayce Lemsi,-0.6369849337320719,-1.1099158092668273,-1.0740658742530367,-0.7359587441448763,-0.6369849337320719,-0.7539616855072352,-0.8024976508835836,-1.191788492022876,-0.8988345728681765,-0.6369872222091815,-1.174724309805778,-0.9745699434849144,-1.0357082210335071
Ça suffit,2021.0,Hayce Lemsi,-0.59750979780229,-0.8762291950151562,-1.2385286883652404,-1.119920362469202,-0.59750979780229,-0.6627671029074076,-0.8535790737248252,-1.040381429952488,-0.9209766400667104,-0.9543124443567721,-1.047491160284235,-0.9149031017151518,-0.84365780169131
Espace,2021.0,Sadek,-0.7174669362899697,-1.0992210263125939,-1.191519746379238,-1.2636636520751987,-0.7350758227243095,-0.8223319370542865,-0.9078836142547739,-1.181347996410724,-0.7174669362899697,-0.775308957228981,-0.90314381097331,-0.7850009803195985,-0.8089890043959194
Prière,2021.0,Nahir,-0.43360098198922103,-0.6513449315530341,-1.0983716333877909,-0.67030569486261,-1.0724323361243104,-0.9808971560286497,-0.43360098198922103,-1.2777231791826071,-1.2665796990976235,-0.8929486268648955,-0.8694651794744073,-0.7281945207438763,-0.9886586426160877
Rhum & machette,2021.0,PLK,-0.6127990243453828,-0.8076649581466452,-1.167000789432917,-1.0429803375097992,-1.074619068784613,-0.7268279180467088,-0.6699016312005639,-0.6127990243453828,-1.1761342743953236,-1.2830353252346087,-1.2549224799778038,-0.7569276456400691,-0.7602319727940112
Vrai / Faux,2021.0,ISK,-0.2563099228239508,-1.0141272956752951,-1.5571493784405503,-0.6612323300429042,-1.14001100662223,-0.2563099228239508,-1.0816207195793426,-0.8570612957928558,-0.9572526204224566,-0.8428500882701886,-0.786433190050053,-1.3397033945329995,-0.46307388383050696
Coffre,2021.0,YL,-0.5623898049711877,-0.8402462821912882,-1.1700691185745427,-0.9318540190244752,-0.7659274441500314,-0.8164756305145018,-0.7044971734050496,-0.8166409538906614,-1.0267785443738138,-0.5623898049711877,-0.791967415969417,-1.3793058446729614,-1.0465085704280364
Gros lot,2021.0,Nahir,-0.7326103336458866,-0.7643498350016021,-1.0836831527433264,-0.9049229459723642,-1.0312460455251105,-1.0698534622707314,-0.7326103336458866,-0.9289238958753847,-0.7713808536873156,-0.9743261456847141,-1.1542695249646855,-0.8307981653978005,-0.893082384865248
Le pacte,2021.0,YL,-0.6099212812239002,-1.163454139090399,-1.3578390699033156,-0.7356069653654698,-1.1272271689326536,-0.905565196069915,-0.8404205657781021,-0.8709212173066403,-1.0685031352131775,-0.6099212812239002,-0.9976909646285939,-0.7884396186145187,-0.8360195431635837
Lauiss,2021.0,ISK,-0.4219041628239687,-1.1345729662664439,-1.1044444893017762,-0.9227765101202766,-0.920404697685511,-0.4219041628239687,-0.9558485738816862,-0.535481316473038,-0.8544205730622391,-1.3547309826025857,-1.0417042959983418,-1.0306986111571679,-0.8362109019803292
Parasite,2021.0,​DA Uzi,-0.6979310769241144,-1.271128013676594,-1.0514112701932825,-0.7246261755502191,-1.0004772353284073,-0.9899696264220784,-0.8606952218125771,-0.7778956791713361,-0.8507422264713628,-0.9221813922813467,-0.9826432074484995,-0.8086162305475987,-0.6979310769241144
You Know,2022.0,Nahir,-0.7126240619620099,-0.8143647345509496,-1.1138992740411224,-1.0259306900610752,-0.9525113366713744,-0.7460978320372484,-0.7126240619620099,-0.7303361088978169,-0.8943757380389826,-0.9587679418320307,-1.2179079625943416,-1.0442562305759773,-0.7327156162246646
Dans les règles,2022.0,PLK,-0.47033449701360036,-1.0875150281903543,-0.9441636648097341,-1.1075268928878175,-0.6277783321562317,-1.2183757172117948,-1.0084250596299584,-0.47033449701360036,-1.0365445420376977,-0.7011597195107185,-0.8162840608831665,-1.06126728777273,-1.1658908383718034
Pistol & Zamal,2023.0,Hayce Lemsi,-0.41973035970670136,-1.213947425988782,-0.9339846318861246,-0.8503294176989293,-0.41973035970670136,-0.7917710937190453,-0.8722941083875869,-0.9704594484650675,-0.7012440921039238,-0.9623675561350192,-1.2291732007349048,-1.0155899916055362,-1.1005251034363628
Même pas un grincement,2023.0,Sadek,-0.5439630615803437,-0.578294328954421,-1.0185200686071594,-1.027075502641796,-0.7599707682307004,-0.9108388122090915,-1.0941497064755894,-0.953692553936546,-0.5439630615803437,-1.4002902616935824,-0.7835779630111892,-1.0819071981406176,-0.7913746819682635
Chrome,2023.0,Hatik,-0.14798638163945216,-0.9851228918523984,-1.0357220198145278,-0.14798638163945216,-0.8676816552241172,-1.2642840417813077,-0.6378905214495181,-0.9307558826340017,-1.0878209594125388,-1.1828895760709952,-1.109776556481441,-0.48956422685015166,-1.0440812006671922
Tomb Raider,2023.0,Dosseh,-0.5652634374199067,-0.5652634374199067,-1.129109663522018,-1.106046772901494,-0.6140988351302028,-1.0593760048979897,-1.0657915276016703,-1.0713250826090617,-0.7541762810195527,-0.654799999825549,-1.2785631314499324,-0.8432053516872197,-0.9433094085440047
Seinen,2023.0,Sadek,-0.27169289869419033,-1.060721287353676,-0.6682615153432123,-1.358536891595997,-1.2772749359462794,-1.1016569638839224,-0.7667407066553548,-0.6493302683162141,-0.27169289869419033,-0.9624876586563698,-0.6968013045275142,-1.2379876011507356,-1.112828442588394
Le crime parfait,2023.0,Dosseh,-0.4935351679665389,-0.4935351679665389,-0.9780399114633008,-1.0307877254180906,-0.7575853267607863,-0.8190216328243093,-1.2217272648402808,-0.6960347352785254,-0.9671943076422242,-1.0598144761171395,-1.151478198553478,-0.7600924608481887,-1.13752003448455
Mauvais jour,2023.0,ISK,-0.5074984754751904,-0.8088133457038963,-0.7786792118474601,-1.1082649164029992,-1.2888898513318903,-0.5074984754751904,-0.9804673518692277,-1.1060719279435125,-0.7348717804009408,-1.1348742017076119,-1.0708971094798052,-0.7952243921339202,-0.7191583215383535
Démonstration,2023.0,YL,-0.3507382997576681,-0.9672183197385589,-0.958951188643816,-0.94590985128456,-0.9133125553890141,-0.8569410793371671,-0.9863088880176939,-1.1042019384349508,-1.2576709171284952,-0.3507382997576681,-0.6751869139474658,-1.1350118179226012,-1.0404420582983076
Halla,2023.0,Hatik,-0.5049643982621697,-0.7391021725355544,-0.7733356486434977,-0.5049643982621697,-1.1385946448104334,-1.146887257941106,-0.9417948892186023,-0.9682289405514211,-0.7341082544538271,-0.8685433419342014,-1.157584166910663,-0.8576345414014558,-1.111264392722096
Op Gante,2023.0,Zkr,-0.43540181510305,-0.7186396551489378,-0.9123735987911564,-0.959535982433575,-0.8431217667081325,-0.6045348780296753,-0.5350487219852911,-0.8790076448756028,-0.8268913325289091,-1.3062088584739493,-1.4570982758627526,-0.43540181510305,-1.3765821309280333
La plage,2023.0,Nahir,-0.7378946926984923,-1.0200630744414783,-0.9668863975992381,-0.868554043789417,-0.8292308394733574,-0.8736411488270243,-0.7378946926984923,-1.3059570071354512,-0.8668822708259969,-1.1950635800518454,-0.763794253141961,-0.8023170810248778,-1.0628019541539366
Désolé,2023.0,YL,-0.29915999317347575,-0.9231295170448603,-1.1554968272694415,-1.415549157920927,-1.0557576623338134,-0.6939869888398806,-1.3791355938441556,-0.9556830398461076,-0.7104818556857204,-0.29915999317347575,-0.814221490288038,-0.8933124638495558,-0.5369336615503116
Rappel des faits,2023.0,ISK,-0.5629219172527058,-0.7693386416153747,-0.9917581877014957,-0.8345024212512365,-0.8391417215315715,-0.5629219172527058,-0.9026753192914053,-0.9471527906429655,-1.418850350959579,-1.2873506841811073,-0.7556791905420797,-0.7975930572444639,-0.9121850094267807
