,pc1,pc2,is_ziak
100 Blaze,-0.08063041163348295,0.056611104127501956,False
13 Block,-0.08320361094799404,0.027555234957699088,False
3010,-0.033247246636134646,-0.08948259861067176,False
404Billy,-0.08656156619036284,-0.08852420038348982,False
47ter,0.1236704534373612,-0.03484097328331386,False
4Keus,-0.09921722770998428,0.030325778454001192,False
A2H,-0.039760948085436024,-0.02546953506595029,False
AM La Scampia,0.043852578297616886,0.14521925806465924,False
ASHE 22,-0.13623659079954284,0.006122989380741098,False
Abou Debeing,0.08685803718662406,0.12920920549318296,False
Abou Tall,0.09814266813736643,0.048968949709697084,False
Alkpote,-0.10262592599476335,-0.11165776016182993,False
Alonzo,-0.11535949668385093,0.017752190520938536,False
Alpha Wann,-0.03577950925100875,-0.07027653569470735,False
Alrima,0.02536984096244046,0.1338184380269262,False
Ateyaba,-0.013595152358517961,0.13527438928829022,False
Barack,0.06408733231237702,0.10829521519032864,False
Beeby,0.028128712787420497,-0.043443041114980194,False
Beendo Z,-0.09981780419674176,-0.0029056922913468257,False
Bekar,-0.030660579018522028,-0.10584445447526265,False
Benab,-0.10262056269594273,0.04776766308748945,False
Benjamin Epps,0.008445307040282467,-0.018030872455202893,False
Bigflo & Oli,0.012477440667678474,-0.13558506575149754,False
Black M,0.02674868449369286,0.04569135081184945,False
Bolémvn,-0.10125309436735032,0.025047994346906532,False
Booba,0.03993178482737457,0.004934435295362494,False
Boostee,0.22481498979174985,-0.029835722393755253,False
Bosh,-0.07382390290834111,0.060191076828779805,False
Busta Flex,0.10763450460173937,0.03830759538561031,False
Butter Bullets,0.1443766751742736,0.02949875820155412,False
Chilla,0.09212282904049196,0.021464589832740213,False
Cookiesan,0.07181490952382989,-0.061027371303435114,False
D. Ace,0.015229231028765191,-0.12101180481799866,False
DTF,-0.03706828633270494,0.0408812186298806,False
Dabs,-0.07510453371014031,0.03205678782581586,False
Dadju,0.07510822868913945,0.026822968015313392,False
Damso,0.006210742281566716,0.013269087176602794,False
Dandyguel,0.1461782547202465,0.007638252711043239,False
Davodka,0.06653219308322754,-0.1629910740308851,False
Deen Burbigo,0.02896580795364808,-0.03780017180767382,False
Demi Portion,0.0714862602106203,-0.11850868380612976,False
Denzo,-0.026410920627322528,0.013101350641926161,False
Dibson,-0.0015193913901051083,-0.01714978964589349,False
Diddi Trix,-0.07447731159630694,0.15000945481699204,False
Dinos,-0.0863436025682472,-0.07573088529429464,False
Disiz,0.10018280217586381,0.017412983309356863,False
Djadja & Dinaz,-0.08715048706630041,-0.019943143562145774,False
Dosseh,-0.12900568577253368,-0.0608612929105203,False
Eddy de Pretto,0.1955838111564866,-0.045717079622087806,False
Elams,-0.07364627189686922,0.07550659933509866,False
Elh Kmer,-0.06981230024154272,-0.0003709708439931861,False
F430,-0.0628173281104368,0.0706727794597959,False
Franglish,0.06216527914694353,0.1705588289610586,False
Freeze Corleone,-0.06854035183435349,-0.03118273206000532,False
Fresh laDouille,-0.0829707170781608,0.021866674185196396,False
Furax Barbarossa,0.09101702655193246,-0.12021133382531292,False
GLK,-0.14120856310549157,0.03151109579533622,False
Gambi,-0.04956391370668277,0.14280344102619177,False
Gambino La MG,-0.11427039954051635,0.09646264653172126,False
Gazo,-0.07666073026396181,0.18992350105129022,False
Georgio,0.03186755488996979,-0.14336293550436408,False
Gims,-0.010691442830792172,-0.04135206836701365,False
Gradur,-0.06399319666366458,0.21691663822913285,False
Grand Corps Malade,0.21551252909176755,-0.12440555790397773,False
Grems,-0.03337455836857853,-0.06872437433140882,False
Guizmo,-0.10062404019992337,-0.061256273174647,False
