artist,n_songs,n_words,year_min,year_max,mean_word_len,mean_verlan,mean_argot,mean_je,mean_profanity
100 Blaze,49,27682,2018.0,2023.0,3.7314416103997865,7.612244897959184,11.26530612244898,22.816326530612244,5.122448979591836
13 Block,47,27350,2018.0,2020.0,3.787627359602418,6.0638297872340425,12.638297872340425,27.53191489361702,6.25531914893617
3010,107,49620,2018.0,2022.0,3.779021399269707,5.663551401869159,9.093457943925234,23.121495327102803,4.542056074766355
404Billy,97,48027,2018.0,2024.0,3.8120412364058343,6.206185567010309,6.783505154639175,28.783505154639176,4.474226804123711
47ter,62,29346,2018.0,2023.0,3.757134504129811,3.629032258064516,5.774193548387097,16.85483870967742,1.1935483870967742
4Keus,58,35066,2018.0,2021.0,3.7014682957441747,4.896551724137931,12.10344827586207,23.775862068965516,4.0
A2H,103,42779,2018.0,2023.0,3.688105977934002,4.611650485436893,8.990291262135923,24.57281553398058,2.5825242718446604
AM La Scampia,33,13340,2018.0,2023.0,3.710288442420368,4.151515151515151,6.696969696969697,18.727272727272727,1.696969696969697
ASHE 22,81,37476,2018.0,2024.0,3.6915903342970653,5.111111111111111,8.493827160493828,27.012345679012345,6.925925925925926
Abou Debeing,33,16751,2018.0,2020.0,3.704869272527537,5.96969696969697,7.181818181818182,23.87878787878788,1.4242424242424243
Abou Tall,39,19666,2018.0,2023.0,3.6216972123782423,3.717948717948718,5.128205128205129,27.28205128205128,2.948717948717949
Alkpote,77,50142,2018.0,2023.0,3.9614437675970313,7.558441558441558,22.207792207792206,40.8051948051948,14.987012987012987
Alonzo,75,38247,2018.0,2023.0,3.7216669385074246,3.3333333333333335,7.293333333333333,25.413333333333334,2.2133333333333334
Alpha Wann,40,24026,2018.0,2020.0,3.9371374576114873,10.3,9.85,30.075,4.425
Alrima,63,26186,2018.0,2021.0,3.806893161273263,3.7301587301587302,11.523809523809524,17.58730158730159,3.9365079365079363
Ateyaba,38,13060,2018.0,2024.0,3.758143101719097,4.7368421052631575,5.815789473684211,21.710526315789473,8.81578947368421
Barack,40,18425,2018.0,2023.0,3.7452497679946517,3.125,5.95,19.025,3.2
Beeby,50,23231,2018.0,2024.0,3.945381640252506,5.54,9.58,18.38,6.58
Beendo Z,48,34175,2020.0,2023.0,3.572152833317381,9.729166666666666,11.541666666666666,42.166666666666664,4.770833333333333
Bekar,86,44879,2018.0,2023.0,3.901030882768105,5.011627906976744,7.406976744186046,20.58139534883721,1.7325581395348837
Benab,81,38229,2018.0,2024.0,3.6487407702011057,4.345679012345679,7.271604938271605,27.061728395061728,1.0864197530864197
Benjamin Epps,38,21340,2020.0,2024.0,3.8516959729183715,5.894736842105263,10.18421052631579,22.973684210526315,6.842105263157895
Bigflo & Oli,52,45158,2018.0,2023.0,3.8631092020292828,7.346153846153846,9.634615384615385,46.19230769230769,2.019230769230769
Black M,45,25407,2018.0,2023.0,3.631200424622795,4.355555555555555,6.8,26.822222222222223,2.8222222222222224
Bolémvn,80,38901,2018.0,2023.0,3.831595372985023,4.75,10.0,20.0,2.575
Booba,33,13360,2018.0,2024.0,3.781537919302958,4.818181818181818,6.7272727272727275,19.515151515151516,2.787878787878788
Boostee,46,16986,2018.0,2023.0,3.7560684674851466,4.413043478260869,2.217391304347826,18.26086956521739,0.30434782608695654
Bosh,51,25301,2018.0,2022.0,3.85897459090155,4.392156862745098,8.215686274509803,25.098039215686274,3.843137254901961
Busta Flex,25,12609,2018.0,2021.0,3.6858219513944523,7.28,9.32,27.52,4.44
Butter Bullets,28,11511,2019.0,2023.0,3.855336319907704,9.321428571428571,9.321428571428571,25.357142857142858,4.5
Chilla,40,20045,2018.0,2023.0,3.6568255961645044,4.4,7.975,39.025,1.575
Cookiesan,41,26964,2018.0,2023.0,3.7984438225423265,6.439024390243903,10.073170731707316,32.80487804878049,4.195121951219512
D. Ace,92,45126,2018.0,2024.0,3.7984346812049083,5.934782608695652,5.565217391304348,23.41304347826087,1.4021739130434783
DTF,56,28084,2018.0,2023.0,3.544314070003355,5.035714285714286,11.267857142857142,35.357142857142854,3.3035714285714284
Dabs,64,34201,2018.0,2023.0,3.6461805690496116,6.734375,11.0625,34.796875,4.796875
Dadju,67,36856,2018.0,2023.0,3.6424192377627613,6.537313432835821,3.208955223880597,26.70149253731343,0.5223880597014925
Damso,50,22459,2018.0,2023.0,3.796719332091372,3.18,9.88,21.42,5.04
Dandyguel,28,11172,2019.0,2023.0,3.7619448286876986,2.9642857142857144,5.25,22.821428571428573,1.5714285714285714
Davodka,38,25895,2018.0,2023.0,4.04236030217131,5.7368421052631575,10.736842105263158,18.263157894736842,2.8684210526315788
Deen Burbigo,29,16016,2020.0,2023.0,3.861110664606365,6.655172413793103,7.344827586206897,25.17241379310345,2.206896551724138
Demi Portion,56,26924,2018.0,2024.0,3.9034337374018166,3.1964285714285716,6.392857142857143,13.089285714285714,1.1785714285714286
Denzo,39,21358,2018.0,2023.0,3.8661830991899344,6.615384615384615,11.128205128205128,23.512820512820515,2.8205128205128207
Dibson,42,24692,2018.0,2022.0,3.756414105071255,5.642857142857143,8.357142857142858,38.38095238095238,2.0476190476190474
Diddi Trix,56,27428,2018.0,2023.0,3.5243109975004536,6.660714285714286,13.285714285714286,29.517857142857142,3.7857142857142856
Dinos,131,71840,2018.0,2023.0,3.753083093092446,7.251908396946565,7.297709923664122,33.83969465648855,2.16793893129771
Disiz,41,15039,2018.0,2023.0,3.709590593091254,3.4634146341463414,5.390243902439025,21.682926829268293,4.097560975609756
Djadja & Dinaz,122,56980,2018.0,2023.0,3.5844219159278974,3.8524590163934427,6.270491803278689,28.21311475409836,2.0163934426229506
Dosseh,73,47629,2018.0,2023.0,3.698713833001492,7.219178082191781,12.89041095890411,35.10958904109589,5.698630136986301
Eddy de Pretto,44,19637,2018.0,2023.0,3.8438369025519106,4.159090909090909,5.159090909090909,18.5,0.9090909090909091
Elams,58,28292,2018.0,2023.0,3.7151989221064423,4.241379310344827,10.206896551724139,18.79310344827586,2.3620689655172415
Elh Kmer,61,30287,2018.0,2023.0,3.7959037200842993,5.639344262295082,8.37704918032787,23.524590163934427,2.4098360655737703
F430,52,24572,2018.0,2023.0,3.5569266749083845,4.9423076923076925,6.269230769230769,28.96153846153846,2.8846153846153846
Franglish,63,31434,2018.0,2024.0,3.6874499613957936,4.746031746031746,2.857142857142857,24.682539682539684,1.6349206349206349
Freeze Corleone,45,27992,2018.0,2023.0,3.910337446466346,21.733333333333334,8.71111111111111,37.06666666666667,10.955555555555556
Fresh laDouille,51,37720,2019.0,2024.0,3.6513992203901204,6.745098039215686,12.862745098039216,43.07843137254902,5.490196078431373
Furax Barbarossa,56,20561,2019.0,2023.0,3.931212459770152,2.0892857142857144,5.946428571428571,12.375,1.4464285714285714
GLK,82,39263,2018.0,2024.0,3.7106976781138377,3.2439024390243905,7.853658536585366,20.841463414634145,1.6585365853658536
Gambi,41,19476,2018.0,2023.0,3.533208085810281,4.097560975609756,9.317073170731707,33.09756097560975,2.1219512195121952
Gambino La MG,50,26607,2018.0,2023.0,3.6729846772314314,4.98,9.78,31.18,2.68
Gazo,33,18794,2018.0,2023.0,3.5920959340560614,5.696969696969697,13.818181818181818,31.87878787878788,3.8181818181818183
Georgio,82,46131,2018.0,2023.0,3.807043783112595,4.780487804878049,5.170731707317073,29.585365853658537,0.9024390243902439
Gims,103,47610,2018.0,2024.0,3.628686542620644,5.621359223300971,3.3106796116504853,23.40776699029126,0.941747572815534
Gradur,27,15166,2018.0,2023.0,3.644616333170274,5.666666666666667,13.37037037037037,29.48148148148148,6.851851851851852
Grand Corps Malade,30,14867,2018.0,2021.0,4.0531043276954,2.7666666666666666,3.9,16.366666666666667,0.43333333333333335
Grems,70,26881,2018.0,2023.0,3.8858317480688025,4.042857142857143,8.271428571428572,17.428571428571427,4.057142857142857
Guizmo,91,62612,2018.0,2023.0,3.6863798264483845,6.835164835164835,15.934065934065934,39.65934065934066,4.43956043956044
Guy2Bezbar,46,24929,2018.0,2023.0,3.7278147662597827,4.804347826086956,12.956521739130435,23.869565217391305,2.9130434782608696
Hamza,58,27483,2018.0,2023.0,3.646514974857939,5.310344827586207,5.862068965517241,28.517241379310345,4.275862068965517
Hatik,123,60824,2018.0,2024.0,3.623294077511589,7.056910569105691,8.252032520325203,28.195121951219512,2.317073170731707
Hayce Lemsi,94,52749,2018.0,2024.0,3.8935212094752103,6.25531914893617,10.393617021276595,28.414893617021278,3.106382978723404
Heuss L’enfoiré,31,14003,2018.0,2024.0,3.766247472242096,3.838709677419355,11.870967741935484,21.322580645161292,3.096774193548387
Hippocampe Fou,31,12577,2018.0,2023.0,4.066473072501562,3.6451612903225805,5.838709677419355,17.129032258064516,0.7419354838709677
Hooss,78,35502,2018.0,2022.0,3.929985302685193,3.91025641025641,8.102564102564102,22.128205128205128,3.7051282051282053
Hornet La Frappe,74,39156,2018.0,2023.0,3.672577037651548,6.081081081081081,10.972972972972974,27.405405405405407,1.8108108108108107
Hyacinthe,58,21783,2018.0,2023.0,3.753395291272155,6.844827586206897,3.9310344827586206,25.086206896551722,2.0172413793103448
IAM,41,26272,2019.0,2024.0,4.026741336821309,3.8536585365853657,7.0,13.682926829268293,1.975609756097561
ISK,82,53316,2018.0,2023.0,3.7450122670086983,6.182926829268292,9.548780487804878,29.878048780487806,1.8048780487804879
J9ueve,42,18977,2020.0,2023.0,3.526320717575505,3.142857142857143,5.357142857142857,30.333333333333332,3.3333333333333335
JNR Slice,28,14520,2020.0,2023.0,3.6149466093563136,4.0,10.428571428571429,32.214285714285715,2.4285714285714284
Jack Uzi,87,32022,2018.0,2023.0,3.7176355623067643,2.9655172413793105,11.045977011494253,22.79310344827586,6.045977011494253
Jarod,55,28920,2018.0,2023.0,3.847518864235027,5.8,13.127272727272727,26.072727272727274,3.8181818181818183
Jazzy Bazz,32,16010,2018.0,2022.0,3.8880124970576158,5.375,5.1875,27.8125,1.5
