rep,artiste,A_naive,B_taille_controlee,C_protocole
0,113,12,1,1
0,13 Block,141,37,1
0,3010,2,1,1
0,404Billy,44,1,1
0,A2H,4,1,1
0,ASHE 22,1,1,1
0,Akhenaton,2,1,1
0,Aladin 135,2,1,1
0,Alkpote,29,2,1
0,Alonzo,52,2,1
0,Alpha Wann,5,1,1
0,Assassin (FRA),3,1,1
0,Ateyaba,4,1,1
0,Beeby,9,1,1
0,Bekar,76,8,1
0,Benab,104,33,3
0,Bigflo & Oli,61,5,3
0,Black M,53,1,1
0,Bolémvn,276,165,1
0,Booba,4,1,1
0,Busta Flex,10,1,1
0,Butter Bullets,1,1,1
0,Caballero,13,2,1
0,D. Ace,15,1,1
0,DTF,2,1,1
0,Dabs,11,2,1
0,Dadju,3,1,1
0,Damso,41,2,1
0,Davodka,1,1,1
0,Deen Burbigo,59,6,1
0,Demi Portion,17,1,1
0,Despo Rutti,12,1,1
0,Diam’s,104,22,1
0,Dibson,2,1,1
0,Dinos,12,1,1
0,Disiz,44,4,2
0,Djadja & Dinaz,7,1,1
0,Dooz Kawa,2,1,1
0,Dosseh,96,7,1
0,Dry,44,2,1
0,Elams,14,1,1
0,Elh Kmer,25,1,1
0,Fababy,125,19,1
0,Fabe,6,1,1
0,Fonky Family,22,1,1
0,Franglish,10,1,1
0,Freeze Corleone,1,1,1
0,Fresh laDouille,1,1,1
0,Furax Barbarossa,1,1,1
0,GLK,40,2,1
0,Georgio,1,1,1
0,Gims,26,1,2
0,Gradur,22,2,1
0,Grand Corps Malade,1,1,1
0,Grems,1,1,1
0,Guizmo,1,1,1
0,Hamza,46,8,1
0,Hatik,58,3,1
0,Hayce Lemsi,1,1,1
0,Hippocampe Fou,138,43,5
0,Hooss,1,1,1
0,Hornet La Frappe,27,2,1
0,Hugo TSR,2,1,1
0,IAM,27,8,9
0,ISK,2,1,1
0,Jarod,96,7,1
0,Jok’Air,16,1,1
0,Jorrdee,41,1,1
0,Josman,4,1,1
0,JuL,47,5,1
0,KIK,4,1,1
0,Kaaris,110,14,1
0,Kalash,145,35,1
0,Kalash Criminel,2,1,1
0,Kamikaz,1,1,1
0,KeBlack,7,1,1
0,Kekra,115,14,1
0,Keny Arkana,30,4,1
0,Kery James,36,5,1
0,Koba LaD,4,1,1
0,Kofs,6,1,1
0,Krisy,2,1,1
0,La Fouine,20,1,1
0,La Fève,1,1,1
