,cosine_distance_char4,rang
Zkr,0.10013316227676616,1
ISK,0.10182681888206746,2
​DA Uzi,0.10216781083788029,3
PLK,0.1026017235131561,4
Dosseh,0.1026227329308147,5
Zikxo,0.1031155350700621,6
YL,0.10335183202000187,7
Nahir,0.10387884699231453,8
Hatik,0.10654393516143279,9
Hayce Lemsi,0.10684458383137452,10
Sadek,0.10696439908399968,11
Guizmo,0.10713918146509105,12
Niro,0.10732684561133565,13
Vald,0.10945895823503249,14
Ninho,0.11042393725684407,15
Swift Guad,0.1106059040041687,16
Koba LaD,0.11104122628188318,17
RK,0.11107801580208787,18
404Billy,0.11162529654569764,19
SCH,0.11283191701259465,20
Hornet La Frappe,0.11303352593399829,21
Kofs,0.11342489387692467,22
Alkpote,0.11357044155698959,23
Maes,0.11398613022143933,24
JuL,0.11412297794665416,25
Dinos,0.1151841690889911,26
Souffrance,0.11532364576844156,27
Beendo Z,0.1161689312096944,28
Lacrim,0.11656217016851489,29
Rohff,0.11695181650885489,30
KIK,0.11697347911481226,31
A2H,0.11794052695596569,32
Roshi,0.11822790005150019,33
La Fève,0.11869887175508609,34
Kaaris,0.11919363541469297,35
Luv Resval,0.11925684468560072,36
Bigflo & Oli,0.11944086206313254,37
Timal,0.1195297383573849,38
Jok’Air,0.11974669957804362,39
4Keus,0.11989805963522393,40
Zamdane,0.12002840478706112,41
ASHE 22,0.12063440485821364,42
Seth Gueko,0.12081691947262319,43
D. Ace,0.12096205598073595,44
So La Lune,0.12112528617294882,45
Djadja & Dinaz,0.12164645764055182,46
Leto,0.12173870546089793,47
GLK,0.12193483156959062,48
Soso Maness,0.12204286091444638,49
Bekar,0.12220754184316951,50
3010,0.12247176136597682,51
Lefa,0.12334311196165249,52
Vin’s,0.12366718882906458,53
Lucio Bukowski,0.12396415182181397,54
Lesram,0.12419472673732734,55
Alonzo,0.12422391496839302,56
Zola,0.12428110883752674,57
La Fouine,0.12437592073010029,58
Dabs,0.1244632158260115,59
Jarod,0.12514099620619967,60
Mister You,0.12540608618780158,61
Georgio,0.12593610253163745,62
Nekfeu,0.12626778617366508,63
Médine,0.12632599907961473,64
Bolémvn,0.12700857892693174,65
Lujipeka,0.12711691898137567,66
Kalash Criminel,0.12734985096105955,67
Alpha Wann,0.12787856231779582,68
Yaro,0.12811487862510673,69
Grems,0.12871898777112245,70
13 Block,0.128794567156707,71
Roméo Elvis,0.12889478254628117,72
Naps,0.12951418166401651,73
Dibson,0.13042941382567874,74
Josman,0.13087843346362793,75
Landy,0.13110050085162084,76
Kerchak,0.13122991022427566,77
Gims,0.13141507187155244,78
R.E.D.K.,0.13157978008122084,79
Sam’s,0.13202047857354415,80
Benab,0.13206637728937476,81
Hooss,0.13234008401676411,82
S.Pri Noir,0.13245604153061274,83
Mac Tyer,0.13294567382532674,84
Lord Esperanza,0.13306490484859923,85
Kekra,0.13362800494188154,86
Fresh laDouille,0.1338743163209285,87
Niska,0.13401885272172098,88
Jack Uzi,0.13434080782643265,89
Elh Kmer,0.1348800915470183,90
Lacraps,0.13527222233900849,91
Sofiane,0.13565630204974255,92
Kemmler,0.1363097363501854,93
Lomepal,0.13635348437448136,94
Benjamin Epps,0.13695215342558154,95
Niaks,0.1369874958568097,96
Ol’ Kainry,0.1374431284183707,97
Davodka,0.13806728838403814,98
