,cosine_distance_char4,rang,intra_ziak,intra_other,ratio_vs_intra_ziak
Zkr,0.10013316227676616,1,0.18989250022358428,0.058231955324308804,0.5273149922133145
ISK,0.10182681888206746,2,0.18989250022358428,0.09345387210876821,0.5362340206283763
​DA Uzi,0.10216781083788029,3,0.18989250022358428,0.08229500151762037,0.5380297311246379
PLK,0.1026017235131561,4,0.18989250022358428,0.08788489598332827,0.5403147748981671
Dosseh,0.1026227329308147,5,0.18989250022358428,0.11015465696164206,0.5404254133785382
Zikxo,0.1031155350700621,6,0.18989250022358428,0.06082438478307772,0.5430205771615585
YL,0.10335183202000187,7,0.18989250022358428,0.07881796706421484,0.544264949370369
Nahir,0.10387884699231453,8,0.18989250022358428,0.0944602510294783,0.5470402826336213
Hatik,0.10654393516143279,9,0.18989250022358428,0.10287696696839277,0.5610750031517056
Hayce Lemsi,0.10684458383137452,10,0.18989250022358428,0.0802804213972711,0.5626582603608514
Sadek,0.10696439908399968,11,0.18989250022358428,0.09887045210536538,0.5632892239454274
Guizmo,0.10713918146509105,12,0.18989250022358428,0.08421258181320013,0.5642096519817404
Niro,0.10732684561133565,13,0.18989250022358428,0.09722749797707864,0.5651979171634808
Vald,0.10945895823503249,14,0.18989250022358428,0.07085447283461732,0.5764259152212579
Ninho,0.11042393725684407,15,0.18989250022358428,0.11653595407382877,0.5815076273514126
Swift Guad,0.1106059040041687,16,0.18989250022358428,0.10445660022066039,0.58246588924754
Koba LaD,0.11104122628188318,17,0.18989250022358428,0.10976815916874649,0.5847583561812099
RK,0.11107801580208787,18,0.18989250022358428,0.09056865398055525,0.5849520948499902
404Billy,0.11162529654569764,19,0.18989250022358428,0.10247366731436369,0.5878341504496869
SCH,0.11283191701259465,20,0.18989250022358428,0.13295116734805335,0.5941883796344957
Hornet La Frappe,0.11303352593399829,21,0.18989250022358428,0.1571197676745547,0.5952500799184262
Kofs,0.11342489387692467,22,0.18989250022358428,0.11677256592797225,0.5973110772851761
Alkpote,0.11357044155698959,23,0.18989250022358428,0.11209688612165658,0.5980775513686367
Maes,0.11398613022143933,24,0.18989250022358428,0.12367561659556014,0.600266624996928
JuL,0.11412297794665416,25,0.18989250022358428,0.0185606048094088,0.6009872839226554
Dinos,0.1151841690889911,26,0.18989250022358428,0.09399557496993727,0.6065756623003558
Souffrance,0.11532364576844156,27,0.18989250022358428,0.16979249557644704,0.6073101656603423
Beendo Z,0.1161689312096944,28,0.18989250022358428,0.1365249467407499,0.6117615549477422
Lacrim,0.11656217016851489,29,0.18989250022358428,0.16454225329754957,0.6138324053412937
Rohff,0.11695181650885489,30,0.18989250022358428,0.12470933345367652,0.615884336512252
KIK,0.11697347911481226,31,0.18989250022358428,0.08714331471008707,0.6159984147719615
A2H,0.11794052695596569,32,0.18989250022358428,0.13598618268292362,0.6210910215890543
Roshi,0.11822790005150019,33,0.18989250022358428,0.11241256898356866,0.6226043677991265
La Fève,0.11869887175508609,34,0.18989250022358428,0.09372876424663512,0.6250845695081533
Kaaris,0.11919363541469297,35,0.18989250022358428,0.16193340839605497,0.6276900629269262
Luv Resval,0.11925684468560072,36,0.18989250022358428,0.0757229264823297,0.6280229316333434
Bigflo & Oli,0.11944086206313254,37,0.18989250022358428,0.09741597651859268,0.6289919924299264
Timal,0.1195297383573849,38,0.18989250022358428,0.13399102989306355,0.6294600272082759
Jok’Air,0.11974669957804362,39,0.18989250022358428,0.11937649916018855,0.6306025748096992
4Keus,0.11989805963522393,40,0.18989250022358428,0.15462870613888724,0.6313996576697494
Zamdane,0.12002840478706112,41,0.18989250022358428,0.11614135590312158,0.6320860731505278
ASHE 22,0.12063440485821364,42,0.18989250022358428,0.14156274220388543,0.635277352797902
Seth Gueko,0.12081691947262319,43,0.18989250022358428,0.18884188433492322,0.636238499837383
D. Ace,0.12096205598073595,44,0.18989250022358428,0.11777323098930781,0.637002808632843
So La Lune,0.12112528617294882,45,0.18989250022358428,0.0894352998293576,0.6378624012550933
Djadja & Dinaz,0.12164645764055182,46,0.18989250022358428,0.10947964327333604,0.6406069618195672
Leto,0.12173870546089793,47,0.18989250022358428,0.09243603224267172,0.6410927515176201
GLK,0.12193483156959062,48,0.18989250022358428,0.14320993198687082,0.6421255785564013
Soso Maness,0.12204286091444638,49,0.18989250022358428,0.13896728113877044,0.642694475931119
Bekar,0.12220754184316951,50,0.18989250022358428,0.11699736162860563,0.6435617083311833
3010,0.12247176136597682,51,0.18989250022358428,0.10184611057711945,0.644953124645657
Lefa,0.12334311196165249,52,0.18989250022358428,0.13534040837485772,0.6495417766179558
Vin’s,0.12366718882906458,53,0.18989250022358428,0.11226065650979633,0.6512484099343347
Lucio Bukowski,0.12396415182181397,54,0.18989250022358428,0.08535621867268628,0.6528122578609235
Lesram,0.12419472673732734,55,0.18989250022358428,0.1690096924950173,0.6540264970501589
Alonzo,0.12422391496839302,56,0.18989250022358428,0.1708204189178666,0.6541802062858123
Zola,0.12428110883752674,57,0.18989250022358428,0.15250755834718255,0.6544813970598891
La Fouine,0.12437592073010029,58,0.18989250022358428,0.16525714509292477,0.6549806895146301
Dabs,0.1244632158260115,59,0.18989250022358428,0.1686310568139252,0.6554403974852367
Jarod,0.12514099620619967,60,0.18989250022358428,0.14251263628741384,0.6590096821035873
Mister You,0.12540608618780158,61,0.18989250022358428,0.18933910384552333,0.6604056823736865
Georgio,0.12593610253163745,62,0.18989250022358428,0.10230689692074091,0.6631968212718093
Nekfeu,0.12626778617366508,63,0.18989250022358428,0.17572207918126548,0.6649435129085886
Médine,0.12632599907961473,64,0.18989250022358428,0.1586240691350932,0.6652500700705677
Bolémvn,0.12700857892693174,65,0.18989250022358428,0.15259194857190161,0.668844629342331
Lujipeka,0.12711691898137567,66,0.18989250022358428,0.13143255660003395,0.6694151629564357
Kalash Criminel,0.12734985096105955,67,0.18989250022358428,0.1603385149594213,0.6706418147694858
Alpha Wann,0.12787856231779582,68,0.18989250022358428,0.17013586624614563,0.6734260814262192
Yaro,0.12811487862510673,69,0.18989250022358428,0.19188454567166746,0.6746705555736061
Grems,0.12871898777112245,70,0.18989250022358428,0.1890736040226948,0.6778518773493709
13 Block,0.128794567156707,71,0.18989250022358428,0.18595423266388011,0.6782498887794989
Roméo Elvis,0.12889478254628117,72,0.18989250022358428,0.15139235757465108,0.6787776367919595
Naps,0.12951418166401651,73,0.18989250022358428,0.09790951162919193,0.6820394776598507
Dibson,0.13042941382567874,74,0.18989250022358428,0.1612223481832077,0.686859215988561
Josman,0.13087843346362793,75,0.18989250022358428,0.1469813163082364,0.6892238151034312
Landy,0.13110050085162084,76,0.18989250022358428,0.17635399750654324,0.6903932524836934
Kerchak,0.13122991022427566,77,0.18989250022358428,0.14571444897326224,0.6910747400227086
Gims,0.13141507187155244,78,0.18989250022358428,0.14523142015417123,0.692049826701007
R.E.D.K.,0.13157978008122084,79,0.18989250022358428,0.17609847503594123,0.692917202766278
Sam’s,0.13202047857354415,80,0.18989250022358428,0.22027187210509147,0.6952379815848434
Benab,0.13206637728937476,81,0.18989250022358428,0.1640382505120882,0.6954796905295176
Hooss,0.13234008401676411,82,0.18989250022358428,0.14674212614243998,0.6969210677669919
S.Pri Noir,0.13245604153061274,83,0.18989250022358428,0.20102269983186005,0.6975317159690647
Mac Tyer,0.13294567382532674,84,0.18989250022358428,0.18907252367769323,0.700110186915192
Lord Esperanza,0.13306490484859923,85,0.18989250022358428,0.0852072115681406,0.7007380738677157
Kekra,0.13362800494188154,86,0.18989250022358428,0.1584362549143371,0.7037034363365826
Fresh laDouille,0.1338743163209285,87,0.18989250022358428,0.13028526969192689,0.7050005459051909
Niska,0.13401885272172098,88,0.18989250022358428,0.17729190999930589,0.7057616944530393
Jack Uzi,0.13434080782643265,89,0.18989250022358428,0.12723588742196634,0.7074571542754787
Elh Kmer,0.1348800915470183,90,0.18989250022358428,0.1722981167250175,0.7102970964530302
Lacraps,0.13527222233900849,91,0.18989250022358428,0.16607275480349726,0.712362111087776
Sofiane,0.13565630204974255,92,0.18989250022358428,0.21520276528330207,0.7143847276222987
Kemmler,0.1363097363501854,93,0.18989250022358428,0.1343091198670886,0.7178258024392266
