title,year,nearest_artist,cosine_similarity
Fixette,2020.0,​​okis,0.5059386528223043
Raspoutine,2020.0,Volts Face,0.47616832019622257
Double Dash,2020.0,PRIME,0.4377561236186353
C’est la vie,2020.0,Gradur,0.4278621022407243
Ronaldo,2020.0,Zbig,0.4820166169747521
LG,2020.0,JNR Slice,0.4268700712052769
123 Soleil,2020.0,Deen Burbigo,0.4190442045033796
Quatre,2020.0,Nemir,0.40954168844031336
Akimbo,2021.0,Volts Face,0.4368506039828129
Galerie,2021.0,Volts Face,0.4442150512258009
Flocko,2021.0,Seth Gueko,0.5319353632566812
Shonen,2021.0,Volts Face,0.4960454047863014
S.P.S,2021.0,Butter Bullets,0.45589991625915216
Ça suffit,2021.0,Deen Burbigo,0.5769984235491921
Espace,2021.0,S-Pion,0.5338908049549373
Prière,2021.0,Butter Bullets,0.49501151744828764
Rhum & machette,2021.0,Gambi,0.4629589964263021
Vrai / Faux,2021.0,Nemir,0.4803078451467871
Coffre,2021.0,Gradur,0.4174963277666642
Gros lot,2021.0,Booba,0.4540317871609565
Le pacte,2021.0,JeanJass,0.45593260653685785
Lauiss,2021.0,Limsa d’Aulnay,0.489824456749939
Parasite,2021.0,Butter Bullets,0.4042340257877436
You Know,2022.0,Booba,0.42275474944976
Dans les règles,2022.0,Deen Burbigo,0.49861864932102284
Pistol & Zamal,2023.0,Zuukou Mayzie,0.38454668281461224
Même pas un grincement,2023.0,Butter Bullets,0.5070387330356185
Chrome,2023.0,Dandyguel,0.43380334667278425
Tomb Raider,2023.0,Ateyaba,0.40372292833843915
Seinen,2023.0,Volts Face,0.482777903524909
Le crime parfait,2023.0,Limsa d’Aulnay,0.4234638948537156
Mauvais jour,2023.0,Limsa d’Aulnay,0.49805814736551557
Démonstration,2023.0,Volts Face,0.47945271499090775
Halla,2023.0,J9ueve,0.46924219400257544
Op Gante,2023.0,Zbig,0.4346589884780466
La plage,2023.0,JNR Slice,0.48211919537624154
Désolé,2023.0,Luni Sacks,0.4372126708700984
Rappel des faits,2023.0,Volts Face,0.5274424112174373
Ambiance vandale,2023.0,Volts Face,0.46839457359867714
Cette vie,2023.0,Hyacinthe,0.3807894765733662
Pourquoi,2023.0,Volts Face,0.2945765128237167
Pour une fois,2023.0,Butter Bullets,0.4368363825519576
AP*,2024.0,Nemir,0.4496833442781241
