rep,features,metric,rang_moitie_B,top1,sep_moitie_B
0,mfw,cosine_delta,1,Ziak__moitie_B,-3.28701756577459
0,mfw,burrows_delta,1,Ziak__moitie_B,-2.4929413682404093
0,char,cosine_delta,1,Ziak__moitie_B,-3.7890993655011775
0,char,burrows_delta,1,Ziak__moitie_B,-2.2029068281378694
1,mfw,cosine_delta,1,Ziak__moitie_B,-4.241248652062255
1,mfw,burrows_delta,1,Ziak__moitie_B,-2.9087005179031182
1,char,cosine_delta,1,Ziak__moitie_B,-3.821441098392933
1,char,burrows_delta,2,S-Crew,-2.2380823258437808
2,mfw,cosine_delta,1,Ziak__moitie_B,-3.3262747559551507
2,mfw,burrows_delta,1,Ziak__moitie_B,-2.4984901679661817
2,char,cosine_delta,1,Ziak__moitie_B,-3.767685523573166
2,char,burrows_delta,1,Ziak__moitie_B,-2.5138064261790896
3,mfw,cosine_delta,1,Ziak__moitie_B,-3.842554579385741
3,mfw,burrows_delta,1,Ziak__moitie_B,-2.410230901625645
3,char,cosine_delta,1,Ziak__moitie_B,-4.263797107865278
3,char,burrows_delta,3,L’Animalerie,-1.9894959009144952
4,mfw,cosine_delta,5,Werenoi,-2.7314483874855005
4,mfw,burrows_delta,2,Lacrim,-2.1500528266922805
4,char,cosine_delta,1,Ziak__moitie_B,-3.0726445752230136
4,char,burrows_delta,3,Lacrim,-1.9672366058064246
5,mfw,cosine_delta,1,Ziak__moitie_B,-3.5785509067747254
5,mfw,burrows_delta,1,Ziak__moitie_B,-2.4756917402170715
5,char,cosine_delta,1,Ziak__moitie_B,-3.7199409045712035
5,char,burrows_delta,1,Ziak__moitie_B,-2.2079940061788625
6,mfw,cosine_delta,1,Ziak__moitie_B,-4.23971860812639
6,mfw,burrows_delta,1,Ziak__moitie_B,-2.5136265651414087
6,char,cosine_delta,1,Ziak__moitie_B,-3.9177584993348193
6,char,burrows_delta,5,Zkr,-1.7816387791516017
7,mfw,cosine_delta,1,Ziak__moitie_B,-4.1797533975933465
7,mfw,burrows_delta,1,Ziak__moitie_B,-2.7885592095594323
7,char,cosine_delta,1,Ziak__moitie_B,-4.564167960710798
7,char,burrows_delta,1,Ziak__moitie_B,-2.2481039424377944
8,mfw,cosine_delta,3,ISK,-2.7782984739053393
8,mfw,burrows_delta,2,ISK,-2.2988361090209906
8,char,cosine_delta,1,Ziak__moitie_B,-4.004706768948324
8,char,burrows_delta,3,ISK,-2.0305297275368526
9,mfw,cosine_delta,2,SCH,-3.0996969911153607
9,mfw,burrows_delta,1,Ziak__moitie_B,-2.655179142826005
9,char,cosine_delta,1,Ziak__moitie_B,-4.046809125666824
9,char,burrows_delta,1,Ziak__moitie_B,-2.7207375605760387
10,mfw,cosine_delta,1,Ziak__moitie_B,-3.364015747589737
10,mfw,burrows_delta,1,Ziak__moitie_B,-2.225616073476347
10,char,cosine_delta,1,Ziak__moitie_B,-3.9949546633348416
10,char,burrows_delta,2,Zkr,-2.0234728721344055
11,mfw,cosine_delta,1,Ziak__moitie_B,-3.271368186900019
11,mfw,burrows_delta,5,Zkr,-1.8605781274086717
11,char,cosine_delta,1,Ziak__moitie_B,-3.647141308595264
11,char,burrows_delta,7,Zkr,-1.6959553587473257
12,mfw,cosine_delta,1,Ziak__moitie_B,-3.8931056731441998
12,mfw,burrows_delta,1,Ziak__moitie_B,-3.305739242386099
