rep,features,metric,rang,artiste,distance
0,mfw,cosine_delta,1,GLK,0.6820854149094987
0,mfw,cosine_delta,2,Werenoi,0.7073741254972217
0,mfw,cosine_delta,3,Rimkus,0.7078112406541621
0,mfw,cosine_delta,4,Beendo Z,0.7344339805948237
0,mfw,cosine_delta,5,Maes,0.7417783132164025
0,mfw,cosine_delta,6,Lemon Haze,0.7455033194876578
0,mfw,cosine_delta,7,SCH,0.7664768289315362
0,mfw,cosine_delta,8,Graya,0.7704346706291146
0,mfw,cosine_delta,9,Fresh laDouille,0.7744808972145608
0,mfw,cosine_delta,10,Zola,0.7825750320174101
0,mfw,cosine_delta,11,UZI (FRA),0.7857031480937369
0,mfw,cosine_delta,12,Mister You,0.7857527274100372
0,mfw,cosine_delta,13,Worms-T,0.7926250793680968
0,mfw,cosine_delta,14,Djadja & Dinaz,0.7957699175108897
0,mfw,cosine_delta,15,Lacrim,0.800248157526143
0,mfw,cosine_delta,16,Dika,0.8019461955083065
0,mfw,cosine_delta,17,Soso Maness,0.8088073333198731
0,mfw,cosine_delta,18,Kerchak,0.8142399122412741
0,mfw,cosine_delta,19,Roshi,0.819596970486977
0,mfw,cosine_delta,20,KaNoé (BEL),0.8247350897061396
0,mfw,cosine_delta,21,Meryl,0.827896751011293
0,mfw,cosine_delta,22,Koba LaD,0.8301530619808091
0,mfw,cosine_delta,23,AM La Scampia,0.8323410031370819
0,mfw,cosine_delta,24,So La Lune,0.8351524865448168
0,mfw,cosine_delta,25,Nahir,0.8377013183890587
0,mfw,burrows_delta,1,Beendo Z,0.6867053644256721
0,mfw,burrows_delta,2,Panama Bende,0.6869069870552085
0,mfw,burrows_delta,3,GLK,0.7047106223280865
0,mfw,burrows_delta,4,Seth Gueko,0.7069683189235725
0,mfw,burrows_delta,5,Rimkus,0.7120051045526976
0,mfw,burrows_delta,6,Zola,0.7155431388074087
0,mfw,burrows_delta,7,Nahir,0.7207441965116651
0,mfw,burrows_delta,8,Zkr,0.7234169034236363
0,mfw,burrows_delta,9,Mister V,0.7238089880774765
0,mfw,burrows_delta,10,S-Pion,0.7291542476233654
0,mfw,burrows_delta,11,Graya,0.729162010378918
0,mfw,burrows_delta,12,Lesram,0.7296117795406157
0,mfw,burrows_delta,13,SCH,0.7305775247127166
0,mfw,burrows_delta,14,Mister You,0.7307970728672865
0,mfw,burrows_delta,15,Lemon Haze,0.7320558875699931
0,mfw,burrows_delta,16,L’Animalerie,0.7373130792526099
0,mfw,burrows_delta,17,YL,0.7402053289944434
0,mfw,burrows_delta,18,S-Crew,0.7403424279727799
0,mfw,burrows_delta,19,Deen Burbigo,0.7455105970561747
0,mfw,burrows_delta,20,Swift Guad,0.7488002266583619
0,mfw,burrows_delta,21,Hayce Lemsi,0.7495332678564478
0,mfw,burrows_delta,22,Lacrim,0.7496328255537297
0,mfw,burrows_delta,23,PLK,0.7520917167504171
0,mfw,burrows_delta,24,Mokobé,0.754030045734185
0,mfw,burrows_delta,25,Intouchable,0.7543726600032362
0,char,cosine_delta,1,Beendo Z,0.7933865311287
0,char,cosine_delta,2,UZI (FRA),0.807667134043207
0,char,cosine_delta,3,Nahir,0.8098992901544289
0,char,cosine_delta,4,GLK,0.8160020510304336
0,char,cosine_delta,5,​DA Uzi,0.8185005879034595
0,char,cosine_delta,6,Roshi,0.8236513140001667
0,char,cosine_delta,7,Kerchak,0.8248439479175749
0,char,cosine_delta,8,Djadja & Dinaz,0.826018994952647
0,char,cosine_delta,9,Rimkus,0.8281105744553787
0,char,cosine_delta,10,Lemon Haze,0.833340662258377
0,char,cosine_delta,11,Werenoi,0.8357201729047619
0,char,cosine_delta,12,Worms-T,0.843919390275103
0,char,cosine_delta,13,SDM,0.8449524591334319
0,char,cosine_delta,14,Zola,0.8470978723247353
0,char,cosine_delta,15,Lacrim,0.8496566395687406
0,char,cosine_delta,16,Maes,0.8562702175334136
0,char,cosine_delta,17,ISK,0.8571064294863617
0,char,cosine_delta,18,Fresh laDouille,0.8576116989300735
0,char,cosine_delta,19,Naps,0.857921511431821
0,char,cosine_delta,20,Gazo,0.863713218502518
0,char,cosine_delta,21,Gambino La MG,0.8664236738315285
0,char,cosine_delta,22,BFG,0.8686048014075295
0,char,cosine_delta,23,Gambi,0.8695518970796421
0,char,cosine_delta,24,JuL,0.8712165181315912
0,char,cosine_delta,25,F430,0.8753701614561672
0,char,burrows_delta,1,L’Animalerie,0.7644985597546686
0,char,burrows_delta,2,Nahir,0.7847292303952299
0,char,burrows_delta,3,Panama Bende,0.7913070447127993
0,char,burrows_delta,4,S-Crew,0.7966343063943997
0,char,burrows_delta,5,Zkr,0.7968593427852131
0,char,burrows_delta,6,Beendo Z,0.7997202986127206
0,char,burrows_delta,7,Deen Burbigo,0.8042698754449709
0,char,burrows_delta,8,Seth Gueko,0.8062993020981994
0,char,burrows_delta,9,Leck,0.8068613759296683
0,char,burrows_delta,10,Rohff,0.8076926477597595
0,char,burrows_delta,11,Worms-T,0.8171883965721749
0,char,burrows_delta,12,​DA Uzi,0.8182424289518613
0,char,burrows_delta,13,Lacrim,0.819790004970329
0,char,burrows_delta,14,GLK,0.8210512731181199
0,char,burrows_delta,15,Saké (FRA),0.82206839075054
0,char,burrows_delta,16,Mokobé,0.8228919079944798
0,char,burrows_delta,17,Volts Face,0.8234295800848864
0,char,burrows_delta,18,Zola,0.824810641185366
0,char,burrows_delta,19,TSR Crew,0.8257138025982939
0,char,burrows_delta,20,PLK,0.8260381646069496
0,char,burrows_delta,21,Rimkus,0.8287102005997198
0,char,burrows_delta,22,5 Majeur,0.8290534074234527
0,char,burrows_delta,23,Niro,0.8296392396950915
0,char,burrows_delta,24,Sam’s,0.8298915892428489
0,char,burrows_delta,25,Casseurs Flowters,0.830117392897135
1,mfw,cosine_delta,1,Werenoi,0.6992868021204504
1,mfw,cosine_delta,2,Beendo Z,0.7090311143976133
1,mfw,cosine_delta,3,GLK,0.7176537294604954
1,mfw,cosine_delta,4,Rimkus,0.7301225512797364
1,mfw,cosine_delta,5,SCH,0.7339270861055665
