features,generation,recall_at_1,recall_at_5,n_essais,n_artistes
char,1990-2005,0.9181818181818182,1.0,110,11
char,2006-2012,0.8357142857142857,0.9678571428571429,280,28
char,2013-2017,0.8797101449275362,0.9855072463768116,690,69
char,2018-2020,0.9357142857142857,0.9857142857142858,560,56
char,2021-2024,0.9769230769230769,1.0,130,13
mfw,1990-2005,0.8363636363636363,0.990909090909091,110,11
mfw,2006-2012,0.7607142857142857,0.9321428571428572,280,28
mfw,2013-2017,0.8231884057971014,0.9521739130434783,690,69
mfw,2018-2020,0.9142857142857143,0.9892857142857143,560,56
mfw,2021-2024,0.9153846153846154,0.9923076923076923,130,13
