artiste,score_imposteurs_jumeau
YL,1.0
Fresh laDouille,1.0
Roméo Elvis,1.0
Hatik,1.0
Scylla,1.0
Lino,1.0
Jok’Air,1.0
Djadja & Dinaz,1.0
Sinik,1.0
Georgio,1.0
SCH,1.0
404Billy,1.0
Lartiste,1.0
Psy 4 de la Rime,1.0
Maes,1.0
Demi Portion,1.0
Elh Kmer,1.0
Ridsa,1.0
Davodka,1.0
Grand Corps Malade,1.0
PNL,1.0
Lacrim,1.0
La Rumeur,1.0
A2H,1.0
Roshi,1.0
Soso Maness,1.0
Sefyu,1.0
L’Entourage,1.0
Guizmo,1.0
Hayce Lemsi,1.0
Ninho,0.995
Oxmo Puccino,0.995
Lomepal,0.995
Kalash,0.985
KIK,0.985
Benab,0.975
Sultan,0.965
Sofiane,0.96
Sam’s,0.94
Akhenaton,0.725
