artiste,distance_mediane_aux_autres,distance_min,voisin_le_plus_proche,n_tokens_corpus,rang_excentricite
Manau,1.0223409850939382,0.6708710689625217,Klub des Loosers,28492,1
Rocé (FRA),1.022295865329291,0.6386527664682122,Fayçal,20277,2
Grand Corps Malade,1.022007093700648,0.6762784291105193,Manau,59855,3
Ali (FRA),1.0217040777500226,0.6054687589282799,Fayçal,21717,4
Tragédie,1.0215754744239782,0.6248656247610443,K-Reen,15948,5
Assassin (FRA),1.0205263299562612,0.6690934862439979,Rocé (FRA),35992,6
Fayçal,1.0196450289325143,0.528027751905674,VII,28362,7
VII,1.0191300284016913,0.528027751905674,Fayçal,55058,8
La Canaille,1.0190743320567157,0.6585964813041268,Fayçal,18622,9
Tsew The Kid,1.0190510839573166,0.7219614970119964,Lycos,37203,10
Shurik’n,1.0183048774414662,0.6867273970237143,Fayçal,35001,11
Akhenaton,1.0176080930638232,0.6585690417716796,Fayçal,98961,12
K-Reen,1.017199102374299,0.6248656247610443,Tragédie,15085,13
Suzuya,1.0162846802078385,0.6547092568589222,Lycos,36167,14
Abd Al Malik,1.0161516254031246,0.7021097117497979,Klub des Loosers,35036,15
Ideal J,1.0155189083450182,0.762208542601045,Assassin (FRA),23753,16
Kemmler,1.0152433018441087,0.7462669131689058,Spider ZED,29646,17
La Rumeur,1.0152035335780103,0.5797565916701912,Fayçal,59060,18
Keny Arkana,1.0151975330499505,0.6639328245316236,Rocé (FRA),69090,19
MC Solaar,1.0151706439472266,0.7232790974493054,La Caution,50421,20
Gaël Faye,1.0150450566264215,0.5879665409502214,Fayçal,19135,21
Lycos,1.0149072604515967,0.6547092568589222,Suzuya,29683,22
​nelick,1.0148958623304867,0.6923803968592265,Lycos,31696,23
Fresh laDouille,1.0147436080216412,0.7403629061045598,UZI (FRA),37825,24
Boostee,1.0147404255046497,0.7054988762058412,Lonepsi,20421,25
Benab,1.014602200422265,0.8231733953549973,Gambi,37988,26
Lemon Haze,1.014579183279587,0.7572483969072373,Rimkus,12635,27
Bisso Na Bisso,1.0145253396665246,0.7926703596586411,Kalash l’Afro,14170,28
Ridsa,1.0143988956421666,0.772384384151042,Lycos,39528,29
IAM,1.014301465448412,0.665377501877929,Fayçal,161006,30
Lonepsi,1.0140486060197955,0.6874973236885501,Manau,41365,31
Soolking,1.0139818042226136,0.8095037728049558,Franglish,32689,32
Suprême NTM,1.013957952550209,0.7251712123311971,Assassin (FRA),30704,33
Le 3ème Œil,1.0138397961954322,0.7218058182737215,Fonky Family,13902,34
Dadju,1.0136282021571392,0.705374556586187,Tragédie,48426,35
​DA Uzi,1.0134589401833338,0.7919785246151627,Djadja & Dinaz,73309,36
Kalash l’Afro,1.0130572989403772,0.7462931949337205,Le 3ème Œil,12492,37
Rockin’ Squat,1.0129615307363609,0.6994406114453722,Assassin (FRA),62852,38
Médine,1.012825480573655,0.7029247391569128,VII,71685,39
