mot,z_log_odds,n_occurrences_ziak,freq_ziak_pour_mille,freq_corpus_pour_mille,ratio
uh,50.97368847805773,136,6.269592476489028,0.042013338611048535,149.2286184283453
huh,26.00978385076743,42,1.9361976765627882,0.022284302657911172,86.88616854139777
pow,22.64043358478449,36,1.6595980084823898,0.026028065504440253,63.761865367953334
copains,21.313041089915018,28,1.2907984510418586,0.014559077736501967,88.6593556544875
know,20.58440972833951,40,1.8439977872026554,0.053066352729372476,34.748907591344484
chrome,19.89900837843212,28,1.2907984510418586,0.020560983252366043,62.779023512570625
zipette,15.33934209380005,18,0.8297990042411949,0.015747573878257228,52.69376798332748
op,15.212416081093803,17,0.7836990595611285,0.013608280823097757,57.58986529958522
libérez,14.50876456045555,18,0.8297990042411949,0.019788460760225123,41.93347902577111
sheitan,13.601580101054646,24,1.1063986723215933,0.05377945041442563,20.57288915739489
règles,13.042958727537712,23,1.0602987276415268,0.05478967213491761,19.352164127403046
oi,12.923612734208508,18,0.8297990042411949,0.030068952386408145,27.59653856834344
gang,12.79253017884519,53,2.443297068043518,0.3532804781367518,6.916026271617928
coupe,12.559914671159708,34,1.567398119122257,0.14832431849105676,10.567371116670687
amen,11.986656924775835,13,0.599299280840863,0.01592584829952052,37.630603379469974
paw,11.487832545424123,24,1.1063986723215933,0.08539344778511562,12.95648203719024
prie,11.486296899344415,25,1.1524986170016596,0.09359407116322693,12.313799396456597
you,11.23715127966446,40,1.8439977872026554,0.2609937527294557,7.065294735671817
traces,10.980047512038615,18,0.8297990042411949,0.04938201468993116,16.803668490471455
ganté,10.94045340767589,12,0.5531993361607966,0.017708592512153412,31.23903471047379
pistes,10.88873221921515,10,0.46099944680066385,0.010696465275797363,43.09829788759809
prière,10.56306406007285,13,0.599299280840863,0.024661294941421698,24.30120892939266
ooh,10.406090009100588,16,0.7375991148810621,0.04326125955989156,17.04987608740144
cc,9.850538119483533,11,0.5070993914807302,0.01996673518148841,25.397211255191735
stick,9.483465202668414,11,0.5070993914807302,0.022522001886262227,22.51573346106708
sa,9.472497556312673,81,3.7340955190853773,1.156585020349134,3.2285525520278484
chacal,9.22999889151659,10,0.46099944680066385,0.01919421268934749,24.01762730578222
remettre,9.047160340544641,12,0.5531993361607966,0.03208939582739209,17.239319155039237
a,8.949642873636728,343,15.81228102526277,9.232356878769055,1.7127025344552118
pardon,8.878891840988588,17,0.7836990595611285,0.07416215924552838,10.567371116670687
oh,-2.1389104242454535,25,1.1524986170016596,1.8636213750793396,0.6184188657701968
vois,-2.3400184274639555,12,0.5531993361607966,1.175600958617218,0.4705672720882165
suis,-2.3476863160003014,131,6.039092753088696,7.600848800174519,0.7945287311793436
ses,-2.3626248539590327,5,0.23049972340033192,0.7333021194629971,0.3143311839452049
trop,-2.3836122718045876,37,1.7056979531624563,2.6491578999724803,0.6438642080112232
toi,-2.4022491947202864,33,1.5212981744421907,2.433267575822637,0.6252079259831799
dis,-2.41818518795668,14,0.6453992255209293,1.3284415624469448,0.4858318527253285
seul,-2.437584491688959,6,0.2765996680803983,0.8259453937128197,0.33488856549828006
ceux,-2.4910620173513633,6,0.2765996680803983,0.8447830575596407,0.3274209462479315
non,-2.54795499077503,9,0.41489950212059745,1.0629909491859069,0.390313297058972
sans,-2.7077830691958353,22,1.0141987829614605,1.934990568391743,0.5241362927181636
être,-2.9992414802340903,15,0.6914991702009957,1.6348358677914514,0.422977733621151
te,-3.154784976897967,44,2.028397565922921,3.456562753873918,0.5868250369965391
rap,-3.1992486950843935,6,0.2765996680803983,1.1280611129470075,0.24519918726547932
monde,-3.2681473740237696,10,0.46099944680066385,1.4314841779371261,0.322042991397221
à,-3.342372002214905,224,10.32638760833487,13.247275120039596,0.7795103154998115
en,-3.5428461415096235,173,7.975290429651484,10.776391641330404,0.7400705816095313
du,-3.5595178923798287,95,4.379494744606307,6.5933011960014944,0.664233987560321
moi,-3.9545845264400574,69,3.1808961829245805,5.418710459104769,0.5870208801394603
mon,-4.333130539793282,79,3.6418956297252443,6.280607861105685,0.5798635594300736
ne,-4.368431814422144,21,0.9680988382813941,2.763847777651863,0.35027212645693573
mais,-4.3882504105637645,63,2.9042965148441824,5.38495716867892,0.5393351189006184
ce,-4.501804727069612,31,1.429098285082058,3.5002994118905115,0.4082788690097234
se,-4.913080882454966,12,0.5531993361607966,2.5084993815957453,0.22052998705899102
que,-5.233485735101475,141,6.50009219988936,10.625036657677873,0.6117712728258926
ma,-5.365197049961635,56,2.5815969020837173,5.723024896201204,0.4510895809307618
ouais,-5.369886253505333,12,0.5531993361607966,2.833612501172897,0.19522758878703944
me,-5.827979671003331,45,2.0744975106029875,5.40991558765578,0.3834620849420512
de,-7.244326519885132,277,12.769684676378388,20.66248082287194,0.6180131411056521
je,-10.736214002898627,50,2.304997234003319,11.381098478255483,0.20252853785662292
