artiste,rang_moyen,n_apparitions,meilleur_rang,n_methodes,annee_mediane,n_tokens
L’Animalerie,6.339285714285714,56,1,1,2012.0,20736
Zkr,6.6,100,1,2,2021.0,81076
Werenoi,7.770491803278689,61,1,2,2023.0,24283
Rimkus,7.918918918918919,111,1,2,2022.0,16421
ISK,8.268817204301076,93,1,2,2021.0,53505
Beendo Z,8.311111111111112,90,1,2,2022.0,34434
Grems,9.0,1,9,1,2016.0,59250
Lemon Haze,9.03191489361702,94,1,2,2022.0,12635
S-Crew,9.333333333333334,42,1,1,2013.0,79283
Leck,9.969696969696969,33,4,1,2014.0,15950
UZI (FRA),10.425925925925926,54,2,2,2021.0,27109
Kerchak,10.61818181818182,55,1,1,2022.0,30398
