url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/Denzo-la-rue-en-vo-lyrics,True,False,-88,-56,25,-11,-0.7012382506020343
https://genius.com/Beny-bougman-lyrics,True,False,-150,-55,-10,-17,0.025179403248139387
https://genius.com/Nessbeal-nabil-lyrics,False,False,-314,-104,-12,-31,-0.2115303983228487
https://genius.com/Mac-kregor-douce-france-lyrics,True,False,-490,-179,-6,-57,0.14159837483254156
https://genius.com/Iam-mes-etoiles-lyrics,True,False,-373,-137,-11,-40,0.19963073240505835
https://genius.com/3010-tout-ce-que-jvais-dire-lyrics,True,False,-381,-105,4,-47,-0.45861148197597235
https://genius.com/Oxmo-puccino-veridique-lyrics,True,False,-80,-46,-2,-10,-0.05504261363636331
https://genius.com/Dosseh-ou-est-le-boss-lyrics,True,False,-124,-5,-4,-9,0.09370199692780234
https://genius.com/Franglish-jrmqt-lyrics,True,False,-43,-14,-3,-6,0.06746775143178274
https://genius.com/Tlf-a-labri-lyrics,True,False,-332,-50,0,-33,0.05115327380952017
https://genius.com/Sadek-les-plots-lyrics,True,False,-31,-16,-1,-3,-0.010381150381153503
https://genius.com/Jarod-la-capitale-est-en-place-lyrics,True,False,-504,-180,-11,-58,-0.07483139889055179
https://genius.com/Mc-solaar-sauvez-le-monde-lyrics,True,False,-225,-121,2,-31,-0.3224649402894819
https://genius.com/Stupeflip-la-mort-a-pop-hip-lyrics,True,True,0,0,0,0,-3.552713678800501e-15
https://genius.com/Aloise-sauvage-crop-top-lyrics,True,False,-299,-76,-2,-71,0.04853790721219475
https://genius.com/Stupeflip-sharkattack-lyrics,True,False,-169,-60,-11,-25,0.15341175621549263
https://genius.com/Alonzo-verifie-lyrics,True,False,-192,-106,-1,-21,-0.07697019191506804
https://genius.com/Niska-t-rain-lyrics,True,False,-495,-98,-9,-29,0.019248088165709554
https://genius.com/Furax-barbarossa-ferrara-lyrics,True,True,12,2,6,-1,-0.35699107522312534
https://genius.com/Lefa-maniaque-lyrics,True,False,-228,-30,-33,-18,0.09198212307574716
https://genius.com/Kayliah-laissez-moi-lyrics,True,False,-146,-31,-18,-21,-0.0035198985254454307
https://genius.com/Faf-larage-le-faineant-a-la-mer-lyrics,True,False,-396,-150,-16,-38,-0.06021584049752615
https://genius.com/Seth-gueko-merci-chirac-lyrics,True,False,-374,-151,-11,-43,-0.12367969666877165
https://genius.com/Seth-gueko-e-a-e-in-an-lyrics,True,True,0,0,0,2,1.3322676295501878e-15
https://genius.com/Dosseh-flux-lyrics,True,False,-279,-71,-8,-20,0.1131749590933917
https://genius.com/Hyacinthe-scream-queen-lyrics,True,False,-135,-43,-7,-16,0.057974656280284975
https://genius.com/Retro-x-capo-lyrics,True,False,-250,-36,-18,-18,0.09500938140670367
https://genius.com/Rounhaa-r-lyrics,True,False,-328,-37,-12,-40,-0.05595807227484384
https://genius.com/Glk-preparer-lyrics,True,False,-178,-47,-5,-19,-0.007238562091498757
https://genius.com/Zuukou-mayzie-partir-loin-lyrics,True,False,-27,-6,0,-6,-0.10483772198408303
https://genius.com/Denzo-ya-les-porcs-lyrics,True,False,-374,-108,-17,-31,-0.002383821157803112
https://genius.com/Rockin-squat-lundaground-sexprime-7-lyrics,True,False,-1252,-496,-49,-106,-0.16238637525792976
https://genius.com/Guizmo-je-nsais-pas-cquils-veulent-lyrics,True,False,-147,-14,-20,-12,0.020293045854838265
https://genius.com/Hippocampe-fou-dream-lyrics,True,False,-201,-99,-8,-20,-0.0718944608325156
https://genius.com/Amalek-rafales-de-balles-dans-ton-veaucer-lyrics,True,False,-275,-116,-4,-27,-0.029726613965745496
https://genius.com/Hooss-panama-lyrics,True,False,-195,-59,-16,-23,-0.061538461538459543
https://genius.com/Cuizinier-nos-copines-lyrics,True,False,-384,-118,-17,-61,0.038067615335811045
https://genius.com/Neg-marrons-20-ans-lyrics,True,False,-208,-69,-6,-22,0.09726363214735434
https://genius.com/13-block-hors-la-loi-lyrics,True,False,-597,-148,-10,-63,-0.07597152733961998
https://genius.com/Zola-toute-la-journee-lyrics,True,False,-354,-84,-19,-28,-0.059081867266011834
https://genius.com/Ol-kainry-ma-famille-dabord-lyrics,True,False,-359,-85,-19,-58,-0.3065633964429195
https://genius.com/Niro-follow-me-lyrics,True,False,2,-2,0,0,-0.0782319410384007
https://genius.com/Zikxo-8-temps-lyrics,True,True,1,0,0,0,-0.006303524187615039
https://genius.com/Landy-gibraltar-lyrics,True,False,-198,-50,-11,-20,-0.05681354549163231
https://genius.com/Diams-venus-lyrics,True,False,-5,-4,0,0,-0.006331582752981291
https://genius.com/Josman-jeune-n-lyrics,True,False,-453,-107,-45,-32,-0.031742434806858455
https://genius.com/Lucio-bukowski-le-feu-des-singes-lyrics,True,True,0,0,0,0,-3.9968028886505635e-15
https://genius.com/La-caution-the-a-la-menthe-lyrics,True,False,-164,-79,-1,-16,-0.02412589520056896
https://genius.com/Sch-tirer-un-trait-lyrics,True,False,-334,-56,-18,-27,-0.02845366307672048
https://genius.com/Booba-le-meteore-lyrics,True,False,-483,-163,-20,-47,-0.024383430441377918
https://genius.com/Titan-loge-presidentielle-lyrics,True,False,-243,-94,12,-31,-0.7286633184936417
https://genius.com/3010-jentends-lyrics,True,False,-177,-60,-14,-20,0.0436815920397966
https://genius.com/Jul-courtois-lyrics,True,False,-308,-67,-10,-37,0.021304758903242682
https://genius.com/Mz-forfat-lyrics,True,False,-577,-220,-20,-56,-0.1629875400244356
https://genius.com/Elh-kmer-jacques-a-dit-lyrics,True,False,-424,-105,-7,-64,-0.02470523134551028
https://genius.com/Mc-solaar-bouge-de-la-lyrics,True,False,0,-5,0,0,-0.052896725440809256
https://genius.com/Hornet-la-frappe-poukie-lyrics,True,False,-412,-121,-13,-41,-0.05617739673467659
https://genius.com/Seth-gueko-classe-dangereuse-lyrics,True,False,-218,-89,-1,-24,0.06500279381635465
https://genius.com/Koba-lad-chercher-lor-lyrics,True,False,-285,-61,-17,-21,0.12990925036223588
https://genius.com/Kaaris-sosa-lyrics,True,False,-220,-65,-9,-16,0.07373632331635394
https://genius.com/Luidji-wavy-lyrics,True,False,-52,-42,5,-11,-0.7493448992500258
https://genius.com/Rockin-squat-mr-cassel-lyrics,True,False,-495,-151,-18,-42,0.03375591542569767
https://genius.com/Le-rat-luciano-vie-dartiste-lyrics,True,False,-406,-147,-17,-37,-0.07748015873016012
https://genius.com/Barack-gt-nia-lyrics,True,False,-356,-82,-22,-44,0.0869929327178447
https://genius.com/Supreme-ntm-dedicace-lyrics,True,True,0,0,0,0,0.0
https://genius.com/A2h-mon-rap-lyrics,True,False,-253,-112,-19,-22,-0.08179774182511368
https://genius.com/Rockin-squat-clown-lyrics,True,False,-121,-60,-4,-13,-0.03291611025850649
https://genius.com/Da-uzi-en-avance-lyrics,True,False,-92,-4,-13,-5,-0.028696089947981118
https://genius.com/La-feve-tant-dannees-lyrics,True,False,-147,-8,-6,-16,-0.08894631835630218
https://genius.com/Jeanjass-mains-qui-prient-version-clip-lyrics,True,False,-816,-313,-34,-60,-0.20403662981225734
https://genius.com/Gambi-manana-lyrics,True,False,-212,-16,-22,-28,-0.05830583058305416
https://genius.com/Lacraps-interlude-lyrics,True,True,0,0,0,0,-4.440892098500626e-16
https://genius.com/Rochdi-le-taureau-de-pampelune-lyrics,True,True,1,-1,0,0,-0.010677069965610464
https://genius.com/Guizmo-10g-lyrics,True,False,-297,-96,-15,-42,-0.07821951219512169
https://genius.com/Tragedie-sexy-pour-moi-remix-lyrics,True,False,-558,-153,-22,-86,-0.06407960708072746
https://genius.com/Benab-dracarys-lyrics,True,False,-284,-56,-18,-28,0.029292929292927816
https://genius.com/Niro-loup-alpha-lyrics,True,False,-346,-90,-7,-28,-0.020469995644680772
https://genius.com/Neg-marrons-donne-toi-les-moyens-lyrics,True,False,-417,-119,-1,-43,0.011688311688314634
https://genius.com/Manu-key-parasite-1-lyrics,True,True,0,0,0,1,-3.1086244689504383e-15
https://genius.com/Gims-saint-tropez-lyrics,True,False,-241,-18,-12,-39,-0.10788716684278654
https://genius.com/Hatik-thuggin-lyrics,True,False,-266,-113,-3,-35,-0.044534102246436724
https://genius.com/Kamini-bien-gamin-lyrics,True,False,-191,-55,0,-43,-0.017195555046396027
