url,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl,d_n_french
https://genius.com/Mac-tyer-93-se-debrouille-lyrics,12,1,0,0,-0.10815799187892106,10
https://genius.com/Fonky-family-le-sum-lyrics,-4,-4,0,0,-0.0010912698412743893,2
https://genius.com/Isk-pirates-lyrics,0,-2,0,5,-0.027777777777775903,0
https://genius.com/Jul-planete-rap-gratuit-9-lyrics,-4,-4,0,0,-0.0017005108175078831,4
https://genius.com/Furax-barbarossa-places-assises-lyrics,-3,-4,0,0,-0.008440743470721213,2
https://genius.com/Green-money-bienvenue-dans-ma-jungle-lyrics,0,-2,0,1,-0.04672897196261916,5
https://genius.com/Ghetto-fabulous-gang-tout-lamour-que-jai-lyrics,-3,-3,0,0,-0.017648910221099712,0
https://genius.com/Le-rat-luciano-track-39-album-quartier-attitude-lyrics,0,0,0,0,2.6645352591003757e-15,0
https://genius.com/Lujipeka-feedback-lyrics,-4,-4,0,0,-0.0037439809554706827,3
https://genius.com/Sadek-bep-bep-lyrics,-3,-5,0,0,-0.012227033058561432,3
https://genius.com/Youri-voisins-lyrics,-4,-4,0,0,-0.0005095010363698194,2
https://genius.com/Jokair-je-suis-big-daddy-lyrics,-4,-4,0,4,-0.001109975441793587,1
https://genius.com/Hyacinthe-en-pensant-a-nous-lyrics,-2,-3,0,0,-0.03418322709661137,1
https://genius.com/Dosseh-article-22-lyrics,-4,-3,0,0,-0.0024088814411435955,3
https://genius.com/Sat-lartificier-les-jeux-sont-faits-lyrics,-4,-4,0,1,-0.0027770019550756864,4
https://genius.com/Djadja-and-dinaz-jrentre-pas-chez-moi-lyrics,-4,-4,0,9,-0.006311558456657096,0
https://genius.com/Seth-gueko-booska-bad-cowboy-lyrics,75,-14,29,0,-0.857992759882368,156
https://genius.com/Maj-trafyk-libre-art-beat-2014-lyrics,-4,-4,0,0,-0.0005811212350446127,0
https://genius.com/Ridsa-je-les-ferais-danser-lyrics,-3,-4,0,1,-0.009993627469357946,1
https://genius.com/Mc-solaar-interlude-mc-janik-lyrics,0,0,0,0,3.552713678800501e-15,1
https://genius.com/Keblack-jai-deconne-lyrics,-4,-4,0,0,-0.0031643653100799085,0
https://genius.com/Ogb-2-sans-rancune-lyrics,2,-5,0,0,-0.030059880239520886,12
https://genius.com/3010-jaime-ca-lyrics,-4,-4,0,7,-0.007185917530740937,1
https://genius.com/Jokair-big-drip-lyrics,-4,-3,0,0,-0.0019418332671361505,3
https://genius.com/Raggasonic-bleu-blanc-rouge-lyrics,-4,-4,0,0,-0.002251203229313159,1
https://genius.com/Mc-solaar-da-vinci-claude-lyrics,-4,-4,0,4,-0.002629126404083415,1
https://genius.com/Octobre-rouge-vas-y-colle-lyrics,-4,-4,0,1,-0.0019834117618224845,0
https://genius.com/Mafia-k1-fry-mytho-lyrics,-4,-4,0,2,-0.0027998434298051045,0
https://genius.com/Medine-enfant-du-destin-nour-lyrics,1,-3,0,0,-0.029997412729371398,10
https://genius.com/Zbig-dlg-3-lyrics,1,0,0,0,-0.0066754222329996615,1
https://genius.com/Jul-freestyle-manu-chao-planet-rap-2019-lyrics,37,-2,23,0,-0.6297843480312197,78
https://genius.com/La-fouine-demain-on-verra-lyrics,-4,-4,0,0,-1.5023361328747598e-05,2
https://genius.com/Davodka-freestyle-one-shot-3-lyrics,28,-3,10,0,-0.4234958576667167,64
https://genius.com/Chiens-de-paille-mala-vida-lyrics,-2,-3,0,0,-0.014044469412390015,9
